prompt,correct,log_prob_correct,incorrect,log_prob_incorrect,correct_prediction
The cup of tea was scalding hot.What is the effect of this?,I blew on it.,tensor(-2.9487),I poured it out.,tensor(-2.7009),False
The investigators deemed the man's death a suicide.What is the cause of this?,He left a note.,tensor(-2.7325),He had children.,tensor(-4.8251),True
The girl felt dizzy.What is the effect of this?,She lost her balance.,tensor(-2.4324),She did stretches.,tensor(-4.5368),True
The leader received praise.What is the cause of this?,He fought poverty.,tensor(-4.4664),He raised taxes.,tensor(-3.2836),False
The woman hit a midlife crisis.What is the effect of this?,She went sky diving.,tensor(-3.6365),She retired.,tensor(-6.0771),True
A fistfight broke out in the hall of the school.What is the effect of this?,The principal suspended the students involved.,tensor(-2.0635),The principal called off classes for the day.,tensor(-2.5154),True
The cook stirred the ingredients in the bowl.What is the effect of this?,The ingredients blended together.,tensor(-1.5955),The ingredients melted.,tensor(-2.2885),True
The sun emerged from the clouds.What is the effect of this?,The woman took her sweater off.,tensor(-3.1060),The woman glanced at her watch.,tensor(-2.8863),False
The woman betrayed her friend.What is the effect of this?,Her friend cut off contact with her.,tensor(-2.7647),Her friend sent her a greeting card.,tensor(-3.2971),True
I pushed the pendulum.What is the effect of this?,It swung back and forth.,tensor(-1.5421),It slowed to a stop.,tensor(-2.8893),True
The woman exaggerated the details of the story.What is the cause of this?,She wanted attention.,tensor(-3.5075),She felt shy.,tensor(-4.1723),True
I put shoes on.What is the cause of this?,The floor contained broken glass.,tensor(-5.0311),The paint on the walls was wet.,tensor(-3.2262),False
The toddler became cranky.What is the effect of this?,Her mother put her down for a nap.,tensor(-2.1389),Her mother fixed her hair into pigtails.,tensor(-3.2593),True
We ordered a pizza.What is the effect of this?,The pizza was delivered.,tensor(-1.5916),The pizza got cold.,tensor(-2.8506),True
The man had lipstick on his cheek.What is the cause of this?,The woman kissed him.,tensor(-1.9067),The woman made him blush.,tensor(-3.1826),True
The girl came across an unfamiliar word in her textbook.What is the effect of this?,She looked the term up in the dictionary.,tensor(-2.7115),She chucked the textbook across the room.,tensor(-2.6598),False
My stomach growled.What is the cause of this?,I forgot to eat breakfast.,tensor(-2.1224),I was full from breakfast.,tensor(-3.1736),True
The man's watch was broken.What is the effect of this?,He asked a stranger for the time.,tensor(-3.2399),He waited at the bus stop.,tensor(-3.4141),True
The student flaunted his test grade to his classmates.What is the cause of this?,He received a perfect score.,tensor(-2.2974),He feigned interest in the class.,tensor(-3.4138),True
The gardener pulled the weeds.What is the effect of this?,The weeds came out of the soil.,tensor(-2.1532),The weeds produced seeds.,tensor(-2.8041),True
The chef pressed down on the dough.What is the effect of this?,The dough flattened.,tensor(-1.8247),The dough crumbled.,tensor(-3.3055),True
The man grieved.What is the cause of this?,His mother passed away.,tensor(-2.4211),His wife criticized him.,tensor(-2.7822),True
The teacher took roll.What is the effect of this?,She identified the students that were absent.,tensor(-2.8760),She gave her students a pop quiz.,tensor(-2.9410),True
I rubbed sandpaper on the wood.What is the effect of this?,The wood became smooth.,tensor(-2.4730),The wood became sticky.,tensor(-3.1529),True
The clay hardened.What is the cause of this?,The potter put the clay in the oven.,tensor(-1.7450),The potter rolled the clay into a ball.,tensor(-2.2358),True
The girl made a wish.What is the cause of this?,She saw a shooting star.,tensor(-1.8929),She saw a black cat.,tensor(-3.3742),True
The woman awakened.What is the cause of this?,Her husband was snoring.,tensor(-2.9644),She took sleeping pills.,tensor(-2.7631),False
The driver rotated the steering wheel.What is the effect of this?,The car turned.,tensor(-2.2323),The car halted.,tensor(-4.2772),True
The girl desired her parent's approval.What is the effect of this?,She obeyed her parent's rules.,tensor(-1.6821),She ran away from home.,tensor(-2.7363),True
The homeowners disliked their nosy neighbors.What is the effect of this?,They built a fence around their property.,tensor(-1.4206),They hosted a barbeque in their backyard.,tensor(-2.3982),True
The man dropped food on the floor.What is the effect of this?,His dog ran over to eat the food.,tensor(-2.2747),His dog jumped up on him.,tensor(-2.6871),True
Marine life diminished.What is the cause of this?,Oil spilled into the ocean.,tensor(-2.2758),Boats sailed through the ocean.,tensor(-4.0342),True
My daughter suffered an allergy attack.What is the effect of this?,I took her to the emergency room.,tensor(-1.7224),I encouraged her to take deep breaths.,tensor(-2.9341),True
The chandelier shattered on the floor.What is the cause of this?,The chandelier dropped from the ceiling.,tensor(-1.3506),The chandelier's lights flickered on and off.,tensor(-1.7315),True
The magnet attracted the paperclip.What is the effect of this?,The paperclip stuck to the magnet.,tensor(-1.3577),The paperclip dropped from the magnet.,tensor(-2.2786),True
The smoke alarm went off.What is the cause of this?,I burnt my dinner.,tensor(-3.5462),I lit a candle.,tensor(-3.0003),False
The man held his breath.What is the cause of this?,He went underwater.,tensor(-4.0116),He treaded water.,tensor(-3.3177),False
The women met for coffee.What is the cause of this?,They wanted to catch up with each other.,tensor(-1.7459),The cafe reopened in a new location.,tensor(-2.9278),True
My body cast a shadow over the grass.What is the cause of this?,The sun was rising.,tensor(-3.3698),The grass was cut.,tensor(-4.4371),True
The bureau drawers were cluttered.What is the effect of this?,I threw away unnecessary contents.,tensor(-4.7321),I locked the drawers shut.,tensor(-3.8056),False
I jumped instinctively in fright.What is the cause of this?,I sensed someone approaching me from behind.,tensor(-2.4655),I heard people chuckling in the adjacent room.,tensor(-2.8830),True
I dabbed the floor with a paper towel.What is the cause of this?,I spilled juice on the floor.,tensor(-2.0991),The floor was permanently stained.,tensor(-2.3781),True
The woman pressed down on the piano key.What is the effect of this?,A sound played.,tensor(-4.4436),The key got stuck.,tensor(-4.0035),False
The baby pulled the mother's hair.What is the effect of this?,The mother grimaced.,tensor(-2.5825),The baby burped.,tensor(-3.7935),True
I ironed my shirt.What is the cause of this?,It was wrinkled.,tensor(-2.2225),It was clean.,tensor(-4.1132),True
The woman was wrongly convicted for the crime.What is the cause of this?,She was framed.,tensor(-2.7149),The jury was fair.,tensor(-3.9969),True
The police officer dropped the gun.What is the effect of this?,The gun went off.,tensor(-2.2391),The gun recoiled.,tensor(-2.9983),True
I tipped the bottle.What is the effect of this?,The liquid in the bottle poured out.,tensor(-1.2966),The liquid in the bottle froze.,tensor(-2.2539),True
I finished a page of the book.What is the effect of this?,I turned to the next page.,tensor(-2.2338),I ripped out the next page.,tensor(-2.9859),True
The physician misdiagnosed the patient.What is the effect of this?,The patient filed a malpractice lawsuit against the physician.,tensor(-1.1177),The patient disclosed confidential information to the physician.,tensor(-2.3482),True
The parents recognized their daughter's creativity.What is the effect of this?,They encouraged her to become an artist.,tensor(-1.6628),They taught her how to ride a bike.,tensor(-2.4240),True
The woman shivered as she got out the pool.What is the effect of this?,She wrapped herself in a towel.,tensor(-1.4982),She poured herself some lemonade.,tensor(-2.5097),True
The woman wanted to be a doctor.What is the effect of this?,She went to medical school.,tensor(-2.1728),She visited the hospital.,tensor(-3.8955),True
The mother needed help looking after her children.What is the effect of this?,She sent the children to daycare.,tensor(-2.8590),She gave up custody of the children.,tensor(-2.2755),False
The family took their dog to the veterinarian.What is the cause of this?,The dog injured his paw.,tensor(-2.4881),The dog chewed on a bone.,tensor(-2.2535),False
The egg splattered.What is the cause of this?,I dropped it.,tensor(-4.1896),I boiled it.,tensor(-4.1935),True
I applied pressure to the cut on my arm.What is the effect of this?,It stopped bleeding.,tensor(-2.8466),It healed.,tensor(-4.8931),True
The skier slipped on the slope.What is the cause of this?,She hit a patch of ice.,tensor(-2.9379),She dropped her ski poles.,tensor(-3.2462),True
The scientist gained recognition.What is the cause of this?,She discovered a new species.,tensor(-2.4937),She received tenure at the university.,tensor(-2.9270),True
The book became a huge bestseller.What is the effect of this?,It was adapted into a movie.,tensor(-2.2020),The author faded into obscurity.,tensor(-2.4835),True
The family postponed the barbeque.What is the cause of this?,The forecast called for storms.,tensor(-2.4417),It was a holiday weekend.,tensor(-2.5289),True
My stomach hurt.What is the cause of this?,I ate birthday cake.,tensor(-2.3723),I jogged on the treadmill.,tensor(-2.7048),True
The man felt thankful to be alive.What is the cause of this?,He was cured of cancer.,tensor(-2.6869),His wife was diagnosed with cancer.,tensor(-2.3451),False
The vehicles travelled slowly.What is the cause of this?,It was foggy.,tensor(-3.0281),It was cloudy.,tensor(-3.5714),True
The children ran through the sprinkler.What is the cause of this?,They were hot.,tensor(-2.8906),They ate popsicles.,tensor(-2.8949),True
The chair squeaked.What is the cause of this?,The man scooted the chair closer to his desk.,tensor(-2.3788),The man carried the chair to his office.,tensor(-3.6744),True
I wrote a thank-you note to my grandmother.What is the cause of this?,She sent me a gift.,tensor(-2.3721),She became forgetful.,tensor(-4.8240),True
The host of the trivia show called on the contestant for an answer.What is the cause of this?,The contestant rang the buzzer.,tensor(-2.2741),The contestant was in the lead.,tensor(-2.3286),True
The mother suspected that her son was lying.What is the cause of this?,He avoided making eye contact with her.,tensor(-3.1118),He refused to talk to her.,tensor(-3.0429),False
The boy's mouth stung.What is the cause of this?,He ate a pepper.,tensor(-3.4178),He blew out the candle.,tensor(-2.3093),False
I clenched the candy wrapper in my fist.What is the effect of this?,The wrapper crinkled.,tensor(-2.4290),The wrapper ripped.,tensor(-2.9140),True
A group of teenagers crashed the party.What is the effect of this?,The host of the party kicked them out.,tensor(-2.1963),The host of the party invited them in.,tensor(-3.0007),True
The boy wanted to be muscular.What is the effect of this?,He lifted weights.,tensor(-3.4433),He played computer games.,tensor(-4.1783),True
I pushed the gas pedal.What is the effect of this?,The car accelerated.,tensor(-1.7021),The car door opened.,tensor(-3.9175),True
The milk stayed cold.What is the cause of this?,I stored it in the refrigerator.,tensor(-1.4676),It was pasteurized.,tensor(-3.2704),True
The celebrity wore sunglasses.What is the cause of this?,She wanted to avoid recognition.,tensor(-2.5482),She wanted to thank her fans.,tensor(-3.6664),True
The woman gave the man her phone number.What is the cause of this?,She was attracted to him.,tensor(-1.6598),She was repulsed by him.,tensor(-2.8915),True
The army surrendered the battle.What is the cause of this?,They were outnumbered.,tensor(-1.9724),They stormed the city.,tensor(-3.7986),True
The swimmer won the race.What is the effect of this?,She received a gold medal.,tensor(-2.6893),Her team lost the meet.,tensor(-3.7925),True
The girl met her favorite actor.What is the effect of this?,She asked him for his autograph.,tensor(-1.9587),She went to see his new film.,tensor(-2.2973),True
The girl applied the scissors to the paper.What is the effect of this?,The paper sliced apart.,tensor(-3.1036),The paper crinkled.,tensor(-3.2282),True
The shop was closed.What is the cause of this?,The shop was undergoing renovation.,tensor(-1.7371),The owner was helping customers.,tensor(-4.2807),True
My flight got delayed.What is the cause of this?,Tornadoes were sighted in the area.,tensor(-2.1915),I was held up at airport security.,tensor(-3.2128),True
The child caught a life-threatening illness.What is the cause of this?,She didn't get vaccinated.,tensor(-1.8303),She was adopted.,tensor(-5.1266),True
The woman felt compelled to help someone in need.What is the effect of this?,She donated blood.,tensor(-2.9187),She wrote a poem.,tensor(-4.0146),True
The boat capsized.What is the cause of this?,It was caught in a hurricane.,tensor(-2.3287),The captain raised the sail.,tensor(-3.9162),True
The man lifted the heavy box.What is the effect of this?,He put out his back.,tensor(-3.0429),He scratched his back.,tensor(-2.6827),False
The woman had an infection.What is the effect of this?,She took antibiotics.,tensor(-1.6829),She washed her hands.,tensor(-3.3528),True
The woman's ring slipped off in the shower.What is the effect of this?,The ring went down the drain.,tensor(-1.6215),The woman polished the ring.,tensor(-3.5030),True
The employee missed work.What is the cause of this?,There was a death in her family.,tensor(-2.2404),Her family got in touch with her.,tensor(-4.0474),True
The turtle hid in its shell.What is the cause of this?,It detected a predator.,tensor(-3.6361),It ate a fish.,tensor(-3.8433),True
My friend was recovering from surgery.What is the effect of this?,I brought her a card and flowers.,tensor(-2.6844),I dropped her off at the hospital.,tensor(-2.8216),True
I moved to a new city.What is the cause of this?,I found a better-paying job.,tensor(-2.8078),My son was born.,tensor(-3.5151),True
The teacher caught the student chewing gum.What is the effect of this?,The student spit out the gum.,tensor(-1.8847),The gum stuck to the student's shoe.,tensor(-1.9445),True
The city re-elected the mayor.What is the cause of this?,The mayor fulfilled his promises.,tensor(-2.1425),The city cut its budget.,tensor(-4.2657),True
The customer thought the souvenir was overpriced.What is the effect of this?,He bargained with the vendor.,tensor(-2.8871),The vender sold it to him.,tensor(-3.7094),True
The man's clothes fit loosely.What is the cause of this?,He lost weight.,tensor(-3.4260),He bought them on sale.,tensor(-3.2012),False
The photograph faded.What is the cause of this?,It was old.,tensor(-4.8602),It was fake.,tensor(-5.4057),True
The runner wore shorts.What is the cause of this?,The forecast predicted high temperatures.,tensor(-2.7074),She planned to run along the beach.,tensor(-3.2407),True
The man read the cartoon in the newspaper.What is the effect of this?,He chuckled.,tensor(-2.7301),He sipped coffee.,tensor(-4.7613),True
The glasses on the table spilled.What is the cause of this?,The child yanked the tablecloth.,tensor(-2.3469),The child drew on the table.,tensor(-2.8916),True
The computer crashed.What is the cause of this?,I downloaded a virus.,tensor(-4.0686),I backed up my files.,tensor(-2.8044),False
I lingered in bed upon awakening.What is the cause of this?,It was Saturday.,tensor(-3.7936),I was hungry.,tensor(-3.3373),False
The balloon expanded.What is the cause of this?,I blew into it.,tensor(-2.9917),I pricked it.,tensor(-4.1527),True
The man gained weight.What is the effect of this?,He got his suit altered.,tensor(-3.8971),He got his shoes shined.,tensor(-3.6501),False
Air leaked out of the beach ball.What is the cause of this?,There was a hole in it.,tensor(-2.7780),It was inflated.,tensor(-3.5947),True
The group overlooked the woman's faux pas.What is the effect of this?,The woman was relieved.,tensor(-2.0112),The woman apologized.,tensor(-3.3792),True
I held the door for the woman entering behind me.What is the effect of this?,The woman thanked me.,tensor(-2.0139),The door slammed shut.,tensor(-2.8251),True
The boy's hands were shaking.What is the cause of this?,He planned to ask the girl out.,tensor(-3.1932),His palms were cold and sweaty.,tensor(-1.7577),False
The cat purred.What is the cause of this?,I petted it.,tensor(-2.6128),It scratched me.,tensor(-4.6272),True
The hunter ran out of ammunition.What is the effect of this?,He reloaded the gun.,tensor(-3.1657),He aimed at the deer.,tensor(-2.9495),False
I scrubbed the stain on the floor.What is the effect of this?,I got rid of the stain.,tensor(-1.6321),I got dirt on the floor.,tensor(-2.5473),True
The police eliminated the woman from the list of suspects.What is the cause of this?,Her alibi checked out.,tensor(-1.7764),The police interrogated her.,tensor(-2.3821),True
The nurse prepared the needle for the patient's injection.What is the effect of this?,The patient tensed up.,tensor(-2.4214),The patient bled.,tensor(-3.5915),True
The driver pulled over to the side of the road.What is the cause of this?,He noticed a stranded vehicle.,tensor(-3.1992),He went through an intersection.,tensor(-3.7743),True
The parents left their children with a babysitter.What is the cause of this?,They made plans to celebrate their anniversary.,tensor(-2.3997),Their youngest child started attending preschool.,tensor(-2.8931),True
The child became immune to the disease.What is the cause of this?,He received the vaccine for the disease.,tensor(-2.1229),He avoided exposure to the disease.,tensor(-2.9740),True
The water in the teapot started to boil.What is the effect of this?,The teapot whistled.,tensor(-2.0390),The teapot cooled.,tensor(-2.7339),True
The boy felt homesick.What is the cause of this?,He went away to camp.,tensor(-3.5303),He bickered with his sister.,tensor(-3.3929),False
The security guard replayed the surveillance footage.What is the cause of this?,He noticed some suspicious activity.,tensor(-2.6592),The surveillance camera was out of focus.,tensor(-2.3638),False
I flipped the light switch up and down.What is the effect of this?,The light flickered.,tensor(-2.1697),The light faded.,tensor(-3.6961),True
The button on my shirt fell off.What is the effect of this?,I sewed the button back on.,tensor(-2.3850),I glued the button back on.,tensor(-2.6503),True
I ran out of breath.What is the cause of this?,I climbed several flights of stairs.,tensor(-2.0861),I read several chapters of the book.,tensor(-3.3219),True
The mother scolded her daughter.What is the cause of this?,Her daughter burped at the kitchen table.,tensor(-3.7113),Her daughter set the kitchen table.,tensor(-4.1200),True
The vandals threw a rock at the window.What is the effect of this?,The window cracked.,tensor(-2.1324),The window fogged up.,tensor(-3.2015),True
The woman's makeup smeared.What is the cause of this?,She wiped her eyes.,tensor(-2.4665),She brushed her hair.,tensor(-2.7915),True
The seamstress pushed the threaded needle into the fabric.What is the effect of this?,The thread went through the fabric.,tensor(-1.8036),The thread wrapped around the needle.,tensor(-2.1432),True
I went to bed.What is the cause of this?,It was late.,tensor(-3.8670),It was a clear night.,tensor(-2.9031),False
The friends' debate dragged on interminably.What is the cause of this?,The friends were splitting hairs.,tensor(-2.4014),The friends saw eye to eye.,tensor(-3.2497),True
The boy read the novel aloud to his grandfather.What is the cause of this?,His grandfather was blind.,tensor(-1.7247),His grandfather was deaf.,tensor(-1.6922),False
The bar closed.What is the cause of this?,It was 3 AM.,tensor(-3.2979),It was crowded.,tensor(-3.4128),True
The fans in the stadium cheered.What is the cause of this?,The player scored.,tensor(-3.4010),The game ended in a tie.,tensor(-2.1946),False
The man became disabled.What is the effect of this?,His family offered him financial support.,tensor(-3.4366),His family cut off contact with him.,tensor(-2.5325),False
The pond froze over for the winter.What is the effect of this?,People skated on the pond.,tensor(-2.0655),People brought boats to the pond.,tensor(-3.4084),True
