task,suite name,condition,prompt,completion,log_prob,prediction
3,subordination,no-sub_no-matrix, The general entered the camp,.,tensor(-1.9900),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,sub_matrix, When the general entered the camp,", the soldiers cheered .",tensor(-2.8163),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,no-sub_matrix, The general entered the camp,", the soldiers cheered .",tensor(-3.3544),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,sub_no-matrix, After the delivery man delivered the newspaper,.,tensor(-4.4551),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,no-sub_no-matrix, The delivery man delivered the newspaper,.,tensor(-1.9010),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,sub_matrix, After the delivery man delivered the newspaper,", the dog looked at the door .",tensor(-3.2968),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,no-sub_matrix, The delivery man delivered the newspaper,", the dog looked at the door .",tensor(-3.6960),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,sub_no-matrix, While the lawyers printed the documents,.,tensor(-5.9955),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,no-sub_no-matrix, The lawyers printed the documents,.,tensor(-2.6202),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,sub_matrix, While the lawyers printed the documents,", the aids made coffee .",tensor(-4.3935),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,no-sub_matrix, The lawyers printed the documents,", the aids made coffee .",tensor(-4.7453),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,sub_no-matrix, Because the editor liked the draft,.,tensor(-2.5894),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,no-sub_no-matrix, The editor liked the draft,.,tensor(-2.1258),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,sub_matrix, Because the editor liked the draft,", he published it the next month .",tensor(-2.9460),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,no-sub_matrix, The editor liked the draft,", he published it the next month .",tensor(-3.9231),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,sub_no-matrix, Since the nurse lost her documents,.,tensor(-4.7230),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,no-sub_no-matrix, The nurse lost her documents,.,tensor(-1.4319),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,sub_matrix, Since the nurse lost her documents,", she administered the wrong medicine .",tensor(-2.4524),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,no-sub_matrix, The nurse lost her documents,", she administered the wrong medicine .",tensor(-2.8862),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,sub_no-matrix, Because the scientist broke the computer,.,tensor(-1.8896),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,no-sub_no-matrix, The scientist broke the computer,.,tensor(-1.9922),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,sub_matrix, Because the scientist broke the computer,", the administrator wrote everything by hand .",tensor(-3.8852),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,no-sub_matrix, The scientist broke the computer,", the administrator wrote everything by hand .",tensor(-4.7801),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,sub_no-matrix, After the minister praised the new building,.,tensor(-6.3024),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,no-sub_no-matrix, The minister praised the new building,.,tensor(-1.7859),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,sub_matrix, After the minister praised the new building,", it started to rain .",tensor(-2.7340),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,no-sub_matrix, The minister praised the new building,", it started to rain .",tensor(-4.4103),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,sub_no-matrix, Because the architect read the plans,.,tensor(-2.9400),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,no-sub_no-matrix, The architect read the plans,.,tensor(-2.6304),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,sub_matrix, Because the architect read the plans,", the house was built correctly .",tensor(-2.7893),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,no-sub_matrix, The architect read the plans,", the house was built correctly .",tensor(-4.4870),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,sub_no-matrix, Before the actor delivered the speech,.,tensor(-5.3388),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,no-sub_no-matrix, The actor delivered the speech,.,tensor(-3.0445),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,sub_matrix, Before the actor delivered the speech,", she took a deep breath .",tensor(-3.0556),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,no-sub_matrix, The actor delivered the speech,", she took a deep breath .",tensor(-3.9741),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,sub_no-matrix, While the pianist practiced the music,.,tensor(-5.1343),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,no-sub_no-matrix, The pianist practiced the music,.,tensor(-3.1136),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,sub_matrix, While the pianist practiced the music,", the conductor stretched his arms .",tensor(-2.6462),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,no-sub_matrix, The pianist practiced the music,", the conductor stretched his arms .",tensor(-3.1011),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,sub_no-matrix, Although the students enjoyed the novel,.,tensor(-8.6204),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,no-sub_no-matrix, The students enjoyed the novel,.,tensor(-2.3275),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,sub_matrix, Although the students enjoyed the novel,", the teacher considered it poorly written .",tensor(-2.9425),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,no-sub_matrix, The students enjoyed the novel,", the teacher considered it poorly written .",tensor(-3.5288),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,sub_no-matrix, While the maid read the magazine,.,tensor(-5.5616),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,no-sub_no-matrix, The maid read the magazine,.,tensor(-2.6901),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,sub_matrix, While the maid read the magazine,", the customer waited at her table .",tensor(-3.8773),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,no-sub_matrix, The maid read the magazine,", the customer waited at her table .",tensor(-4.5498),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,sub_no-matrix, Before the assistant wrote the letter,.,tensor(-4.9630),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,no-sub_no-matrix, The assistant wrote the letter,.,tensor(-1.6947),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,sub_matrix, Before the assistant wrote the letter,", she had a cup of coffee .",tensor(-2.6992),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,no-sub_matrix, The assistant wrote the letter,", she had a cup of coffee .",tensor(-3.8886),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,sub_no-matrix, After the diplomat presented the file,.,tensor(-6.2311),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,no-sub_no-matrix, The diplomat presented the file,.,tensor(-2.2212),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,sub_matrix, After the diplomat presented the file,", the ambassador gave a speech .",tensor(-3.0416),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,no-sub_matrix, The diplomat presented the file,", the ambassador gave a speech .",tensor(-3.6233),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,sub_no-matrix, While the officials reviewed the contract,.,tensor(-6.9126),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,no-sub_no-matrix, The officials reviewed the contract,.,tensor(-2.4691),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,sub_matrix, While the officials reviewed the contract,", the players waited nervously .",tensor(-3.0101),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,no-sub_matrix, The officials reviewed the contract,", the players waited nervously .",tensor(-4.3515),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,sub_no-matrix, Because the clerk lost the plans,.,tensor(-3.0558),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,no-sub_no-matrix, The clerk lost the plans,.,tensor(-1.4232),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,sub_matrix, Because the clerk lost the plans,", the detective looked elsewhere .",tensor(-4.2582),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,no-sub_matrix, The clerk lost the plans,", the detective looked elsewhere .",tensor(-4.3360),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,sub_no-matrix, While the tourists read the guide,.,tensor(-6.9067),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,no-sub_no-matrix, The tourists read the guide,.,tensor(-4.3306),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,sub_matrix, While the tourists read the guide,", the children played in the sand .",tensor(-2.8680),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,no-sub_matrix, The tourists read the guide,", the children played in the sand .",tensor(-3.2656),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,sub_no-matrix, When the politicians passed the new law,.,tensor(-8.0532),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,no-sub_no-matrix, The politicians passed the new law,.,tensor(-2.0376),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,sub_matrix, When the politicians passed the new law,", the protestors blocked traffic outside .",tensor(-4.3332),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,no-sub_matrix, The politicians passed the new law,", the protestors blocked traffic outside .",tensor(-4.4930),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,sub_no-matrix, When the police found new evidence,.,tensor(-6.8425),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,no-sub_no-matrix, The police found new evidence,.,tensor(-2.3595),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,sub_matrix, When the police found new evidence,", the judge declared a mistrial .",tensor(-2.3994),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,no-sub_matrix, The police found new evidence,", the judge declared a mistrial .",tensor(-2.9525),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,sub_no-matrix, Before the students handed in their papers,.,tensor(-5.2103),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,no-sub_no-matrix, The students handed in their papers,.,tensor(-1.1801),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,sub_matrix, Before the students handed in their papers,", they revised them all night long .",tensor(-2.6818),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,no-sub_matrix, The students handed in their papers,", they revised them all night long .",tensor(-3.9915),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
23,subordination_orc-orc,sub_no-matrix, As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,.,tensor(-5.4341),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,no-sub_no-matrix, The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,.,tensor(-0.7586),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,sub_matrix, As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,", the nurse walked into the room .",tensor(-2.6715),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,no-sub_matrix, The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,", the nurse walked into the room .",tensor(-3.6203),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,sub_no-matrix, After the man who a friend had helped shot the bird that he had been tracking secretly,.,tensor(-3.4767),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,no-sub_no-matrix, The man who a friend had helped shot the bird that he had been tracking secretly,.,tensor(-2.0426),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,sub_matrix, After the man who a friend had helped shot the bird that he had been tracking secretly,", he loaded his gun .",tensor(-3.7421),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,no-sub_matrix, The man who a friend had helped shot the bird that he had been tracking secretly,", he loaded his gun .",tensor(-4.5736),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,sub_no-matrix, Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution,.,tensor(-1.5106),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,no-sub_no-matrix, The students who the teacher had in her class did not like the material that the teacher used to cover evolution,.,tensor(-0.5220),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,sub_matrix, Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution,", they complained to the principal .",tensor(-2.1400),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,no-sub_matrix, The students who the teacher had in her class did not like the material that the teacher used to cover evolution,", they complained to the principal .",tensor(-2.6870),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,sub_no-matrix, When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago,.,tensor(-4.7886),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,no-sub_no-matrix, The general who the officer had given a uniform entered the camp that the colonel constructed two years ago,.,tensor(-0.8146),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,sub_matrix, When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago,", the soldiers cheered .",tensor(-3.0063),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,no-sub_matrix, The general who the officer had given a uniform entered the camp that the colonel constructed two years ago,", the soldiers cheered .",tensor(-4.1654),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,sub_no-matrix, After the trainer who the dog feared delivered the newspaper that the resident had ordered,.,tensor(-2.3724),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,no-sub_no-matrix, The trainer who the dog feared delivered the newspaper that the resident had ordered,.,tensor(-0.8382),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,sub_matrix, After the trainer who the dog feared delivered the newspaper that the resident had ordered,", the dog looked at the door .",tensor(-2.8361),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,no-sub_matrix, The trainer who the dog feared delivered the newspaper that the resident had ordered,", the dog looked at the door .",tensor(-3.6177),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,sub_no-matrix, While the lawyers who the client had hired printed the documents that the client never requested,.,tensor(-2.6632),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,no-sub_no-matrix, The lawyers who the client had hired printed the documents that the client never requested,.,tensor(-1.1016),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,sub_matrix, While the lawyers who the client had hired printed the documents that the client never requested,", the aids made coffee .",tensor(-5.4765),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,no-sub_matrix, The lawyers who the client had hired printed the documents that the client never requested,", the aids made coffee .",tensor(-5.8121),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,sub_no-matrix, Because the editor who the author knew well liked the draft that the celebrity had written,.,tensor(-1.2144),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,no-sub_no-matrix, The editor who the author knew well liked the draft that the celebrity had written,.,tensor(-1.4312),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,sub_matrix, Because the editor who the author knew well liked the draft that the celebrity had written,", he published it the next month .",tensor(-3.1491),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,no-sub_matrix, The editor who the author knew well liked the draft that the celebrity had written,", he published it the next month .",tensor(-4.0644),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,sub_no-matrix, Since the nurse who the doctor had met only once lost her documents that she had bought from an expensive store,.,tensor(-3.0827),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,no-sub_no-matrix, The nurse who the doctor had met only once lost her documents that she had bought from an expensive store,.,tensor(-1.1128),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
