task,suite name,condition,prompt,completion,log_prob,prediction
4,subordination,sub_matrix, After the delivery man delivered the newspaper,", the dog looked at the door .",tensor(-3.5020),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,no-sub_matrix, The delivery man delivered the newspaper,", the dog looked at the door .",tensor(-3.8749),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,sub_no-matrix, While the lawyers printed the documents,.,tensor(-5.1029),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,no-sub_no-matrix, The lawyers printed the documents,.,tensor(-2.6155),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,sub_matrix, While the lawyers printed the documents,", the aids made coffee .",tensor(-4.4201),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,no-sub_matrix, The lawyers printed the documents,", the aids made coffee .",tensor(-4.8280),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,sub_no-matrix, Because the editor liked the draft,.,tensor(-2.9780),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,no-sub_no-matrix, The editor liked the draft,.,tensor(-2.9171),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,sub_matrix, Because the editor liked the draft,", he published it the next month .",tensor(-3.1349),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,no-sub_matrix, The editor liked the draft,", he published it the next month .",tensor(-3.9205),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,sub_no-matrix, Since the nurse lost her documents,.,tensor(-3.7692),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,no-sub_no-matrix, The nurse lost her documents,.,tensor(-1.4848),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,sub_matrix, Since the nurse lost her documents,", she administered the wrong medicine .",tensor(-2.7145),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,no-sub_matrix, The nurse lost her documents,", she administered the wrong medicine .",tensor(-3.1128),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,sub_no-matrix, Because the scientist broke the computer,.,tensor(-2.4234),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,no-sub_no-matrix, The scientist broke the computer,.,tensor(-2.6452),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,sub_matrix, Because the scientist broke the computer,", the administrator wrote everything by hand .",tensor(-4.5148),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,no-sub_matrix, The scientist broke the computer,", the administrator wrote everything by hand .",tensor(-4.7727),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,sub_no-matrix, After the minister praised the new building,.,tensor(-5.4595),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,no-sub_no-matrix, The minister praised the new building,.,tensor(-2.1284),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,sub_matrix, After the minister praised the new building,", it started to rain .",tensor(-3.1828),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,no-sub_matrix, The minister praised the new building,", it started to rain .",tensor(-4.4403),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,sub_no-matrix, Because the architect read the plans,.,tensor(-2.7679),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,no-sub_no-matrix, The architect read the plans,.,tensor(-2.1893),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,sub_matrix, Because the architect read the plans,", the house was built correctly .",tensor(-3.3216),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,no-sub_matrix, The architect read the plans,", the house was built correctly .",tensor(-4.2288),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,sub_no-matrix, Before the actor delivered the speech,.,tensor(-5.9710),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,no-sub_no-matrix, The actor delivered the speech,.,tensor(-4.2087),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,sub_matrix, Before the actor delivered the speech,", she took a deep breath .",tensor(-2.9791),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,no-sub_matrix, The actor delivered the speech,", she took a deep breath .",tensor(-4.1248),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,sub_no-matrix, While the pianist practiced the music,.,tensor(-4.6120),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,no-sub_no-matrix, The pianist practiced the music,.,tensor(-2.6826),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,sub_matrix, While the pianist practiced the music,", the conductor stretched his arms .",tensor(-2.9397),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,no-sub_matrix, The pianist practiced the music,", the conductor stretched his arms .",tensor(-3.2812),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,sub_no-matrix, Although the students enjoyed the novel,.,tensor(-8.5253),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,no-sub_no-matrix, The students enjoyed the novel,.,tensor(-2.9641),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,sub_matrix, Although the students enjoyed the novel,", the teacher considered it poorly written .",tensor(-3.1611),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,no-sub_matrix, The students enjoyed the novel,", the teacher considered it poorly written .",tensor(-3.6923),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,sub_no-matrix, While the maid read the magazine,.,tensor(-4.4612),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,no-sub_no-matrix, The maid read the magazine,.,tensor(-2.5708),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,sub_matrix, While the maid read the magazine,", the customer waited at her table .",tensor(-3.9427),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,no-sub_matrix, The maid read the magazine,", the customer waited at her table .",tensor(-4.2274),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,sub_no-matrix, Before the assistant wrote the letter,.,tensor(-4.2104),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,no-sub_no-matrix, The assistant wrote the letter,.,tensor(-1.6006),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,sub_matrix, Before the assistant wrote the letter,", she had a cup of coffee .",tensor(-2.5641),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,no-sub_matrix, The assistant wrote the letter,", she had a cup of coffee .",tensor(-3.9137),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,sub_no-matrix, After the diplomat presented the file,.,tensor(-6.6222),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,no-sub_no-matrix, The diplomat presented the file,.,tensor(-2.1209),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,sub_matrix, After the diplomat presented the file,", the ambassador gave a speech .",tensor(-3.0795),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,no-sub_matrix, The diplomat presented the file,", the ambassador gave a speech .",tensor(-3.3859),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,sub_no-matrix, While the officials reviewed the contract,.,tensor(-5.5248),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,no-sub_no-matrix, The officials reviewed the contract,.,tensor(-3.0137),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,sub_matrix, While the officials reviewed the contract,", the players waited nervously .",tensor(-3.5101),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,no-sub_matrix, The officials reviewed the contract,", the players waited nervously .",tensor(-4.1430),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,sub_no-matrix, Because the clerk lost the plans,.,tensor(-1.6180),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,no-sub_no-matrix, The clerk lost the plans,.,tensor(-1.5287),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,sub_matrix, Because the clerk lost the plans,", the detective looked elsewhere .",tensor(-4.0335),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,no-sub_matrix, The clerk lost the plans,", the detective looked elsewhere .",tensor(-4.1827),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,sub_no-matrix, While the tourists read the guide,.,tensor(-6.9984),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,no-sub_no-matrix, The tourists read the guide,.,tensor(-3.9378),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,sub_matrix, While the tourists read the guide,", the children played in the sand .",tensor(-3.1526),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,no-sub_matrix, The tourists read the guide,", the children played in the sand .",tensor(-3.3098),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,sub_no-matrix, When the politicians passed the new law,.,tensor(-7.6061),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,no-sub_no-matrix, The politicians passed the new law,.,tensor(-1.7777),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,sub_matrix, When the politicians passed the new law,", the protestors blocked traffic outside .",tensor(-4.5076),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,no-sub_matrix, The politicians passed the new law,", the protestors blocked traffic outside .",tensor(-4.4759),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,sub_no-matrix, When the police found new evidence,.,tensor(-6.3499),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,no-sub_no-matrix, The police found new evidence,.,tensor(-2.4262),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,sub_matrix, When the police found new evidence,", the judge declared a mistrial .",tensor(-2.6543),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,no-sub_matrix, The police found new evidence,", the judge declared a mistrial .",tensor(-2.8394),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,sub_no-matrix, Before the students handed in their papers,.,tensor(-4.7870),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,no-sub_no-matrix, The students handed in their papers,.,tensor(-1.2379),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,sub_matrix, Before the students handed in their papers,", they revised them all night long .",tensor(-3.1890),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,no-sub_matrix, The students handed in their papers,", they revised them all night long .",tensor(-4.0155),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
23,subordination_orc-orc,sub_no-matrix, As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,.,tensor(-5.6921),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,no-sub_no-matrix, The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,.,tensor(-0.9364),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,sub_matrix, As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,", the nurse walked into the room .",tensor(-2.7449),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,no-sub_matrix, The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,", the nurse walked into the room .",tensor(-3.8263),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,sub_no-matrix, After the man who a friend had helped shot the bird that he had been tracking secretly,.,tensor(-3.7981),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,no-sub_no-matrix, The man who a friend had helped shot the bird that he had been tracking secretly,.,tensor(-2.4343),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,sub_matrix, After the man who a friend had helped shot the bird that he had been tracking secretly,", he loaded his gun .",tensor(-4.1517),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,no-sub_matrix, The man who a friend had helped shot the bird that he had been tracking secretly,", he loaded his gun .",tensor(-4.9968),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,sub_no-matrix, Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution,.,tensor(-1.4786),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,no-sub_no-matrix, The students who the teacher had in her class did not like the material that the teacher used to cover evolution,.,tensor(-0.8315),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,sub_matrix, Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution,", they complained to the principal .",tensor(-2.1885),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,no-sub_matrix, The students who the teacher had in her class did not like the material that the teacher used to cover evolution,", they complained to the principal .",tensor(-2.7232),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,sub_no-matrix, When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago,.,tensor(-3.6606),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,no-sub_no-matrix, The general who the officer had given a uniform entered the camp that the colonel constructed two years ago,.,tensor(-0.8721),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,sub_matrix, When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago,", the soldiers cheered .",tensor(-3.1441),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,no-sub_matrix, The general who the officer had given a uniform entered the camp that the colonel constructed two years ago,", the soldiers cheered .",tensor(-3.9743),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,sub_no-matrix, After the trainer who the dog feared delivered the newspaper that the resident had ordered,.,tensor(-2.0324),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,no-sub_no-matrix, The trainer who the dog feared delivered the newspaper that the resident had ordered,.,tensor(-0.7690),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,sub_matrix, After the trainer who the dog feared delivered the newspaper that the resident had ordered,", the dog looked at the door .",tensor(-2.9177),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,no-sub_matrix, The trainer who the dog feared delivered the newspaper that the resident had ordered,", the dog looked at the door .",tensor(-3.7034),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,sub_no-matrix, While the lawyers who the client had hired printed the documents that the client never requested,.,tensor(-3.0282),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,no-sub_no-matrix, The lawyers who the client had hired printed the documents that the client never requested,.,tensor(-1.1750),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,sub_matrix, While the lawyers who the client had hired printed the documents that the client never requested,", the aids made coffee .",tensor(-5.6176),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,no-sub_matrix, The lawyers who the client had hired printed the documents that the client never requested,", the aids made coffee .",tensor(-6.6221),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,sub_no-matrix, Because the editor who the author knew well liked the draft that the celebrity had written,.,tensor(-1.8894),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,no-sub_no-matrix, The editor who the author knew well liked the draft that the celebrity had written,.,tensor(-1.1632),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,sub_matrix, Because the editor who the author knew well liked the draft that the celebrity had written,", he published it the next month .",tensor(-3.2845),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,no-sub_matrix, The editor who the author knew well liked the draft that the celebrity had written,", he published it the next month .",tensor(-4.0364),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,sub_no-matrix, Since the nurse who the doctor had met only once lost her documents that she had bought from an expensive store,.,tensor(-3.8397),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,no-sub_no-matrix, The nurse who the doctor had met only once lost her documents that she had bought from an expensive store,.,tensor(-1.0417),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
