task,suite name,condition,prompt,completion,log_prob,prediction
4,subordination,sub_matrix, After the delivery man delivered the newspaper,", the dog looked at the door .",tensor(-3.6075),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,no-sub_matrix, The delivery man delivered the newspaper,", the dog looked at the door .",tensor(-4.3900),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,sub_no-matrix, While the lawyers printed the documents,.,tensor(-4.4609),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,no-sub_no-matrix, The lawyers printed the documents,.,tensor(-2.9215),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,sub_matrix, While the lawyers printed the documents,", the aids made coffee .",tensor(-4.4788),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
5,subordination,no-sub_matrix, The lawyers printed the documents,", the aids made coffee .",tensor(-5.3768),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,sub_no-matrix, Because the editor liked the draft,.,tensor(-3.1607),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,no-sub_no-matrix, The editor liked the draft,.,tensor(-3.7122),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,sub_matrix, Because the editor liked the draft,", he published it the next month .",tensor(-3.6062),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
6,subordination,no-sub_matrix, The editor liked the draft,", he published it the next month .",tensor(-4.1814),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,sub_no-matrix, Since the nurse lost her documents,.,tensor(-5.2331),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,no-sub_no-matrix, The nurse lost her documents,.,tensor(-2.0533),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,sub_matrix, Since the nurse lost her documents,", she administered the wrong medicine .",tensor(-3.1010),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
7,subordination,no-sub_matrix, The nurse lost her documents,", she administered the wrong medicine .",tensor(-3.6158),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,sub_no-matrix, Because the scientist broke the computer,.,tensor(-2.2282),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,no-sub_no-matrix, The scientist broke the computer,.,tensor(-3.4596),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,sub_matrix, Because the scientist broke the computer,", the administrator wrote everything by hand .",tensor(-5.0159),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
8,subordination,no-sub_matrix, The scientist broke the computer,", the administrator wrote everything by hand .",tensor(-5.5311),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,sub_no-matrix, After the minister praised the new building,.,tensor(-4.7900),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,no-sub_no-matrix, The minister praised the new building,.,tensor(-4.5947),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,sub_matrix, After the minister praised the new building,", it started to rain .",tensor(-2.9017),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
9,subordination,no-sub_matrix, The minister praised the new building,", it started to rain .",tensor(-4.8498),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,sub_no-matrix, Because the architect read the plans,.,tensor(-3.7177),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,no-sub_no-matrix, The architect read the plans,.,tensor(-4.4552),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,sub_matrix, Because the architect read the plans,", the house was built correctly .",tensor(-3.0880),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
10,subordination,no-sub_matrix, The architect read the plans,", the house was built correctly .",tensor(-4.5748),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,sub_no-matrix, Before the actor delivered the speech,.,tensor(-5.0542),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,no-sub_no-matrix, The actor delivered the speech,.,tensor(-4.4057),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,sub_matrix, Before the actor delivered the speech,", she took a deep breath .",tensor(-2.7534),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
11,subordination,no-sub_matrix, The actor delivered the speech,", she took a deep breath .",tensor(-3.7615),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,sub_no-matrix, While the pianist practiced the music,.,tensor(-5.5349),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,no-sub_no-matrix, The pianist practiced the music,.,tensor(-4.3959),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,sub_matrix, While the pianist practiced the music,", the conductor stretched his arms .",tensor(-3.1560),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
12,subordination,no-sub_matrix, The pianist practiced the music,", the conductor stretched his arms .",tensor(-3.3606),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,sub_no-matrix, Although the students enjoyed the novel,.,tensor(-7.2635),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,no-sub_no-matrix, The students enjoyed the novel,.,tensor(-5.0807),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,sub_matrix, Although the students enjoyed the novel,", the teacher considered it poorly written .",tensor(-3.0761),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
13,subordination,no-sub_matrix, The students enjoyed the novel,", the teacher considered it poorly written .",tensor(-3.9315),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,sub_no-matrix, While the maid read the magazine,.,tensor(-4.7796),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,no-sub_no-matrix, The maid read the magazine,.,tensor(-3.4429),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,sub_matrix, While the maid read the magazine,", the customer waited at her table .",tensor(-4.0390),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
14,subordination,no-sub_matrix, The maid read the magazine,", the customer waited at her table .",tensor(-4.6194),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,sub_no-matrix, Before the assistant wrote the letter,.,tensor(-5.1607),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,no-sub_no-matrix, The assistant wrote the letter,.,tensor(-2.7220),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,sub_matrix, Before the assistant wrote the letter,", she had a cup of coffee .",tensor(-2.7612),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
15,subordination,no-sub_matrix, The assistant wrote the letter,", she had a cup of coffee .",tensor(-4.1142),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,sub_no-matrix, After the diplomat presented the file,.,tensor(-6.3601),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,no-sub_no-matrix, The diplomat presented the file,.,tensor(-4.7046),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,sub_matrix, After the diplomat presented the file,", the ambassador gave a speech .",tensor(-2.6241),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
16,subordination,no-sub_matrix, The diplomat presented the file,", the ambassador gave a speech .",tensor(-3.1968),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,sub_no-matrix, While the officials reviewed the contract,.,tensor(-5.0352),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,no-sub_no-matrix, The officials reviewed the contract,.,tensor(-4.4538),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,sub_matrix, While the officials reviewed the contract,", the players waited nervously .",tensor(-3.0490),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
17,subordination,no-sub_matrix, The officials reviewed the contract,", the players waited nervously .",tensor(-4.1305),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,sub_no-matrix, Because the clerk lost the plans,.,tensor(-2.0617),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,no-sub_no-matrix, The clerk lost the plans,.,tensor(-2.1999),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,sub_matrix, Because the clerk lost the plans,", the detective looked elsewhere .",tensor(-4.5924),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
18,subordination,no-sub_matrix, The clerk lost the plans,", the detective looked elsewhere .",tensor(-4.7302),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,sub_no-matrix, While the tourists read the guide,.,tensor(-8.9019),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,no-sub_no-matrix, The tourists read the guide,.,tensor(-7.0776),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,sub_matrix, While the tourists read the guide,", the children played in the sand .",tensor(-3.5348),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
19,subordination,no-sub_matrix, The tourists read the guide,", the children played in the sand .",tensor(-3.9182),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,sub_no-matrix, When the politicians passed the new law,.,tensor(-5.3607),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,no-sub_no-matrix, The politicians passed the new law,.,tensor(-2.5032),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,sub_matrix, When the politicians passed the new law,", the protestors blocked traffic outside .",tensor(-4.5330),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
20,subordination,no-sub_matrix, The politicians passed the new law,", the protestors blocked traffic outside .",tensor(-4.5705),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,sub_no-matrix, When the police found new evidence,.,tensor(-4.9404),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,no-sub_no-matrix, The police found new evidence,.,tensor(-4.4359),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,sub_matrix, When the police found new evidence,", the judge declared a mistrial .",tensor(-2.7091),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
21,subordination,no-sub_matrix, The police found new evidence,", the judge declared a mistrial .",tensor(-3.1425),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,sub_no-matrix, Before the students handed in their papers,.,tensor(-5.0653),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,no-sub_no-matrix, The students handed in their papers,.,tensor(-2.6847),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,sub_matrix, Before the students handed in their papers,", they revised them all night long .",tensor(-3.9393),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
22,subordination,no-sub_matrix, The students handed in their papers,", they revised them all night long .",tensor(-4.4133),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
23,subordination_orc-orc,sub_no-matrix, As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,.,tensor(-4.5869),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,no-sub_no-matrix, The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,.,tensor(-1.2994),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,sub_matrix, As the doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,", the nurse walked into the room .",tensor(-2.4224),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
23,subordination_orc-orc,no-sub_matrix, The doctor who the administrator had recently hired studied the book that colleagues had written on cancer therapy,", the nurse walked into the room .",tensor(-3.5544),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,sub_no-matrix, After the man who a friend had helped shot the bird that he had been tracking secretly,.,tensor(-2.7834),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,no-sub_no-matrix, The man who a friend had helped shot the bird that he had been tracking secretly,.,tensor(-2.6603),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,sub_matrix, After the man who a friend had helped shot the bird that he had been tracking secretly,", he loaded his gun .",tensor(-4.6432),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
24,subordination_orc-orc,no-sub_matrix, The man who a friend had helped shot the bird that he had been tracking secretly,", he loaded his gun .",tensor(-5.1139),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,sub_no-matrix, Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution,.,tensor(-1.4760),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,no-sub_no-matrix, The students who the teacher had in her class did not like the material that the teacher used to cover evolution,.,tensor(-1.1100),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,sub_matrix, Because the students who the teacher had in her class did not like the material that the teacher used to cover evolution,", they complained to the principal .",tensor(-2.4224),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
25,subordination_orc-orc,no-sub_matrix, The students who the teacher had in her class did not like the material that the teacher used to cover evolution,", they complained to the principal .",tensor(-2.5142),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,sub_no-matrix, When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago,.,tensor(-2.6933),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,no-sub_no-matrix, The general who the officer had given a uniform entered the camp that the colonel constructed two years ago,.,tensor(-0.8022),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,sub_matrix, When the general who the officer had given a uniform entered the camp that the colonel constructed two years ago,", the soldiers cheered .",tensor(-3.0900),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
26,subordination_orc-orc,no-sub_matrix, The general who the officer had given a uniform entered the camp that the colonel constructed two years ago,", the soldiers cheered .",tensor(-3.7179),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,sub_no-matrix, After the trainer who the dog feared delivered the newspaper that the resident had ordered,.,tensor(-2.2233),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,no-sub_no-matrix, The trainer who the dog feared delivered the newspaper that the resident had ordered,.,tensor(-0.6890),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,sub_matrix, After the trainer who the dog feared delivered the newspaper that the resident had ordered,", the dog looked at the door .",tensor(-3.2855),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
27,subordination_orc-orc,no-sub_matrix, The trainer who the dog feared delivered the newspaper that the resident had ordered,", the dog looked at the door .",tensor(-4.0162),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,sub_no-matrix, While the lawyers who the client had hired printed the documents that the client never requested,.,tensor(-2.2190),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,no-sub_no-matrix, The lawyers who the client had hired printed the documents that the client never requested,.,tensor(-1.4094),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,sub_matrix, While the lawyers who the client had hired printed the documents that the client never requested,", the aids made coffee .",tensor(-5.7710),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
28,subordination_orc-orc,no-sub_matrix, The lawyers who the client had hired printed the documents that the client never requested,", the aids made coffee .",tensor(-7.0039),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,sub_no-matrix, Because the editor who the author knew well liked the draft that the celebrity had written,.,tensor(-1.7652),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,no-sub_no-matrix, The editor who the author knew well liked the draft that the celebrity had written,.,tensor(-1.3492),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,sub_matrix, Because the editor who the author knew well liked the draft that the celebrity had written,", he published it the next month .",tensor(-3.8780),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
29,subordination_orc-orc,no-sub_matrix, The editor who the author knew well liked the draft that the celebrity had written,", he published it the next month .",tensor(-4.2110),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,sub_no-matrix, Since the nurse who the doctor had met only once lost her documents that she had bought from an expensive store,.,tensor(-3.6484),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,no-sub_no-matrix, The nurse who the doctor had met only once lost her documents that she had bought from an expensive store,.,tensor(-0.9842),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
