score,sentence1,sentence2,Predicted Score LLaMA-13b
1.714,A man is playing a guitar.,A man is playing a trumpet.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A woman is walking.""
- ""A woman is running."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A"
5.0,A man is cutting an onion.,A man cuts an onion.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cutting an onion.""
- ""A man cuts an onion.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given the two sentences:
- ""A man is cutting an onion.""
- ""A man cuts an onion.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given"
0.6,A man is cycling.,A man is talking.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cycling.""
- ""A man is talking.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Given the two sentences:
- ""A man is cycling.""
- ""A man is talking."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Given the two sentences:
- ""A man is cycling"
4.4,A man is slicing open a fish.,A man is cutting up a fish.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is slicing open a fish.""
- ""A man is cutting up a fish.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

  Given the two sentences:
- ""A man is slicing open a fish.""
- ""A man is cutting up a fish.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3."
2.0,A man is slicing a tomato.,A man is slicing a bun.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is slicing a tomato.""
- ""A man is slicing a bun.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  
  The best similarity score is 4.

  Given the two sentences:
- ""A man is slicing a tomato.""
- ""A man is slicing a bun."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4"
1.8,A man is playing a guitar.,A man is playing a keyboard.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Sentence 1: A man is playing a keyboard. 

  Sentence 2: A man is playing a guitar. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a keyboard.""
- ""A woman is playing a keyboard.,
  choose the best similarity score (0 not"
4.4,A baby panda goes down a slide.,A panda slides down a slide.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A baby panda goes down a slide.""
- ""A panda slides down a slide.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.
  
  
  Given the two sentences:
- ""A baby panda goes down a slide.""
- ""A panda slides down a slide."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
"
3.6,A man is singing and playing a guitar.,A man is playing a guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is singing and playing a guitar.""
- ""A man is playing a guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Sentence 1: A man is playing a guitar. 

  Sentence2: A man is singing and playing a guitar. 

  Similarity score: 4.000

  Given the two sentences:
- ""A woman is sitting and watching TV.""
- ""A woman is watching TV."",
  choose the best similarity score"
3.6,A man attacks a woman.,A man slaps a woman.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man attacks a woman.""
- ""A man slaps a woman.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man attacks a woman.""
- ""A woman attacks a man."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Given the two sentences:
- ""A man"
1.2,A man is driving a car.,A man is riding a horse.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is driving a car.""
- ""A man is riding a horse.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.5

  Given the two sentences:
- ""A man is driving a car.""
- ""A man is riding a horse.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.5

  Given"
2.4,A woman is cutting tofu.,A woman is cutting an onion.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is cutting tofu.""
- ""A woman is cutting an onion.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  
  A. 2

  The word ""cutting"" is a verb in both sentences. The two sentences have the same subject (""A woman"") and the same verb. Therefore, the similarity score is 2.



"
0.2,The woman is styling her hair.,The woman is slicing herbs.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""The woman is styling her hair.""
- ""The woman is slicing herbs.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4. The sentences are very similar.

  Sentence 1: A man is swimming in the sea. 

  Sentence 2: A man is swimming in the lake. 

  Similarity score: 0.500 

  Sentence 1: A woman is swimming. 

  Sentence 2:"
4.2,Two zebras play in an open field.,Two zebras are playing in a field.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""Two zebras play in an open field.""
- ""Two zebras are playing in a field.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A man is walking down the street.""
- ""A man is walking down the street."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

"
4.4,A man is cutting a potato.,A man is slicing some potato.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cutting a potato.""
- ""A man is slicing some potato.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.800

  Given the two sentences:
- ""A woman is writing.""
- ""A woman is swimming."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.500
"
2.25,A man is slicing an onion.,A woman is slicing a pumpkin.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is slicing an onion.""
- ""A woman is slicing a pumpkin.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

  Given the two sentences:
- ""A woman is swimming.""
- ""A woman is writing."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Given"
2.0,A  man is dancing.,A man and woman is dancing.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A  man is dancing.""
- ""A man and woman is dancing.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Sentence 1: A woman is sitting on a chair.

  Sentence 2: A woman is sitting on a chair in a room.

  Similarity score: 2.300

  Given the two sentences:
- ""A woman is sitting on a chair.""
- ""A woman is sitting on a chair in a room.""
"
0.75,A man is riding a motorcycle.,A woman is riding a horse.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is riding a motorcycle.""
- ""A woman is riding a horse.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  
  

  Sentence 1: A man is riding a motorcycle. 

  Sentence2: A woman is riding a horse. 

  Similarity score: 3.600 

  Sentence 1: A woman is eating. 

  Sentence 2: A man is eating. 
"
2.2,A woman is slicing garlics.,A woman is slicing an onion.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is slicing garlics.""
- ""A woman is slicing an onion.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.800

  Given the two sentences:
- ""A woman is slicing garlics.""
- ""A woman is slicing an onion."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The"
0.8,A man is speaking.,A man is cooking.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is speaking.""
- ""A man is cooking.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0. 

  Given the two sentences:
- ""A man is speaking.""
- ""A man is cooking."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0. 

  Given the two sentences:
- ""A"
2.2,A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A little boy is singing and playing a guitar.""
- ""A man is singing and playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A little boy is singing and playing a guitar.""
- ""A little boy is singing and playing a guitar."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  "
3.2,A turtle is swimming in water.,A turtle is walking underwater.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A turtle is swimming in water.""
- ""A turtle is walking underwater.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man is playing with a cat.""
- ""A woman is playing with a cat.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  1

 "
4.8,A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A young woman is putting stickers all over her face.""
- ""A woman is applying stickers to her face.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Given the two sentences:
- ""A young man is standing in front of a woman.""
- ""A man is standing in front of a woman."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The"
1.4,A woman is wrapping tofu.,A woman is balling dough.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is wrapping tofu.""
- ""A woman is balling dough.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A cat is rubbing against a baby.""
- ""A cat is rubbing against baby's face."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

 "
4.25,A cat is eating some corn.,A cat is eating corn on the cob.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A cat is eating some corn.""
- ""A cat is eating corn on the cob.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Sentence 1: A man is eating some corn. 

  Sentence 2: A man is eating corn on the cob. 

  Similarity score: 4.000 

  Given the two sentences:
- ""A woman is drinking some milk.""
- ""A woman is drink"
3.4,A man is eating a food.,A man is eating a piece of bread.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is eating a food.""
- ""A man is eating a piece of bread.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man is eating a food.""
- ""A man is eating a piece of bread."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

"
0.533,A man is playing a guitar.,A man is eating pasta.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is eating pasta.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is eating pasta.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:"
0.4,A man is kicking pots of water.,A man is picking flowers.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is kicking pots of water.""
- ""A man is picking flowers.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5. 

  Sentence 1: A man is kicking pots of water. 

  Sentence2: A man is picking flowers. 

  Similarity score: 5.000 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 
"
1.2,A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cutting a pipe with scissors.""
- ""A man is cutting carpet with a knife.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Given the two sentences:
- ""A man is cutting a pipe with scissors.""
- ""A man is cutting carpet with a knife.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The"
5.0,A woman is dancing in the rain.,A woman dances in the rain out side.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is dancing in the rain.""
- ""A woman dances in the rain out side.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  
  0

  Sentence 1: A man is swimming. 

  Sentence 2: A man is walking. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is swimming in the ocean.""
- ""A man is walking in the park.""
  choose"
0.538,A woman is taking a bath.,A woman is riding a horse.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is taking a bath.""
- ""A woman is riding a horse.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

  Given the two sentences:
- ""A woman is taking a bath.""
- ""A woman is riding a horse."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

  Given the two"
3.75,A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man mixes vegetables in a pot.""
- ""A person is stirring vegetables in a pot.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given the two sentences:
- ""A man is walking on a road.""
- ""A man is walking on a path."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5"
3.0,A woman is talking on a cell phone.,A man and woman are talking on the phone.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is talking on a cell phone.""
- ""A man and woman are talking on the phone.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2. The similarity score for the sentences is 2.
  
  Sentence 1: A woman is talking on a cell phone. 

  Sentence 2: A man and woman are talking on the phone. 

  Similarity score: 2.000

  Given the two sentences:
- ""A woman is talking on"
