prompt,correct,log_prob_correct,incorrect,log_prob_incorrect,correct_prediction
The woman's ring slipped off in the shower.,The ring went down the drain.,tensor(-2.3882),The woman polished the ring.,tensor(-4.3327),True
The girl received a trophy.,She won a spelling bee.,tensor(-2.9060),She made a new friend.,tensor(-3.7808),True
The woman's date wanted to look like a gentleman.,He opened the door for her.,tensor(-2.6518),He asked her if she liked sushi.,tensor(-2.8237),True
The farmland needed irrigation.,A canal was constructed.,tensor(-4.7969),A flood occurred.,tensor(-5.5599),True
The host cancelled the party.,She was certain she had the flu.,tensor(-3.8239),She worried she would catch the flu.,tensor(-3.6794),False
The woman gave the man her phone number.,She was attracted to him.,tensor(-2.9676),She was repulsed by him.,tensor(-3.2845),True
The skydiver glided safely to the ground.,She opened her parachute.,tensor(-2.8083),She jumped out of the plane.,tensor(-2.4351),False
The toddler became cranky.,Her mother put her down for a nap.,tensor(-2.4274),Her mother fixed her hair into pigtails.,tensor(-3.6352),True
The child became immune to the disease.,He received the vaccine for the disease.,tensor(-2.7900),He avoided exposure to the disease.,tensor(-3.4459),True
The grape juice fermented.,The juice turned to wine.,tensor(-3.4678),The juice evaporated.,tensor(-3.9995),True
The friends' debate dragged on interminably.,The friends were splitting hairs.,tensor(-4.3993),The friends saw eye to eye.,tensor(-4.6444),True
The woman hummed to herself.,She was in a good mood.,tensor(-2.4364),She was nervous.,tensor(-4.0342),True
The man hated his new haircut.,He wore a hat.,tensor(-4.8974),He grew a beard.,tensor(-3.9541),False
The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,tensor(-3.2448),The fugitive fell to the ground.,tensor(-2.8270),False
The patient was dehydrated.,The nurse gave him an IV.,tensor(-3.7714),The nurse tested his reflexes.,tensor(-4.0331),True
The girl found the missing puzzle piece.,She completed the puzzle.,tensor(-3.1785),She took apart the puzzle.,tensor(-4.0054),True
The man urgently leaped out of bed.,He wanted to shut off the alarm clock.,tensor(-3.4134),He wanted to iron his pants before work.,tensor(-3.8800),True
The papers were disorganized.,I put them into alphabetical order.,tensor(-3.3885),I made photocopies of them.,tensor(-3.3175),False
The woman won the lottery.,She bought a yacht.,tensor(-3.3248),She joined a church.,tensor(-5.0122),True
The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,tensor(-3.6982),The thread wrapped around the needle.,tensor(-2.9703),False
The woman hired a lawyer.,She decided to sue her employer.,tensor(-2.9552),She decided to run for office.,tensor(-3.8040),True
The tenant misplaced his keys to his apartment.,His landlord unlocked the door.,tensor(-2.4777),His landlord repaired the door.,tensor(-2.4015),False
My favorite song came on the radio.,I sang along to it.,tensor(-3.9858),I covered my ears.,tensor(-5.0795),True
The executive decided not to hire the applicant.,The applicant failed a background check.,tensor(-3.2187),The applicant had experience for the job.,tensor(-3.2992),True
The man's eye became infected.,He went blind.,tensor(-4.6204),He put on glasses.,tensor(-4.1795),False
The bird couldn't fly.,It injured its wing.,tensor(-4.6574),It migrated for the winter.,tensor(-4.3663),False
The girl made a wish.,She saw a shooting star.,tensor(-3.4999),She saw a black cat.,tensor(-4.1669),True
The woman shivered as she got out the pool.,She wrapped herself in a towel.,tensor(-2.3763),She poured herself some lemonade.,tensor(-3.0226),True
The nurse prepared the needle for the patient's injection.,The patient tensed up.,tensor(-4.1453),The patient bled.,tensor(-4.8829),True
The man threw out the bread.,It was stale.,tensor(-3.2822),It was fresh.,tensor(-4.8073),True
The children knocked over a lamp.,They had a pillow fight.,tensor(-3.1412),They jumped on the bed.,tensor(-2.9009),False
I drank from the water fountain.,I was thirsty.,tensor(-3.0031),I felt nauseous.,tensor(-3.7520),True
The homeowners disliked their nosy neighbors.,They built a fence around their property.,tensor(-2.5088),They hosted a barbeque in their backyard.,tensor(-3.0179),True
The bodybuilder lifted weights.,Her muscles became fatigued.,tensor(-3.0582),The gym closed.,tensor(-4.9350),True
The cook stirred the ingredients in the bowl.,The ingredients blended together.,tensor(-2.8316),The ingredients melted.,tensor(-2.9403),True
The man signed the document.,The transaction became official.,tensor(-5.4370),The transaction was voided.,tensor(-4.5960),False
The police officer dropped the gun.,The gun went off.,tensor(-3.6448),The gun recoiled.,tensor(-4.1734),True
The woman felt compelled to help someone in need.,She donated blood.,tensor(-4.5444),She wrote a poem.,tensor(-4.9415),True
The woman felt lonely.,She adopted a cat.,tensor(-4.6956),She renovated her kitchen.,tensor(-4.9345),True
I rubbed sandpaper on the wood.,The wood became smooth.,tensor(-3.9863),The wood became sticky.,tensor(-4.2939),True
The crowd gave the band a standing ovation.,The band reappeared on the stage.,tensor(-3.3291),The band signed autographs.,tensor(-3.6094),True
The man threw his empty can onto the street.,He was fined for littering.,tensor(-2.8888),He was jumped from behind.,tensor(-4.1270),True
My stomach growled.,I forgot to eat breakfast.,tensor(-3.6157),I was full from breakfast.,tensor(-4.6768),True
The boaters set off a flare.,Their boat was rescued.,tensor(-3.2896),Their boat drifted to shore.,tensor(-2.9757),False
The man removed his coat.,He entered the house.,tensor(-4.4106),He loosened his tie.,tensor(-2.8075),False
The family took their dog to the veterinarian.,The dog injured his paw.,tensor(-3.7069),The dog chewed on a bone.,tensor(-3.3947),False
The woman dangled the biscuit above the dog.,The dog jumped up.,tensor(-3.2065),The dog scratched its fur.,tensor(-4.5097),True
I learned how to play the board game.,My friend explained the rules to me.,tensor(-2.8891),My friend got the rules wrong.,tensor(-4.1082),True
The man went away for the weekend.,He wanted to relax.,tensor(-4.2059),He felt content.,tensor(-6.8330),True
The shop was closed.,The shop was undergoing renovation.,tensor(-3.2307),The owner was helping customers.,tensor(-4.8872),True
The boy tuned the radio.,The station was coming in with static.,tensor(-3.7282),The station was playing rock music.,tensor(-3.5252),False
The terrorist set off the bomb.,The bomb exploded.,tensor(-3.1182),The bomb was deactivated.,tensor(-3.6785),True
The police handcuffed the suspect.,The suspect resisted arrest.,tensor(-3.3783),The police called for backup.,tensor(-3.9959),True
The authorities vowed to protect the identity of the crime victim.,They withheld the victim's name from the public.,tensor(-2.2298),The victim struggled to recall details about the crime.,tensor(-3.5571),True
The man's clothes fit loosely.,He lost weight.,tensor(-5.2392),He bought them on sale.,tensor(-4.1552),False
The clock stopped ticking.,The clock showed the wrong time.,tensor(-3.7709),I took extra time to get ready.,tensor(-4.3594),True
The man closed the umbrella.,He approached the building.,tensor(-5.2218),He got out of the car.,tensor(-2.7937),False
The man craved a cigarette.,He was addicted to nicotine.,tensor(-2.3386),His family urged him to quit smoking.,tensor(-2.7430),True
The man dropped food on the floor.,His dog ran over to eat the food.,tensor(-2.7515),His dog jumped up on him.,tensor(-3.0085),True
The girl was angry with her friend.,The girl spread a rumor about her friend.,tensor(-3.0779),The girl told a secret to her friend.,tensor(-2.9142),False
The fugitive hid from the police.,The fugitive remained at large.,tensor(-3.1746),The police dropped the case.,tensor(-4.5030),True
I tipped the bottle.,The liquid in the bottle poured out.,tensor(-2.7559),The liquid in the bottle froze.,tensor(-3.1975),True
The woman spoke with a foreign accent.,She migrated from another country.,tensor(-4.1929),She came from a wealthy family.,tensor(-3.1490),False
The boy's mouth stung.,He ate a pepper.,tensor(-4.0413),He blew out the candle.,tensor(-3.0305),False
I finished a page of the book.,I turned to the next page.,tensor(-3.9389),I ripped out the next page.,tensor(-4.2688),True
The service at the restaurant was slow.,The restaurant was crowded.,tensor(-3.3913),There were many empty tables.,tensor(-3.4368),True
I saw a woman getting robbed on the street.,I called 911.,tensor(-2.5676),I hailed a cab.,tensor(-4.2862),True
My stomach hurt.,I ate birthday cake.,tensor(-3.6155),I jogged on the treadmill.,tensor(-3.2785),False
I put my plate in the sink.,I finished eating.,tensor(-4.1609),I skipped dinner.,tensor(-5.1414),True
The man closed the book.,He finished reading it.,tensor(-4.0928),It provoked him to think.,tensor(-4.4094),True
The boy read the novel aloud to his grandfather.,His grandfather was blind.,tensor(-2.6716),His grandfather was deaf.,tensor(-2.4328),False
My foot went numb.,I shook my foot.,tensor(-4.7282),I put my shoes on.,tensor(-3.6141),False
The photographer got the child to smile.,The photographer quickly snapped the child's photo.,tensor(-2.5373),The photographer quickly changed the child's pose.,tensor(-2.8553),True
The window was opaque.,The glass was stained.,tensor(-3.9164),The blinds were open.,tensor(-3.8912),False
I slipped on the floor.,The tile was wet.,tensor(-4.2686),The tile was cracked.,tensor(-4.2720),True
The man slid the razor across his chin.,His stubble disappeared.,tensor(-3.9137),His stubble grew.,tensor(-4.1313),True
The woman took her family on vacation.,She received a salary bonus.,tensor(-4.6358),Her husband got laid off.,tensor(-3.9790),False
The woman awakened.,Her husband was snoring.,tensor(-3.1827),She took sleeping pills.,tensor(-4.1290),True
The woman sensed a pleasant smell.,She was reminded of her childhood.,tensor(-2.3390),She remembered to take her medication.,tensor(-4.0343),True
The bar closed.,It was 3 AM.,tensor(-3.3299),It was crowded.,tensor(-3.7179),True
The driver got pulled over by the police.,He was speeding.,tensor(-3.6399),He was parking.,tensor(-4.9388),True
The teacher took roll.,She identified the students that were absent.,tensor(-3.6646),She gave her students a pop quiz.,tensor(-2.6044),False
I pushed the pendulum.,It swung back and forth.,tensor(-2.3060),It slowed to a stop.,tensor(-3.0469),True
The child kicked the stack of blocks.,The blocks scattered all over the rug.,tensor(-3.6261),The stack towered over the boy's head.,tensor(-2.9804),False
The teenager ran away from home.,His parents abused him.,tensor(-3.6325),He relied on his parents.,tensor(-4.2899),True
I botched the job interview.,The interviewer asked difficult questions.,tensor(-3.3206),I anticipated the interviewer's questions.,tensor(-2.9665),False
The pharmaceutical company recalled the drug.,Users reported dangerous side effects.,tensor(-4.3794),Users got refills on their prescriptions.,tensor(-3.8475),False
The man looked at his watch.,He realized he was early.,tensor(-3.9699),He realized he forgot something.,tensor(-4.5365),True
I dabbed the floor with a paper towel.,I spilled juice on the floor.,tensor(-3.0288),The floor was permanently stained.,tensor(-3.3813),True
The bartender refused to serve the patron.,The patron was drunk.,tensor(-3.4281),The patron was alone.,tensor(-5.1709),True
I was confused by the professor's lecture.,I asked the professor questions.,tensor(-4.4700),I paid attention to the professor.,tensor(-4.1217),False
The book was deemed inappropriate for children.,Schools banned it from its libraries.,tensor(-3.2015),Teachers required students to read it.,tensor(-3.3090),True
The man begged for forgiveness.,The woman took pity on him.,tensor(-3.3599),The woman joked around with him.,tensor(-4.0630),True
I received a package in the mail.,The package triggered my curiosity.,tensor(-5.0583),I took the package to the post office.,tensor(-2.9347),False
The surfer caught the wave.,The wave carried her to the shore.,tensor(-2.8326),She paddled her board into the ocean.,tensor(-2.7828),False
The speaker disarmed her debate opponent.,The speaker won the debate.,tensor(-3.1013),The speaker congratulated her opponent.,tensor(-2.5954),False
I moved to a new city.,I found a better-paying job.,tensor(-3.0904),My son was born.,tensor(-3.9193),True
I avoided giving a straight answer to the question.,The question made me uncomfortable.,tensor(-2.7677),I wanted to be honest.,tensor(-3.9713),True
The student received detention.,He talked back to the teacher.,tensor(-3.0828),The teacher graded his homework.,tensor(-3.5165),True
The boy's hands were shaking.,He planned to ask the girl out.,tensor(-4.2652),His palms were cold and sweaty.,tensor(-2.4095),False
The fans in the stadium cheered.,The player scored.,tensor(-6.6743),The game ended in a tie.,tensor(-3.6467),False
The girl went down the hill on her bike.,Her bike sped up.,tensor(-3.3383),Her bike swerved.,tensor(-3.1198),False
A man cut in front of me in the long line.,I confronted him.,tensor(-4.2756),I smiled at him.,tensor(-4.2474),False
The inside of the train went dark.,The train travelled through a tunnel.,tensor(-3.4264),The train ran off the tracks.,tensor(-3.6732),True
The man contemplated the painting.,He felt in awe.,tensor(-4.0838),He collapsed.,tensor(-6.3109),True
The turtle hid in its shell.,It detected a predator.,tensor(-5.0062),It ate a fish.,tensor(-3.7327),False
The girl handed down her clothes to her younger sister.,She outgrew the clothes.,tensor(-3.9771),The clothes were tattered.,tensor(-3.6801),False
Several witnesses of the crime testified against the suspect.,The suspect was convicted.,tensor(-3.5945),The suspect was acquitted.,tensor(-3.7658),True
The parents left their children with a babysitter.,They made plans to celebrate their anniversary.,tensor(-2.4648),Their youngest child started attending preschool.,tensor(-3.3625),True
The trip took a long time.,The driver made a wrong turn.,tensor(-4.0059), The driver talked the whole way.,tensor(-3.9454),False
The product was heavily advertised.,Consumers recognized the product.,tensor(-3.6852),The product became outdated.,tensor(-4.7247),True
I rubbed the soap between my hands.,The soap foamed.,tensor(-4.3502),My hands went numb.,tensor(-3.5718),False
The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,tensor(-2.4746),The horse trotted into the barn.,tensor(-2.7843),True
The group overlooked the woman's faux pas.,The woman was relieved.,tensor(-4.2579),The woman apologized.,tensor(-4.5130),True
The girl came across an unfamiliar word in her textbook.,She looked the term up in the dictionary.,tensor(-2.8103),She chucked the textbook across the room.,tensor(-2.9946),True
The man became disabled.,His family offered him financial support.,tensor(-3.9803),His family cut off contact with him.,tensor(-3.1415),False
The flashlight was dead.,I replaced the batteries.,tensor(-3.3862),I took it apart.,tensor(-4.3106),True
The skunk sprayed the dog.,The dog emitted a foul smell.,tensor(-2.9217),The skunk roamed the woods.,tensor(-3.2741),True
I scratched my skin.,My itch went away.,tensor(-3.7581),My scar faded.,tensor(-4.9234),True
I wrote a thank-you note to my grandmother.,She sent me a gift.,tensor(-3.6418),She became forgetful.,tensor(-5.9504),True
A burglar broke into the house.,The security alarm went off.,tensor(-3.8422),The homeowners were asleep.,tensor(-3.0924),False
I held the door for the woman entering behind me.,The woman thanked me.,tensor(-3.2134),The door slammed shut.,tensor(-3.2984),True
The mirror in the bathroom fogged up.,The girl turned on the fan.,tensor(-4.0083),The girl applied her makeup.,tensor(-4.6504),True
The security guard tackled the man.,The man displayed a weapon.,tensor(-4.3961),The man reached into his pocket.,tensor(-3.6088),False
The driver rotated the steering wheel.,The car turned.,tensor(-5.1054),The car halted.,tensor(-4.7064),False
The army surrendered the battle.,They were outnumbered.,tensor(-3.2892),They stormed the city.,tensor(-4.0449),True
The navy bombed the ship.,The ship's debris sunk in the sea.,tensor(-2.6993),The ship crashed into the pier.,tensor(-3.1727),True
I ironed my shirt.,It was wrinkled.,tensor(-2.6865),It was clean.,tensor(-4.0603),True
The girl felt dizzy.,She lost her balance.,tensor(-3.6929),She did stretches.,tensor(-5.1228),True
The driver pulled over to the side of the road.,He noticed a stranded vehicle.,tensor(-4.4724),He went through an intersection.,tensor(-5.2802),True
The hospital sent the patient home.,The patient's symptoms cleared up.,tensor(-3.0354),The patient's family visited him.,tensor(-3.9194),True
