prompt,entailment/non-entailment,log_prob_entailment,log_prob_nonentailment,correct_prediction
"Thus began the journey that led Hannam, a 29-year-old free-lance journalist, on an international quest to solve one of the greatest mysteries of Asia: What happened to Lin Piao, the Chinese Communist Party leader accused of a 1971 plot to overthrow Chairman Mao. Lin Piao was the Chinese Communist Party leader.",entailment,tensor(-9.4510),tensor(-6.6746),False
"A top aide to Ms. Bhutto, Senator Latif Khosa, says that on the day of her assassination, Ms. Bhutto planned to give two visiting U.S. lawmakers a thick dossier outlining numerous instances of government pre-poll rigging involving voter registration as well as intimidation of PPP supporters. ""Everything was recorded in that, with all proofs that we have had, and with the independent reports of the foreign monitors who were also operating. Their reports also supported our allegations as to being substantial and as being true. So they were all recorded, but unfortunately she could not present the report because she was assassinated before she could do that,"" said Khosa. Latif Khosa was in a relationship with Ms. Bhutto.",non-entailment,tensor(-10.4579),tensor(-7.7230),True
"A farmer who was in contact with cows suffering from BSE -- the so-called mad cow disease -- has died from what is regarded as the human form of the disease. Bovine spongiform encephalopathy is another name for the ""mad cow disease"".",entailment,tensor(-10.4049),tensor(-7.7461),False
"The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot. Pennsylvania has the biggest Amish community in the U.S.",non-entailment,tensor(-11.1208),tensor(-7.7713),True
Grieving father Christopher Yavelow hopes to deliver one million letters to the queen of Holland to bring his children home. Christopher Yavelow is the queen of Holland.,non-entailment,tensor(-9.9765),tensor(-7.4398),True
"In Nigeria, by far the most populous country in sub-Saharan Africa, over 2.7 million people are infected with HIV. 2.7 percent of the people infected with HIV live in Africa.",non-entailment,tensor(-9.9686),tensor(-7.3700),True
"On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets. In 2001, the EU introduced a passport for pets.",entailment,tensor(-10.7838),tensor(-7.4847),False
"Research workers of the German archaeological institute have discovered a mummy in permafrost at excavation work in Mongolia of approximately 2,500 years old. Altai ice maiden triggers major dispute.",non-entailment,tensor(-9.8174),tensor(-7.0023),True
"Despite CNOOC's all-cash bid, Unocal said its recommendation to shareholders in favor of the $16.4 billion offer of cash and stock from Chevron remains in effect. Unocal said it would evaluate the CNOOC offer.",non-entailment,tensor(-9.5824),tensor(-6.9900),True
"The Kota ( ""Fort"" ), or Old City, for example, sometimes called the downtown section, is the central business district and Indonesia's financial capital. The Kota is the country's business center.",entailment,tensor(-8.8973),tensor(-7.0720),False
"Andreessen, who helped define the Internet revolution as part of team that created the first Internet browser (Mosaic) and his co-founding Netscape, told a packed hall at the San Francisco Marriott hotel Thursday that he is ""extremely committed"" to his startup Loudcloud. The Internet browser Mosaic was created at the San Francisco Marriott hotel.",non-entailment,tensor(-8.7874),tensor(-7.1008),True
Amazon shares fell nearly 4 percent following the results as the company said operating income would drop as much as 42 percent in the second quarter. Shares of Amazon fell 4 percent.,non-entailment,tensor(-9.2976),tensor(-7.1733),True
"Evans Paul, the pro-Aristide mayor of Port-au-Prince, said he had been told that the money will go to American lobbyists, politicians and journalists to campaign against the return of Aristide, Haiti's first democratically elected president Evans Paul is the mayor of Port-au-Prince.",entailment,tensor(-10.4561),tensor(-7.7799),False
UN Secretary General Kofi Annan has noted that the Iraqi people turned out in large numbers to vote in the January 30 ballot. Kofi Annan was elected in the January 30 ballot.,non-entailment,tensor(-9.7796),tensor(-7.7893),True
"Russian cosmonaut Valery Polyakov set the record for the longest continuous amount of time spent in space, a staggering 438 days, between 1994 and 1995. Russians hold record for longest stay in space.",entailment,tensor(-9.4677),tensor(-6.4758),False
The investigation involving Mr Lopez and three associates are primarily concerned with suspicions of the systematic theft of secrets. Seven other GM executives left with Lopez.,non-entailment,tensor(-9.7663),tensor(-7.7369),True
"Confident that those grading papers would understand answers written in text-speak, Haque stressed that in some exams, including English, text abbreviations would be penalized. Haque wants to include English in some exams.",non-entailment,tensor(-10.2243),tensor(-7.6684),True
"Napkins, invitations and plain old paper cost more than they did a month ago. The cost of paper is rising.",entailment,tensor(-8.5833),tensor(-7.1657),False
"Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government."" Hossam Zaki is the new Foreign Minister of Israel.",non-entailment,tensor(-10.2915),tensor(-7.0826),True
"Mount Redoubt, a volcano in Alaska, erupted on Saturday, sending out clouds of ash thousands of feet high. According to the Federal Aviation Administration, the Ted Stevens Anchorage International Airport was shut down after ash reached the airport. Jeremy Lindseth, a spokesman for the airport, said that only small amount of ash reached the airport, but was significant enough to disrupt operations, as ash can cause engine problems for aircraft. He said that he was uncertain of how many flights were affected due to the eruption. The Ted Stevens Anchorage International Airport is the employer of Jeremy Lindseth.",entailment,tensor(-11.0809),tensor(-7.9682),False
"According to reports, a man protesting the G20 Summit in London, England has died after collapsing at a protester camp. Sky News says the man collapsed on the street inside a camp close to the Bank of England and when found he was still breathing, but efforts by paramedics to rescue him failed and he was pronounced dead at an area hospital. The name of the person and cause of death are not yet known, but several people were injured earlier in the day. It is also reported by Sky News that people threw bottles at him and authorities when they were taking him to a waiting ambulance. Sky News offices are close to the Bank of England.",non-entailment,tensor(-10.6327),tensor(-7.9251),True
"Another factor in the rising cost of paper is the increased cost of wood pulp, from which paper is made The cost of paper is rising.",entailment,tensor(-6.8800),tensor(-6.6337),False
Schroder Investment Management has indicated its intention to accept Revival's offer to buy retailer Marks & Spencer. Revival tries to take over Marks & Spencer Group.,entailment,tensor(-9.2923),tensor(-7.2560),False
"The west has preferred to focus on endangered animals, rather than endangered humans. African elephants are hunted down and stripped of tusks and hidden by poachers. Their numbers in Africa slumped from 1.2m to 600,000 in a decade until CITES - the Convention on International Trade in Endangered Species - banned the trade in ivory. An international convention banned trade in ivory.",entailment,tensor(-9.0124),tensor(-6.9551),False
"For US pharmaceutical companies, the impending healthcare reforms promise an era of increased cost-containment and pricing controls. The US government wants to keep drug prices down.",entailment,tensor(-8.8091),tensor(-7.4385),False
"About 33.5 million people live in this massive conurbation. I would guess that 95% of the 5,000 officially foreign-capital firms in Japan are based in Tokyo. About 33.5 miilion people live in Tokyo.",entailment,tensor(-8.9578),tensor(-7.7779),False
"He also referred to the ""illegal"" arrest on 31 May of Mexican Professor Maria Eugenia Ochoa Garcia, whom the Salvadoran government accused of having connections with the Salvadoran guerrillas. Professor Ochoa Garcia is a member of the Salvadoran government.",non-entailment,tensor(-9.8367),tensor(-7.3089),True
"Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies. Texas Instruments produces mobile phones.",entailment,tensor(-9.0785),tensor(-6.4971),False
Mount Olympus towers up from the center of the earth. Mount Olympus is in the center of the earth.,entailment,tensor(-9.4256),tensor(-6.5618),False
"Texas Data Recovery is also successful at retrieving lost data from notebooks and laptops, regardless of age, make or model. In the event of a disaster you could use Texas Data Recovery and you will have the capability to restore lost data.",entailment,tensor(-9.1826),tensor(-7.7683),False
Tropical storm Koni dumped significant rains on the Philippines before becoming a minimal typhoon and eventually making landfall on the northern coast of Vietnam. A tropical storm has caused significant property damage.,non-entailment,tensor(-8.0106),tensor(-7.1453),True
"Zahi Hawass, Egypt's pre-eminent archaeologist, revealed the first ancient artifacts which may lead to the discovery of Cleopatra and Marc Antony's resting place.  The expedition has found amulets, 22 bronze coins cast with Cleopatra's image and her name, a royal statue, an alabaster mask resembling Marc Antony, and a statue bust of Cleopatra. ""If you look at the face of Mark Antony, many believed he had this cleft on his chin and that's why I thought this could be Mark Antony,"" said Hawass.  ""In my opinion, if this tomb is found, it will be one of the most important discoveries of the 21st century because of the love between Cleopatra and Mark Antony, and because of the sad story of their death. This is the perfect place for them to be hidden,"" said Hawass. Cleopatra and Marc Antony lived in Egypt.",non-entailment,tensor(-9.1612),tensor(-7.6126),True
"Nearly five months later on January 24, 1935, the passenger vessel MOHAWK sank after colliding with the Norwegian motorship TALISMAN, and 45 people lost their lives. 100 or more people lost their lives in a ferry sinking.",non-entailment,tensor(-8.9796),tensor(-7.3249),True
Capital punishment acts as a deterrent. Capital punishment is a deterrent to crime.,entailment,tensor(-8.3561),tensor(-6.2888),False
Researchers at the Harvard School of Public Health say that people who drink coffee may be doing a lot more than keeping themselves awake - this kind of consumption apparently also can help reduce the risk of diseases. Coffee drinking has health benefits.,entailment,tensor(-8.5460),tensor(-7.8330),False
"Prince Charles, Britain's heir to the throne, has announced that he is to wed his lover of 34 years, Camilla Parker Bowles. In a press statement, the Prince of Wales said ""Mrs Parker Bowles and I are absolutely delighted. It will be a very special day for us and our families."" Mrs Parker Bowles will use the title ""HRH The Duchess of Cornwall"" after their marriage, and it is intended that following the Prince's accession to the throne, Mrs Parker Bowles will use the title ""HRH The Princess Consort"". The pair are to marry on 8th April 2005 at a private civil ceremony in Windsor Castle, which will be an occasion primarily for friends and family. There will then be a service of prayer and dedication in St. George's Chapel, to be conducted by the Archbishop of Canterbury, Dr. Rowan Williams. Camilla Parker Bowles is engaged to Britain's heir.",entailment,tensor(-10.0596),tensor(-6.2106),False
"The memo, written by Marc Allen Connelly (who was general counsel to the funeral services commission at the time) and sent to Dick McNeil (the Bush-appointed chairman of the funeral commission), stated that Connelly ""received information"" from Texas state officials that two of the funeral commissioners worked for SCI. Marc Allen Connelly worked for SCI.",non-entailment,tensor(-9.3249),tensor(-7.9252),True
"JERUSALEM (AP) -- In a spiritual climax to his 22-year papacy, Pope John Paul II on Tuesday began the first official visit by a Roman Catholic pontiff to Israel, fulfilling his dream of visiting the land where Christ was born and died. Pope John Paul II was born in Poland.",non-entailment,tensor(-9.9766),tensor(-7.3740),True
"Yachtsman Melvyn Percy became so fed up with the standard of service when preparing his boat for the 3000-mile Atlantic crossing that he decided to set up his own company on the Clyde to provide Scots sailors with professional advice and practical assistance. Minerva Rigging, based at Kip Marina just south of Gourock, now employs five full-time staff and is the Scottish agent for Kemp, one of Europe's leading yacht spar and mast manufacturers. Melvyn Percy set up Minerva Rigging at Kip Marina.",entailment,tensor(-9.3509),tensor(-7.4161),False
"Bea Arthur and I first met when we did 'Mame' together in 1965. She became and has remained 'My Bosom Buddy' ever since. I am deeply saddened by her passing, but also relieved that she is released from the pain. I spoke to Matt, her son, yesterday and I was aware that her time was imminent. She was a rare and unique performer and a dear, dear friend. Arthur passed away at her home on Saturday at the age of 86. Angela Lansbury is appearing in the current revival of Blithe Spirit which began preview performances on Thursday, February 26, 2009 and had an official opening on Sunday, March 15, 2009 at The Shubert Theatre (225 West 44th Street). The actress Angela Lansbury is 86 years old.",non-entailment,tensor(-10.3542),tensor(-7.5730),True
The extension of the effective period of marketing exclusivity for drugs is designed to give pharmaceutical companies a fair return. Prospective drugs must have long market life after regulatory approval in order to be developed.,non-entailment,tensor(-8.7760),tensor(-6.5426),True
"Moscow believes that the waters of the Sea of Azov should remain in common use, but Kiev insists on a clear division. There is a territorial waters dispute.",entailment,tensor(-10.3396),tensor(-7.1841),False
"Some of the buildings around the city square in the Kota also date from colonial times, including the old city hall ( 1710 ), which has been restored and now serves as the municipal museum. The city hall is a museum now.",entailment,tensor(-10.5995),tensor(-7.5513),False
"To mark the 20th anniversary of John Lennon's death tomorrow (December 8), his widow, Yoko Ono, has erected billboards supporting gun control in three major U.S. cities. Yoko Ono is John Lennon's widow.",entailment,tensor(-11.2250),tensor(-9.1308),False
The U.S. Army acceded to a request from the local governor to keep U.S. troops away from the Imam Ali Shrine in Najaf. The U.S. Army agreed to a request from the local governor to keep US troops away from the Imam Ali Shrine in Najaf.,entailment,tensor(-10.4618),tensor(-7.4679),False
"NEW YORK —  Somali pirates attacked and damaged an American ship carrying humanitarian aid Tuesday, but the ship and crew were safe under Navy escort, the military and shipping company said. The pirates fired rocket-propelled grenades and automatic weapons at the Liberty Sun as it carried food for famine-wracked African nations, said the vessel's owner, Liberty Maritime Corp. The ship was en route from Houston to Mombasa, Kenya, with a roughly 20-member crew, officials said. . Pirates damaged the ship Liberty Maritime.",non-entailment,tensor(-9.3819),tensor(-7.4225),True
"Danny Kennedy, Greenpeace campaigns director, said: ""The burden of proof in the Scott Parkin expulsion case lies morally with the Commonwealth, to prove that he is a danger. When the Government brought in anti-terror legislation, they promised the public that these laws would only be used to confront a real and present risk of a terrorist attack, not a sweep-all approach against citizens. Peace is not terrorism. Peace is not a threat to national security. No democratic government should expel a foreign citizen because [it] opposes his political opinions."" Greenpeace director said that peace is terrorism.",non-entailment,tensor(-9.0300),tensor(-7.3549),True
"It has been observed that in those countries of the world where capital punishment is still in operation, the crime rate, especially murder, is distinctively low in comparison to countries where capital punishment has been discarded. Capital punishment is a deterrent to crime.",entailment,tensor(-8.6411),tensor(-6.7030),False
"VCU School of the Arts In Qatar is located in Doha, the capital city of Qatar. Qatar is located in Doha.",non-entailment,tensor(-9.1412),tensor(-7.2649),True
"Adela Lupse was born in 1988 to a miner's family in the village of Poiana, Bihor in Transylvania, Romania. A member of Romania's first post-Ceausescu generation, she grasped the power of television at a young age: ""I think television is the most interesting phenomenon that the modern day has given us....for my type of personality, I find it impressive, the power that television has worldwide....We dress like the people that television promotes. We want to look like the celebrities that television launches."" Bihor is situated in Romania.",entailment,tensor(-9.6024),tensor(-7.2736),False
"Asprin, an inexpensive drug helps protect survivors of heart attack and stroke from subsequent heart attacks and death, and even helps reduce the number of deaths that occur within the first hours following a heart attack. People experienced adverse effects while taking aspirin.",non-entailment,tensor(-9.1726),tensor(-8.1899),True
"In New York, Nymex light crude oil for July delivery hit $42.38 per barrel on Tuesday Crude oil futures surged to an all-time high in New York Tuesday, at 42 dollars a barrel.",non-entailment,tensor(-8.3117),tensor(-8.0367),True
"It is hoped that women, who constitute more than half of the population, will vote for other women and ensure that their issues are represented in parliament. Women are poorly represented in parliament.",non-entailment,tensor(-11.2069),tensor(-7.3209),True
"A smaller proportion of Yugoslavia's Italians were settled in Slovenia (at the 1991 national census, some 3000 inhabitants of Slovenia declared themselves as ethnic Italians). Slovenia has 3,000 inhabitants.",non-entailment,tensor(-9.0231),tensor(-7.6298),True
"Hurricane Katrina petroleum-supply outlook improved somewhat, yesterday, as U.S. and European governments agreed to release 2 million barrels a day, of oil and refined products, from their reserves. 60 million barrels of oil and gasoline will be available to the marketplace.",non-entailment,tensor(-8.9791),tensor(-7.8674),True
"A powerful typhoon battered the northern and central Philippines with rains and winds Thursday, killing at least three people and cutting off roads. Authorities canceled flights and ferry service and shut down schools. Typhoon Xangsane, packing winds of 81 mph made landfall overnight in the Bicol central region and was forecast to pass through the capital Manila, the Philippine weather bureau said. A typhoon batters the Philippines.",entailment,tensor(-8.9205),tensor(-8.1532),False
The harvest of sea-weeds is not allowed in the Puget Sound because of marine vegetation's vital role in providing habitat to important species. Marine vegetation is  harvested.,non-entailment,tensor(-8.5001),tensor(-7.1817),True
Primary prevention of Alzheimer's disease is not possible at present. Alzheimer's disease is treated using drugs.,non-entailment,tensor(-9.6745),tensor(-7.6600),True
"Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country. Wales to host 2010 Ryder Cup.",entailment,tensor(-9.8279),tensor(-7.6377),False
Blair has sympathy for anyone who has lost their lives in Iraq. Blair is sympathetic to anyone who has lost their lives in Iraq.,entailment,tensor(-9.0996),tensor(-7.2643),False
"For women earning 22,000 a year, the total pay accumulated after six months maternity leave would be just 5,300 in the UK and 5,850 in Ireland. Entitlements in Germany would also be relatively low, at 5,900, along with those in France, Spain and the Netherlands, all at 6,750. At the other end of the scale, pay received after six months leave in Italy would be 9,150 while in Denmark and Norway it would be as much as 11,000. Maternity leave varies in Europe.",entailment,tensor(-6.8988),tensor(-6.3100),False
Compuware claims that Allan Tortorice and Jim Hildner were among several former employees who revealed trade secrets after they moved to IBM. Trade secrets were stolen.,non-entailment,tensor(-8.9450),tensor(-7.4111),True
Thailand's official religion is Buddhism which claims the allegiance of most Thai people. Their cultural identity seems almost inseparably intertwined with Buddhist traditions. The people practice folk Buddhism which includes and elaborate system of spirit worship. The official religion of Thailand is Theravada Buddhism.,non-entailment,tensor(-8.5818),tensor(-6.8779),True
"Democrat members of the Ways and Means Committee, where tax bills are written and advanced, do not have strong small business voting records. Democrat members had strong small business voting records.",non-entailment,tensor(-9.2920),tensor(-6.8431),True
"The IOC meeting will also review reports submitted by the organizing committees of the 1998 Winter Olympic Games in Nagano, Japan; the 2000 Summer Olympic Games in Sydney, Australia and the 2002 Winter Olympic Games in the Salt Lake City, the United States, respectively. Before Salt Lake City, Winter Olympic Games took place in Nagano.",entailment,tensor(-9.6364),tensor(-7.7160),False
Russian Public Television head Vladislav Listyev is shot in the heart by an unknown gunman outside his Moscow home. The attack is linked to opponents of an advertising ban he had proposed for the television channel. Vladislav Listyev was murdered in Moscow.,entailment,tensor(-10.2554),tensor(-7.5019),False
"Bangladesh, one of the world's poorest countries, suffered a devastating drought and famine in 1974, which killed 1.5 million people. While trying to help starving villagers, he met a 21-year-old woman named Sufia Begum, who was burdened by a tiny yet crushing debt, Yunus recalled in his autobiography, ""Banker to the Poor."" 1.5 million people were killed during the drought and famine devastation in 1974 in Bangladesh.",entailment,tensor(-9.5277),tensor(-7.0183),False
About half were along a 20-mile stretch of Santa Monica Bay from Topanga Canyon Boulevard to the Palos Verdes Peninsula. The coastline of Santa Monica Bay is 50 miles long.,non-entailment,tensor(-8.4229),tensor(-7.0650),True
"Though the exact date is debated, dogs are thought to have been domesticated by humans approximately 12,000 years ago. Humans existed 10,000 years ago.",entailment,tensor(-9.2440),tensor(-7.3803),False
"Italian film-maker, Fellini was awarded an honorary Oscar for lifetime achievement. He died on October 31, 1993. An Italian director is awarded an honorary Oscar.",entailment,tensor(-9.1381),tensor(-8.0659),False
"Hepburn's platinum, diamond and sapphire brooch had been estimated to fetch just $20,000, but sold for $120,000, six times its estimated price. Hepburn's diamond and sapphire brooch fetched $120,000.",entailment,tensor(-9.2961),tensor(-6.9511),False
"Released in 1995, Tyson returned to boxing, winning the World Boxing Council title in 1996. The same year, however, he lost to Evander Holyfield, and in a 1997 rematch bit Holyfield's ear, for which he was temporarily banned from boxing. In 1996 Mike Tyson bit Holyfield's ear.",non-entailment,tensor(-9.0000),tensor(-6.5334),True
"General Miguel Maza Marquez, chief of the Colombian Administrative Department Of Security (DAS), today confirmed foreign participation in the assassination of Luis Carlos Galan, senator and Liberal party presidential candidate, on 18 August in Bogota. General Miguel Maza Marquez took part in the assassination of Luis Carlos Galan.",non-entailment,tensor(-10.2847),tensor(-7.4864),True
"On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets. In 2001, the EU introduced a six-month compulsory quarantine for all domestic pets.",non-entailment,tensor(-11.1917),tensor(-7.4330),True
Steve Jobs was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later. Steve Jobs worked for Apple.,entailment,tensor(-9.0735),tensor(-7.2629),False
New security steps taken by the Customs Service may not be enough to stop a terrorist from smuggling in nuclear weapons. Steps are being taken to stop the smuggling of aliens.,non-entailment,tensor(-9.7546),tensor(-7.2045),True
Phish disbands after a final concert in Vermont on Aug. 15 Rock band Phish holds final concert in Vermont.,entailment,tensor(-10.6828),tensor(-8.0816),False
"While Bush was in the air, the White House was evacuated, with many employees running away from the premises on orders from Secret Service agents. The U.S. military evacuated U.S. citizens.",non-entailment,tensor(-8.8100),tensor(-7.8568),True
"The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals. The San Diego Padres won the game against the St. Louis Cardinals.",non-entailment,tensor(-10.1420),tensor(-7.7084),True
Swansea striker Lee Trundle has negotiated a lucrative image-rights deal with the League One club. Lee Trundle is in business with the League One club.,entailment,tensor(-10.1416),tensor(-7.7475),False
"According to Becky Gibbons of New York State Police and Chris Collins County Executive in Erie County, New York, the total number of fatalities is 50, including 45 passengers, four crew members and a person on the ground, while a woman and daughter on the ground were injured, near the edge of farmland, about seven miles from Buffalo Niagara International Airport. A daily commuter flight crashed in Buffalo.",non-entailment,tensor(-10.3034),tensor(-7.8536),True
"The chaotic situation unleashed in Bogota last night, with the assasination of Justice Carlos Valencia, began on 28 July in Medellin, when motorized paid assasins murdered third public order Judge Maria Elena Diaz. Justice Carlos Valencia was killed in Medellin.",non-entailment,tensor(-10.2812),tensor(-7.5095),True
"The west has preferred to focus on endangered animals, rather than endangered humans. African elephants are hunted down and stripped of tusks and hidden by poachers. Their numbers in Africa slumped from 1.2m to 600,000 in a decade until CITES - the Convention on International Trade in Endangered Species - banned the trade in ivory. African elephants are endangered by ivory poachers.",entailment,tensor(-9.4107),tensor(-7.2151),False
"Note that SBB, CFF and FFS stand out for the main railway company, in German, French and Italian. The French railway company is called SNCF.",non-entailment,tensor(-8.7330),tensor(-6.0645),True
"Aeschylus was born in 525 BC, and spent his youth as a soldier in the Athenian army. He wrote The Persians when he was 53 years old, but it is his earliest surviving work. The Persians was written by Aeschylus.",entailment,tensor(-8.1563),tensor(-6.5595),False
"Rolling Stone, one of the music industry's foremost publications, has found itself reporting false news gleaned from a Wikipedia article. The online edition of the magazine's Rock & Roll Daily released an article entitled ""Halle Berry Set to Ruin Reputation..."" on December 11, reporting on the news that the actor had announced her intentions to release a musical album. The story was quickly picked up by the Washington Post, All Headline News and other news agencies eager to report on the Academy Award-winning actress' foray into the musical world. The only trouble is, according to one of the album's alleged producers, Scott Storch, there is no such album...and he definitely hasn't produced three songs for it. Halle Berry works with Scott Storch.",non-entailment,tensor(-10.5416),tensor(-7.2238),True
"Without a natural greenhouse effect, the temperature of the Earth would be about zero degrees F (-18C) instead of its present 57F (14C). Greenhouse effect changes global climate.",entailment,tensor(-7.8200),tensor(-7.2480),False
"Traditionally, the Brahui of the Raisani tribe are in charge of the law and order situation through the Pass area. This tribe is still living in present day Balochistan in Pakistan. The Raisani tribe resides in Pakistan.",entailment,tensor(-9.5382),tensor(-7.4376),False
"An auto analyst for Bombay's Angel Broking, Vaishali Jajoo, predicted that the Nano will add only three percent to Tata's revenues even if it can sell a quarter of a million such cars per annum. ""That doesn't make a significant difference to the top line,"" Jajoo said. ""And for the bottom line, it will take five to six years to break even."" Environmentalists say that the car will exacerbate traffic problems already rife in India, and help increase pollution levels. Tata, however, stated that its vehicle is the least polluting car in the country. Angel Broking is based in Bombay.",entailment,tensor(-9.6261),tensor(-6.9188),False
"Easter is over but that doesn't mean you can't enjoy ""Ben-Hur,"" the granddaddy of biblical epics and winner of a record 11 Oscars, including best picture and best actor (Charlton Heston in the title role). Charlton Heston played the title role in the movie ""Ben-Hur"".",entailment,tensor(-9.0897),tensor(-7.1358),False
"I asked myself how to understand the 'Twilight's success. And I have come to the idea that when you really believe in something, sooner or later it will become real. So, I guess this is what happened with Robert Pattinson. Last year he was just an unknown actor who's biggest role was in a pair of ""Harry Potter"" movies. Now, not only that Twilight is competing with 'Harry Potter', but Robert Pattinson is one of the most famous young actors who sucked $373.4 million from global box offices. So the movie about a vampire boy who falls in love with a normal girl, begun a real hysteria. And Pattinson has a lot to do with it!. Robert Pattinson is a vampire.",non-entailment,tensor(-9.9926),tensor(-8.5439),True
"He said that ""there is evidence that Cristiani was involved in the murder of the six Jesuit priests"" which occurred on 16 November in San Salvador. Cristiani is accused of the assassination of six Jesuits.",entailment,tensor(-10.5041),tensor(-6.7856),False
"Toshiba, with NEC Corp. and Sanyo Electric Co. Ltd., has been promoting a technology called HD DVD while Sony, along with Samsung Electronics Co. Ltd. and Matsushita Electric Industrial Co. Ltd. (maker of Panasonic brand products), has been pushing for Blu-ray. Panasonic brand products are produced by Samsung Electronics Co. Ltd.",non-entailment,tensor(-9.5156),tensor(-7.1423),True
"The provincial veterinarian with the Department of Forest Resources and Agrifoods, Dr. Hugh Whitney, confirmed today another case of rabies in Labrador, bringing the total number of confirmed rabies cases to nine in Labrador since November 2000. A case of rabies was confirmed.",entailment,tensor(-9.5560),tensor(-7.4036),False
"Security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed. Security forces were on high alert after a campaign marred by violence.",entailment,tensor(-11.2144),tensor(-7.3418),False
"Sunday's earthquake was felt in the southern Indian city of Madras on the mainland, as well as other parts of south India. The Naval meteorological office in Port Blair said it was the second biggest aftershock after the Dec. 26 earthquake. The city of Madras is located in Southern India.",entailment,tensor(-9.8483),tensor(-8.1467),False
