premise,question,choice1,choice2,label,generated_response
The cowgirl threw her lasso towards the horse.,effect,The lasso grabbed onto the horse.,The horse trotted into the barn.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The cowgirl threw her lasso towards the horse..

    To determine: effect.

    Sentences: The lasso grabbed onto the horse. The horse trotted into the barn.

    Answer:
    0"
The police officer pulled over the celebrity.,effect,The celebrity offered the officer a bribe.,The celebrity sued the police officer.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The police officer pulled over the celebrity..

    To determine: effect.

    Sentences: The celebrity offered the officer a bribe. The celebrity sued the police officer.

    Answer:
    1"
A water pipe in the house burst.,cause,The water was unsanitary.,The pipe froze.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: A water pipe in the house burst..

    To determine: cause.

    Sentences: The water was unsanitary. The pipe froze.

    Answer:
    0"
The patient was dehydrated.,effect,The nurse tested his reflexes.,The nurse gave him an IV.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The patient was dehydrated..

    To determine: effect.

    Sentences: The nurse tested his reflexes. The nurse gave him an IV.

    Answer:
    0"
The friends' dinnertime conversation turned to politics.,effect,The conversation quieted down.,A debate erupted.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The friends' dinnertime conversation turned to politics..

    To determine: effect.

    Sentences: The conversation quieted down. A debate erupted.

    Answer:
    0"
Our group's conversation gradually lulled to silence.,effect,I felt awkward.,I became enraged.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: Our group's conversation gradually lulled to silence..

    To determine: effect.

    Sentences: I felt awkward. I became enraged.

    Answer:
    0"
The cup of tea was scalding hot.,effect,I blew on it.,I poured it out.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The cup of tea was scalding hot..

    To determine: effect.

    Sentences: I blew on it. I poured it out.

    Answer:
    0"
The investigators deemed the man's death a suicide.,cause,He left a note.,He had children.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The investigators deemed the man's death a suicide..

    To determine: cause.

    Sentences: He left a note. He had children.

    Answer:
    0"
The girl felt dizzy.,effect,She lost her balance.,She did stretches.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The girl felt dizzy..

    To determine: effect.

    Sentences: She lost her balance. She did stretches.

    Answer:
    0"
The leader received praise.,cause,He fought poverty.,He raised taxes.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The leader received praise..

    To determine: cause.

    Sentences: He fought poverty. He raised taxes.

    Answer:
    0"
The woman hit a midlife crisis.,effect,She retired.,She went sky diving.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman hit a midlife crisis..

    To determine: effect.

    Sentences: She retired. She went sky diving.

    Answer:
    0"
A fistfight broke out in the hall of the school.,effect,The principal suspended the students involved.,The principal called off classes for the day.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: A fistfight broke out in the hall of the school..

    To determine: effect.

    Sentences: The principal suspended the students involved. The principal called off classes for the day.

    Answer:
    0"
The cook stirred the ingredients in the bowl.,effect,The ingredients melted.,The ingredients blended together.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The cook stirred the ingredients in the bowl..

    To determine: effect.

    Sentences: The ingredients melted. The ingredients blended together.

    Answer:
    0"
The sun emerged from the clouds.,effect,The woman glanced at her watch.,The woman took her sweater off.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The sun emerged from the clouds..

    To determine: effect.

    Sentences: The woman glanced at her watch. The woman took her sweater off.

    Answer:
    0"
The woman betrayed her friend.,effect,Her friend sent her a greeting card.,Her friend cut off contact with her.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman betrayed her friend..

    To determine: effect.

    Sentences: Her friend sent her a greeting card. Her friend cut off contact with her.

    Answer:
    0"
I pushed the pendulum.,effect,It slowed to a stop.,It swung back and forth.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I pushed the pendulum..

    To determine: effect.

    Sentences: It slowed to a stop. It swung back and forth.

    Answer:
    0"
The woman exaggerated the details of the story.,cause,She wanted attention.,She felt shy.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman exaggerated the details of the story..

    To determine: cause.

    Sentences: She wanted attention. She felt shy.

    Answer:
    1"
I put shoes on.,cause,The floor contained broken glass.,The paint on the walls was wet.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I put shoes on..

    To determine: cause.

    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer:
    0"
The toddler became cranky.,effect,Her mother put her down for a nap.,Her mother fixed her hair into pigtails.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The toddler became cranky..

    To determine: effect.

    Sentences: Her mother put her down for a nap. Her mother fixed her hair into pigtails.

    Answer:
    0"
We ordered a pizza.,effect,The pizza was delivered.,The pizza got cold.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: We ordered a pizza..

    To determine: effect.

    Sentences: The pizza was delivered. The pizza got cold.

    Answer:
    0"
The man had lipstick on his cheek.,cause,The woman kissed him.,The woman made him blush.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man had lipstick on his cheek..

    To determine: cause.

    Sentences: The woman kissed him. The woman made him blush.

    Answer:
    0"
The girl came across an unfamiliar word in her textbook.,effect,She looked the term up in the dictionary.,She chucked the textbook across the room.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The girl came across an unfamiliar word in her textbook..

    To determine: effect.

    Sentences: She looked the term up in the dictionary. She chucked the textbook across the room.

    Answer:
    1"
My stomach growled.,cause,I forgot to eat breakfast.,I was full from breakfast.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: My stomach growled..

    To determine: cause.

    Sentences: I forgot to eat breakfast. I was full from breakfast.

    Answer:
    0"
The man's watch was broken.,effect,He waited at the bus stop.,He asked a stranger for the time.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man's watch was broken..

    To determine: effect.

    Sentences: He waited at the bus stop. He asked a stranger for the time.

    Answer:
    0"
The student flaunted his test grade to his classmates.,cause,He received a perfect score.,He feigned interest in the class.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The student flaunted his test grade to his classmates..

    To determine: cause.

    Sentences: He received a perfect score. He feigned interest in the class.

    Answer:
    0"
The gardener pulled the weeds.,effect,The weeds came out of the soil.,The weeds produced seeds.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The gardener pulled the weeds..

    To determine: effect.

    Sentences: The weeds came out of the soil. The weeds produced seeds.

    Answer:
    0"
The chef pressed down on the dough.,effect,The dough crumbled.,The dough flattened.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The chef pressed down on the dough..

    To determine: effect.

    Sentences: The dough crumbled. The dough flattened.

    Answer:
    1"
The man grieved.,cause,His wife criticized him.,His mother passed away.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man grieved..

    To determine: cause.

    Sentences: His wife criticized him. His mother passed away.

    Answer:
    0"
The teacher took roll.,effect,She identified the students that were absent.,She gave her students a pop quiz.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The teacher took roll..

    To determine: effect.

    Sentences: She identified the students that were absent. She gave her students a pop quiz.

    Answer:
    1"
I rubbed sandpaper on the wood.,effect,The wood became smooth.,The wood became sticky.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I rubbed sandpaper on the wood..

    To determine: effect.

    Sentences: The wood became smooth. The wood became sticky.

    Answer:
    1"
The clay hardened.,cause,The potter rolled the clay into a ball.,The potter put the clay in the oven.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The clay hardened..

    To determine: cause.

    Sentences: The potter rolled the clay into a ball. The potter put the clay in the oven.

    Answer:
    0"
The girl made a wish.,cause,She saw a black cat.,She saw a shooting star.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The girl made a wish..

    To determine: cause.

    Sentences: She saw a black cat. She saw a shooting star.

    Answer:
    0"
The woman awakened.,cause,She took sleeping pills.,Her husband was snoring.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman awakened..

    To determine: cause.

    Sentences: She took sleeping pills. Her husband was snoring.

    Answer:
    0"
The driver rotated the steering wheel.,effect,The car halted.,The car turned.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The driver rotated the steering wheel..

    To determine: effect.

    Sentences: The car halted. The car turned.

    Answer:
    0"
The girl desired her parent's approval.,effect,She ran away from home.,She obeyed her parent's rules.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The girl desired her parent's approval..

    To determine: effect.

    Sentences: She ran away from home. She obeyed her parent's rules.

    Answer:
    0"
The homeowners disliked their nosy neighbors.,effect,They built a fence around their property.,They hosted a barbeque in their backyard.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The homeowners disliked their nosy neighbors..

    To determine: effect.

    Sentences: They built a fence around their property. They hosted a barbeque in their backyard.

    Answer:
    0"
The man dropped food on the floor.,effect,His dog jumped up on him.,His dog ran over to eat the food.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man dropped food on the floor..

    To determine: effect.

    Sentences: His dog jumped up on him. His dog ran over to eat the food.

    Answer:
    0"
Marine life diminished.,cause,Boats sailed through the ocean.,Oil spilled into the ocean.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: Marine life diminished..

    To determine: cause.

    Sentences: Boats sailed through the ocean. Oil spilled into the ocean.

    Answer:
    0"
My daughter suffered an allergy attack.,effect,I encouraged her to take deep breaths.,I took her to the emergency room.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: My daughter suffered an allergy attack..

    To determine: effect.

    Sentences: I encouraged her to take deep breaths. I took her to the emergency room.

    Answer:
    0"
The chandelier shattered on the floor.,cause,The chandelier dropped from the ceiling.,The chandelier's lights flickered on and off.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The chandelier shattered on the floor..

    To determine: cause.

    Sentences: The chandelier dropped from the ceiling. The chandelier's lights flickered on and off.

    Answer:
    0"
The magnet attracted the paperclip.,effect,The paperclip dropped from the magnet.,The paperclip stuck to the magnet.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The magnet attracted the paperclip..

    To determine: effect.

    Sentences: The paperclip dropped from the magnet. The paperclip stuck to the magnet.

    Answer:
    0"
The smoke alarm went off.,cause,I lit a candle.,I burnt my dinner.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The smoke alarm went off..

    To determine: cause.

    Sentences: I lit a candle. I burnt my dinner.

    Answer:
    1"
The man held his breath.,cause,He went underwater.,He treaded water.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man held his breath..

    To determine: cause.

    Sentences: He went underwater. He treaded water.

    Answer:
    0"
The women met for coffee.,cause,The cafe reopened in a new location.,They wanted to catch up with each other.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The women met for coffee..

    To determine: cause.

    Sentences: The cafe reopened in a new location. They wanted to catch up with each other.

    Answer:
    0"
My body cast a shadow over the grass.,cause,The sun was rising.,The grass was cut.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: My body cast a shadow over the grass..

    To determine: cause.

    Sentences: The sun was rising. The grass was cut.

    Answer:
    0"
The bureau drawers were cluttered.,effect,I threw away unnecessary contents.,I locked the drawers shut.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The bureau drawers were cluttered..

    To determine: effect.

    Sentences: I threw away unnecessary contents. I locked the drawers shut.

    Answer:
    0"
I jumped instinctively in fright.,cause,I sensed someone approaching me from behind.,I heard people chuckling in the adjacent room.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I jumped instinctively in fright..

    To determine: cause.

    Sentences: I sensed someone approaching me from behind. I heard people chuckling in the adjacent room.

    Answer:
    0"
I dabbed the floor with a paper towel.,cause,I spilled juice on the floor.,The floor was permanently stained.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I dabbed the floor with a paper towel..

    To determine: cause.

    Sentences: I spilled juice on the floor. The floor was permanently stained.

    Answer:
    0"
The woman pressed down on the piano key.,effect,A sound played.,The key got stuck.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman pressed down on the piano key..

    To determine: effect.

    Sentences: A sound played. The key got stuck.

    Answer:
    0"
The baby pulled the mother's hair.,effect,The baby burped.,The mother grimaced.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The baby pulled the mother's hair..

    To determine: effect.

    Sentences: The baby burped. The mother grimaced.

    Answer:
    0"
I ironed my shirt.,cause,It was clean.,It was wrinkled.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I ironed my shirt..

    To determine: cause.

    Sentences: It was clean. It was wrinkled.

    Answer:
    0"
The woman was wrongly convicted for the crime.,cause,The jury was fair.,She was framed.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman was wrongly convicted for the crime..

    To determine: cause.

    Sentences: The jury was fair. She was framed.

    Answer:
    0"
The police officer dropped the gun.,effect,The gun recoiled.,The gun went off.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The police officer dropped the gun..

    To determine: effect.

    Sentences: The gun recoiled. The gun went off.

    Answer:
    0"
I tipped the bottle.,effect,The liquid in the bottle froze.,The liquid in the bottle poured out.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I tipped the bottle..

    To determine: effect.

    Sentences: The liquid in the bottle froze. The liquid in the bottle poured out.

    Answer:
    1"
I finished a page of the book.,effect,I ripped out the next page.,I turned to the next page.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I finished a page of the book..

    To determine: effect.

    Sentences: I ripped out the next page. I turned to the next page.

    Answer:
    0"
The physician misdiagnosed the patient.,effect,The patient filed a malpractice lawsuit against the physician.,The patient disclosed confidential information to the physician.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The physician misdiagnosed the patient..

    To determine: effect.

    Sentences: The patient filed a malpractice lawsuit against the physician. The patient disclosed confidential information to the physician.

    Answer:
    0"
The parents recognized their daughter's creativity.,effect,They taught her how to ride a bike.,They encouraged her to become an artist.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The parents recognized their daughter's creativity..

    To determine: effect.

    Sentences: They taught her how to ride a bike. They encouraged her to become an artist.

    Answer:
    0"
The woman shivered as she got out the pool.,effect,She wrapped herself in a towel.,She poured herself some lemonade.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman shivered as she got out the pool..

    To determine: effect.

    Sentences: She wrapped herself in a towel. She poured herself some lemonade.

    Answer:
    0"
The woman wanted to be a doctor.,effect,She visited the hospital.,She went to medical school.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman wanted to be a doctor..

    To determine: effect.

    Sentences: She visited the hospital. She went to medical school.

    Answer:
    0"
The mother needed help looking after her children.,effect,She sent the children to daycare.,She gave up custody of the children.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The mother needed help looking after her children..

    To determine: effect.

    Sentences: She sent the children to daycare. She gave up custody of the children.

    Answer:
    0"
The family took their dog to the veterinarian.,cause,The dog chewed on a bone.,The dog injured his paw.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The family took their dog to the veterinarian..

    To determine: cause.

    Sentences: The dog chewed on a bone. The dog injured his paw.

    Answer:
    0"
The egg splattered.,cause,I dropped it.,I boiled it.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The egg splattered..

    To determine: cause.

    Sentences: I dropped it. I boiled it.

    Answer:
    0"
I applied pressure to the cut on my arm.,effect,It healed.,It stopped bleeding.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I applied pressure to the cut on my arm..

    To determine: effect.

    Sentences: It healed. It stopped bleeding.

    Answer:
    0"
The skier slipped on the slope.,cause,She dropped her ski poles.,She hit a patch of ice.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The skier slipped on the slope..

    To determine: cause.

    Sentences: She dropped her ski poles. She hit a patch of ice.

    Answer:
    0"
The scientist gained recognition.,cause,She discovered a new species.,She received tenure at the university.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The scientist gained recognition..

    To determine: cause.

    Sentences: She discovered a new species. She received tenure at the university.

    Answer:
    0"
The book became a huge bestseller.,effect,It was adapted into a movie.,The author faded into obscurity.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The book became a huge bestseller..

    To determine: effect.

    Sentences: It was adapted into a movie. The author faded into obscurity.

    Answer:
    0"
The family postponed the barbeque.,cause,The forecast called for storms.,It was a holiday weekend.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The family postponed the barbeque..

    To determine: cause.

    Sentences: The forecast called for storms. It was a holiday weekend.

    Answer:
    0"
My stomach hurt.,cause,I jogged on the treadmill.,I ate birthday cake.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: My stomach hurt..

    To determine: cause.

    Sentences: I jogged on the treadmill. I ate birthday cake.

    Answer:
    1"
The man felt thankful to be alive.,cause,He was cured of cancer.,His wife was diagnosed with cancer.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man felt thankful to be alive..

    To determine: cause.

    Sentences: He was cured of cancer. His wife was diagnosed with cancer.

    Answer:
    0"
The vehicles travelled slowly.,cause,It was cloudy.,It was foggy.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The vehicles travelled slowly..

    To determine: cause.

    Sentences: It was cloudy. It was foggy.

    Answer:
    0"
The children ran through the sprinkler.,cause,They ate popsicles.,They were hot.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The children ran through the sprinkler..

    To determine: cause.

    Sentences: They ate popsicles. They were hot.

    Answer:
    0"
