sentence1,sentence2,actual_score,log_prob_score
A man is playing a guitar.,A man is eating pasta.,0.533,-4.627033233642578
A man is kicking pots of water.,A man is picking flowers.,0.4,-3.7476534843444824
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,1.2,-3.5410969257354736
A woman is dancing in the rain.,A woman dances in the rain out side.,5.0,-3.7858996391296387
A woman is taking a bath.,A woman is riding a horse.,0.538,-4.729082107543945
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,3.75,-3.03302001953125
A woman is talking on a cell phone.,A man and woman are talking on the phone.,3.0,-3.4356393814086914
A man is playing a guitar.,A man is singing while playing the guitar.,3.6,-3.9250152111053467
A man is playing a guitar.,A man is driving a car.,0.5,-3.7485766410827637
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,1.5,-2.816061019897461
A man is opening a door.,A man is cutting an onion.,0.8,-4.309506893157959
A man is slicing a tomato.,A man is riding a horse.,0.8,-4.137887477874756
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.6,-4.063825607299805
A boy studies a calendar.,A boy is looking at a calendar.,4.4,-3.7546215057373047
The ballerina is dancing.,A man is dancing.,1.75,-3.3753602504730225
A woman is dancing.,A woman is playing violin.,0.4,-4.4424309730529785
A woman is slicing some tomatoes.,A woman is chopping a potato.,1.4,-4.533017158508301
A woman is water skiing.,A woman is slicing fish.,0.4,-3.8411316871643066
A man is playing a flute.,A man is riding a scooter.,0.8,-4.210018157958984
A man is playing the piano.,A man played the guitar.,2.0,-3.846726894378662
A woman is picking a can.,A man is playing a guitar.,0.133,-4.262192726135254
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,4.0,-3.5403010845184326
A woman is cutting an onion.,A woman is cleaning a garden.,0.267,-4.499078750610352
Some men are sawing.,Men are sawing logs.,3.4,-3.525367498397827
A car is driven down the road.,A girl is walking down a road.,1.2,-4.320507526397705
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,5.0,-3.7810256481170654
A train is moving.,A man is doing yoga.,0.0,-3.8738794326782227
Someone is slicing an onion.,A woman is cutting onion.,3.8,-3.333311080932617
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,0.75,-3.7594964504241943
A person is playing an electronic keyboard.,A kid is playing keyboard.,3.4,-3.459881544113159
A man is holding a leaf.,A monkey is fighting a man.,0.0,-3.749938726425171
A woman is peeling shrimp.,A man is squeezing water.,0.2,-4.113529205322266
A man is sitting and smoking.,A man is smoking a cigarette.,4.0,-3.6549344062805176
A man is playing a guitar.,A woman is riding a horse.,0.5,-3.360085964202881
A man is standing in front of the window and looking outside.,A man is staring out the window.,3.8,-3.4090280532836914
A skunk is looking here and there.,A skunk looks at the camera.,2.4,-3.766918659210205
A man is playing the guitar and singing.,A man sings with a guitar.,4.75,-3.3818893432617188
A woman opens a window.,A man is crawling.,0.0,-4.004683971405029
People are dancing outside.,A group of people are dancing.,3.75,-3.1341469287872314
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,2.6,-4.030511379241943
A woman is filing her nails.,A man is peeling a carrot.,0.0,-3.9337024688720703
A boy is crawling into a dog house.,A boy is playing a wooden flute.,0.75,-3.635265350341797
A woman is swimming underwater.,A man is slicing some carrots.,0.0,-3.897637367248535
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,3.8,-3.4305341243743896
A monkey is playing drums.,A gorilla plays the drums.,2.8,-3.854691982269287
A man is opening a box and taking out paper.,A woman is peeling a potato.,0.0,-4.049986839294434
A woman is dancing.,A woman plays the clarinet.,0.8,-4.405632972717285
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,3.0,-3.5364699363708496
The men played follow the leader on the grass.,The rhino grazed on the grass.,1.0,-3.952587127685547
A woman is cracking eggs.,A man is talking to a woman.,0.0,-4.135603904724121
A woman peels garlic with her hands.,The woman is slicing herbs.,1.0,-4.308408260345459
The polar bears fought over the kill.,Polar bears are fighting each other.,3.4,-3.4390649795532227
A man is doing trick with play cards.,A man is performing a card trick.,5.0,-3.76108980178833
The cat is licking a bottle.,A cat plays with a small bottle.,2.333,-3.375886917114258
A person is slicing an onion.,A person cuts ginger.,1.4,-4.327467918395996
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.75,-3.7001450061798096
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,3.538,-4.450990676879883
A man is seasoning some carrots.,A woman is slicing garlic.,0.8,-4.092310905456543
Two men pushed carts through the woods.,Two men are pushing carts.,3.5,-2.854362726211548
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,2.0,-3.6863903999328613
The lady peeled the potatoe.,A woman is peeling a potato.,4.75,-3.641005754470825
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,4.0,-3.5583362579345703
Someone typed on a keyboard.,Someone is typing.,4.5,-3.2485604286193848
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,1.5,-3.135082244873047
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,2.4,-3.762058973312378
A cat is walking around a house.,A woman is peeling potato.,0.0,-4.048470973968506
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,0.4,-3.9425506591796875
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,2.5,-2.808685779571533
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,2.6,-3.776458263397217
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,3.6,-3.389517307281494
A group of people are dancing.,Women are dancing outside.,3.0,-3.3785815238952637
A man is playing guitar.,A boy is talking to a giant dog.,0.0,-4.181387901306152
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,1.6,-4.771026611328125
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,1.25,-4.199970245361328
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,3.6,-3.605648994445801
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,2.0,-4.111198425292969
The panda bear lay on the logs.,A panda is lying down.,3.6,-3.5291507244110107
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,2.8,-3.605494499206543
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,4.4,-3.3770289421081543
A cat is playing on the floor.,A man is slicing garlic.,0.0,-3.9066760540008545
A boy is playing violin on stage.,A person is mixing a pot.,0.0,-4.217162132263184
A dog is barking at a toy.,The little dog barked at the electronic toy.,3.75,-2.9672019481658936
A man is cycling.,A boy is riding a bicycle.,2.5,-3.113799810409546
A woman is slicing ginger.,A person is holding two baby lorises.,0.0,-4.068504333496094
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.8,-4.142324924468994
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,1.0,-3.915942668914795
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,0.0,-4.098040580749512
Someone touched the kitten chewing on a string.,Someone is cutting paper.,0.25,-4.071064472198486
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.4,-3.631965398788452
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0,-3.9414749145507812
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,5.0,-3.7985613346099854
Someone is drawing.,Someone is dancing.,0.3,-4.255642890930176
A man is playing a guitar.,A woman is playing the guitar.,2.75,-3.513812303543091
Two men are fistfighting in a ring.,Two men fistfight in a ring.,5.0,-4.125870704650879
A person wipes butter on a tray.,A person is buttering a tray.,4.25,-3.496770143508911
Two men are playing football.,Two men are practicing football.,3.4,-3.5819125175476074
The man is playing the guitar.,The girl is playing the guitar.,1.6,-4.810359001159668
A man is peeling a potato.,A man is slicing a potato.,2.6,-4.176865577697754
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,5.0,-4.250953674316406
A child is waking up.,A girl is waking up.,3.2,-3.4194304943084717
A boy is playing a key-board.,A little boy is playing a keyboard.,4.8,-3.575756072998047
A woman plays the flute.,A woman is playing the flute.,5.0,-3.8712148666381836
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,2.4,-3.8525309562683105
A man is playing a flute.,A man is playing a guitar.,2.0,-3.895170211791992
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,5.0,-4.643838882446289
A man plays a guitar.,A man is playing a guitar.,5.0,-3.8305957317352295
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,3.4,-3.4747281074523926
A woman is climbing a cliff.,A woman is climbing a rock face.,4.5,-3.1912598609924316
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,4.2,-3.7422704696655273
A woman is cutting some fish.,A woman is cutting tofu.,2.2,-3.693185329437256
Someone is playing a piano.,Someone is playing guitar.,2.4,-3.8905880451202393
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,3.8,-3.380584955215454
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5,-2.9580512046813965
A girl is playing guitar.,A girl is playing a piano.,2.0,-3.818981885910034
A man is praying.,A man is dancing.,0.75,-3.6888644695281982
