,premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,prompt,entailment_prob,neutral_prob,contradiction_prob,prediction,entailment_prob_chat,neutral_prob_chat,contradiction_prob_chat,prediction_chat
17,It might be that driver who does forget about who weren't touring many rivers.,No one does forget about who weren't touring many rivers,modal,Not_In_Example,Not_In_Example,negated,2,cleft_existence,124c,6,It might be that driver who does forget about who weren't touring many rivers. No one does forget about who weren't touring many rivers,tensor(-10.7203),tensor(-9.5296),tensor(-10.5559),1,tensor(-10.0923),tensor(-8.0149),tensor(-9.4590),1
18,Is it Steve who conceals Keith?,No one conceals Keith,interrogative,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1071c,56,Is it Steve who conceals Keith? No one conceals Keith,tensor(-10.9864),tensor(-9.9623),tensor(-10.6167),1,tensor(-11.1740),tensor(-9.8339),tensor(-11.1934),1
19,It isn't Carl who does scan newspaper articles.,Someone does scan newspaper articles,negated,Not_In_Example,Not_In_Example,positive,0,cleft_existence,611e,32,It isn't Carl who does scan newspaper articles. Someone does scan newspaper articles,tensor(-10.3594),tensor(-9.7279),tensor(-10.5101),1,tensor(-10.2890),tensor(-8.7226),tensor(-10.4035),1
20,Is it Eva that had prevented Jill from taking the fork?,No one had prevented Jill from taking the fork,interrogative,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1109c,58,Is it Eva that had prevented Jill from taking the fork? No one had prevented Jill from taking the fork,tensor(-9.9343),tensor(-9.7317),tensor(-9.7227),2,tensor(-9.9395),tensor(-9.0423),tensor(-8.8901),2
21,Is it Nancy that has implored Winston Churchill to mutter?,No one has implored Winston Churchill to mutter,interrogative,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1603c,84,Is it Nancy that has implored Winston Churchill to mutter? No one has implored Winston Churchill to mutter,tensor(-10.2416),tensor(-9.5745),tensor(-9.7535),1,tensor(-9.9535),tensor(-9.5020),tensor(-9.6001),1
22,Is it the guest who has predicted Dawn to scan the newspaper article?,Someone has predicted Dawn to scan the newspaper article,interrogative,Not_In_Example,Not_In_Example,positive,0,cleft_existence,1868e,98,Is it the guest who has predicted Dawn to scan the newspaper article? Someone has predicted Dawn to scan the newspaper article,tensor(-9.6133),tensor(-9.3754),tensor(-9.8568),1,tensor(-9.8929),tensor(-9.4227),tensor(-10.1613),1
23,It is Sonia that messes up grocery stores.,Someone messes up grocery stores,unembedded,Not_In_Example,Not_In_Example,positive,0,cleft_existence,532e,28,It is Sonia that messes up grocery stores. Someone messes up grocery stores,tensor(-11.1399),tensor(-10.0963),tensor(-11.0954),1,tensor(-10.3388),tensor(-8.3497),tensor(-9.9766),1
24,It is that person that finds out who doesn't talk about Carrie.,No one finds out who doesn't talk about Carrie,unembedded,Not_In_Example,Not_In_Example,negated,2,cleft_existence,324c,17,It is that person that finds out who doesn't talk about Carrie. No one finds out who doesn't talk about Carrie,tensor(-11.6819),tensor(-10.9880),tensor(-11.8327),1,tensor(-10.7459),tensor(-10.4581),tensor(-10.4638),1
25,It might be Catherine who had questioned William.,It is Catherine who had questioned William.,Not_In_Example,modal,unembedded,Not_In_Example,1,cleft_existence,948n,49,It might be Catherine who had questioned William. It is Catherine who had questioned William.,tensor(-11.0707),tensor(-10.1623),tensor(-10.7447),1,tensor(-11.3465),tensor(-9.7319),tensor(-10.8003),1
26,Is it Dan who does look to escape from Margaret?,Someone did look to scare some boy,interrogative,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,46n,2,Is it Dan who does look to escape from Margaret? Someone did look to scare some boy,tensor(-10.6775),tensor(-10.0857),tensor(-11.2344),1,tensor(-10.1862),tensor(-9.1113),tensor(-10.7151),1
27,"If it is Sonia who finds Claire to skate around Spain, it's okay",Someone finds Claire to skate around Spain,conditional,Not_In_Example,Not_In_Example,positive,0,cleft_existence,1893e,99,"If it is Sonia who finds Claire to skate around Spain, it's okay Someone finds Claire to skate around Spain",tensor(-10.6812),tensor(-9.5165),tensor(-10.2774),1,tensor(-10.6802),tensor(-8.8314),tensor(-10.1324),1
28,Is it Andrea that does work with the Clintons?,It is Andrea that does work with the Clintons.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,cleft_existence,1004n,52,Is it Andrea that does work with the Clintons? It is Andrea that does work with the Clintons.,tensor(-8.5901),tensor(-7.2573),tensor(-7.5769),1,tensor(-9.6355),tensor(-7.9824),tensor(-8.3215),1
29,Is it Monet that is looking to salute?,No one is looking to salute,interrogative,Not_In_Example,Not_In_Example,negated,2,cleft_existence,862c,45,Is it Monet that is looking to salute? No one is looking to salute,tensor(-10.7083),tensor(-10.3276),tensor(-10.8297),1,tensor(-10.6233),tensor(-9.2375),tensor(-10.2153),1
30,It is Regina that has talked about Scott.,No one has talked about Scott,unembedded,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1673c,88,It is Regina that has talked about Scott. No one has talked about Scott,tensor(-10.7338),tensor(-9.5974),tensor(-9.8172),1,tensor(-10.8442),tensor(-8.8657),tensor(-9.8009),1
31,It might be a commentary that disagreed with George.,Something disagreed with George,modal,Not_In_Example,Not_In_Example,positive,0,cleft_existence,902e,47,It might be a commentary that disagreed with George. Something disagreed with George,tensor(-12.1033),tensor(-11.6681),tensor(-12.8328),1,tensor(-10.6440),tensor(-11.4546),tensor(-12.8495),0
32,"If it is Vincent who works with the waiter, it's okay",Someone works with Melinda,conditional,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,223n,11,"If it is Vincent who works with the waiter, it's okay Someone works with Melinda",tensor(-12.5906),tensor(-10.9072),tensor(-11.5080),1,tensor(-11.6501),tensor(-10.5242),tensor(-10.7518),1
33,It might be Tonya who did advise Rodney to lift that steak.,No one did advise Rodney to lift that steak,modal,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1359c,71,It might be Tonya who did advise Rodney to lift that steak. No one did advise Rodney to lift that steak,tensor(-10.2288),tensor(-9.5994),tensor(-9.9728),1,tensor(-10.2950),tensor(-8.8866),tensor(-9.6088),1
34,It isn't Nina that climbed up those slopes.,It is Nina that climbed up those slopes.,Not_In_Example,negated,unembedded,Not_In_Example,2,cleft_existence,1630c,85,It isn't Nina that climbed up those slopes. It is Nina that climbed up those slopes.,tensor(-11.1888),tensor(-10.6238),tensor(-11.5579),1,tensor(-11.5484),tensor(-10.0609),tensor(-10.5202),1
35,Is it that driver who does forget about who weren't touring many rivers?,Someone does forget about what wasn't stretching,interrogative,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,122n,6,Is it that driver who does forget about who weren't touring many rivers? Someone does forget about what wasn't stretching,tensor(-10.6206),tensor(-9.8957),tensor(-10.6894),1,tensor(-11.2884),tensor(-10.0580),tensor(-10.9536),1
36,"If it is the guest who has predicted Dawn to scan the newspaper article, it's okay",Someone has predicted Dawn to scan the newspaper article,conditional,Not_In_Example,Not_In_Example,positive,0,cleft_existence,1874e,98,"If it is the guest who has predicted Dawn to scan the newspaper article, it's okay Someone has predicted Dawn to scan the newspaper article",tensor(-10.7865),tensor(-9.9787),tensor(-10.4810),1,tensor(-9.8892),tensor(-8.5877),tensor(-9.8099),1
37,It is that doctor that knows who was studying.,No one knows who was studying,unembedded,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1806c,95,It is that doctor that knows who was studying. No one knows who was studying,tensor(-10.0665),tensor(-9.5911),tensor(-9.8818),1,tensor(-10.3582),tensor(-8.7527),tensor(-9.4116),1
38,It might be Sonia that appreciates Timothy.,No one appreciates Timothy,modal,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1264c,66,It might be Sonia that appreciates Timothy. No one appreciates Timothy,tensor(-10.5499),tensor(-8.9080),tensor(-9.9499),1,tensor(-10.2310),tensor(-8.3520),tensor(-9.7312),1
39,"If it is Rodney that runs around this mall, it's okay",It is Rodney that runs around this mall.,Not_In_Example,conditional,unembedded,Not_In_Example,1,cleft_existence,1253n,65,"If it is Rodney that runs around this mall, it's okay It is Rodney that runs around this mall.",tensor(-8.4044),tensor(-7.2812),tensor(-7.7536),1,tensor(-9.0663),tensor(-7.2164),tensor(-8.2983),1
40,"If it is Catherine who had questioned William, it's okay",Someone had questioned the Lutherans,conditional,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,945n,49,"If it is Catherine who had questioned William, it's okay Someone had questioned the Lutherans",tensor(-10.8377),tensor(-9.8316),tensor(-10.3428),1,tensor(-10.1754),tensor(-8.6976),tensor(-9.4937),1
41,It isn't this pedestrian that dared Sharon to break every car.,No one dared Sharon to break every car,negated,Not_In_Example,Not_In_Example,negated,2,cleft_existence,669c,35,It isn't this pedestrian that dared Sharon to break every car. No one dared Sharon to break every car,tensor(-10.7619),tensor(-9.5264),tensor(-10.3485),1,tensor(-10.4758),tensor(-8.5717),tensor(-9.5013),1
42,It isn't Margaret that buys that box.,It is Margaret that buys that box.,Not_In_Example,negated,unembedded,Not_In_Example,2,cleft_existence,604c,31,It isn't Margaret that buys that box. It is Margaret that buys that box.,tensor(-10.8496),tensor(-9.4488),tensor(-9.7215),1,tensor(-12.2890),tensor(-10.0936),tensor(-9.8180),2
43,It is Naomi who tours these art galleries.,No one tours these art galleries,unembedded,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1122c,59,It is Naomi who tours these art galleries. No one tours these art galleries,tensor(-11.3392),tensor(-10.2293),tensor(-11.1000),1,tensor(-10.9760),tensor(-9.1439),tensor(-10.4935),1
44,It might be Donald who discovered the plate.,Someone discovered Monica,modal,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,163n,8,It might be Donald who discovered the plate. Someone discovered Monica,tensor(-12.2310),tensor(-11.1493),tensor(-10.9089),2,tensor(-11.2733),tensor(-10.4384),tensor(-10.5578),1
45,It might be Deanna who did buy these blouses.,Someone does buy this lake,modal,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,87n,4,It might be Deanna who did buy these blouses. Someone does buy this lake,tensor(-11.8938),tensor(-10.1934),tensor(-11.8965),1,tensor(-12.0130),tensor(-9.5128),tensor(-11.6714),1
46,It is Leslie that preferred Elaine to exist.,Someone preferred Elaine to exist,unembedded,Not_In_Example,Not_In_Example,positive,0,cleft_existence,1311e,69,It is Leslie that preferred Elaine to exist. Someone preferred Elaine to exist,tensor(-9.7867),tensor(-9.2811),tensor(-9.7136),1,tensor(-9.8151),tensor(-8.8632),tensor(-9.9131),1
47,It isn't Donald who discovered the plate.,Someone discovered Monica,negated,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,157n,8,It isn't Donald who discovered the plate. Someone discovered Monica,tensor(-12.3882),tensor(-11.0556),tensor(-11.0109),2,tensor(-11.3378),tensor(-11.1223),tensor(-10.9960),2
48,"If it is Lissa who arrived at this bank, it's okay",Someone arrived at this bank,conditional,Not_In_Example,Not_In_Example,positive,0,cleft_existence,430e,22,"If it is Lissa who arrived at this bank, it's okay Someone arrived at this bank",tensor(-12.7358),tensor(-11.2176),tensor(-12.0188),1,tensor(-11.1602),tensor(-9.0425),tensor(-10.6126),1
49,It might be Noah that is boasting about the patients.,It is Noah that is boasting about the patients.,Not_In_Example,modal,unembedded,Not_In_Example,1,cleft_existence,1765n,92,It might be Noah that is boasting about the patients. It is Noah that is boasting about the patients.,tensor(-10.7809),tensor(-9.8924),tensor(-10.0596),1,tensor(-10.8945),tensor(-10.2997),tensor(-9.9476),2
50,Both organizations that worked hard might have forgotten who fails to salute.,There are exactly two organizations that worked hard,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,598e,31,Both organizations that worked hard might have forgotten who fails to salute. There are exactly two organizations that worked hard,tensor(-10.0788),tensor(-9.3068),tensor(-10.4662),1,tensor(-9.9706),tensor(-8.8138),tensor(-9.8557),1
51,Both men that have embarrassed Douglas might look to listen to Laura.,Both men that have embarrassed Douglas do look to listen to Laura.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,1157n,60,Both men that have embarrassed Douglas might look to listen to Laura. Both men that have embarrassed Douglas do look to listen to Laura.,tensor(-10.8492),tensor(-10.1208),tensor(-10.4160),1,tensor(-10.6596),tensor(-9.5856),tensor(-9.6552),1
52,Both girls who have departed might have boasted.,There are exactly three girls who have departed.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1834c,96,Both girls who have departed might have boasted. There are exactly three girls who have departed.,tensor(-10.2898),tensor(-9.9843),tensor(-10.0706),1,tensor(-9.4584),tensor(-9.4809),tensor(-8.1371),2
53,Both waitresses that reveal what had dimmed might be forgetting what can't turn.,There are exactly two waitresses that reveal what had dimmed,modal,Not_In_Example,Not_In_Example,positive,0,both_presupposition,1871e,98,Both waitresses that reveal what had dimmed might be forgetting what can't turn. There are exactly two waitresses that reveal what had dimmed,tensor(-11.1373),tensor(-9.9860),tensor(-10.9622),1,tensor(-10.7608),tensor(-9.3794),tensor(-10.5258),1
54,Both men who weren't baking might have succeeded.,Both men who weren't baking had succeeded.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,568n,29,Both men who weren't baking might have succeeded. Both men who weren't baking had succeeded.,tensor(-10.3608),tensor(-9.3527),tensor(-9.1761),2,tensor(-10.7245),tensor(-9.0878),tensor(-8.6374),2
55,Both men who have boasted about Gina spun around.,There aren't exactly two men who have boasted about Gina,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1084c,57,Both men who have boasted about Gina spun around. There aren't exactly two men who have boasted about Gina,tensor(-11.7900),tensor(-11.3641),tensor(-12.3076),1,tensor(-11.2995),tensor(-11.2707),tensor(-10.6997),2
56,Both customers who were stunning Rebecca might have departed.,There are exactly three customers who were stunning Rebecca.,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,637c,33,Both customers who were stunning Rebecca might have departed. There are exactly three customers who were stunning Rebecca.,tensor(-10.8805),tensor(-10.0312),tensor(-10.6882),1,tensor(-10.3567),tensor(-10.1828),tensor(-9.3100),2
57,"If both pedestrians who had reacted were performing, it's okay.",Both pedestrians who had reacted were performing.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,1291n,67,"If both pedestrians who had reacted were performing, it's okay. Both pedestrians who had reacted were performing.",tensor(-10.8285),tensor(-10.3619),tensor(-10.5580),1,tensor(-11.1426),tensor(-9.8669),tensor(-10.0109),1
58,"If both dancers that worked hard had cried, it's okay.",Both dancers that worked hard had cried.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,1652n,86,"If both dancers that worked hard had cried, it's okay. Both dancers that worked hard had cried.",tensor(-11.2758),tensor(-10.5595),tensor(-10.5266),2,tensor(-11.3058),tensor(-10.5017),tensor(-10.1557),2
59,"If both governments that haven't retaliated were remembering who complained, it's okay.",Both governments that haven't retaliated were remembering who complained.,Not_In_Example,conditional,unembedded,Not_In_Example,1,both_presupposition,930n,48,"If both governments that haven't retaliated were remembering who complained, it's okay. Both governments that haven't retaliated were remembering who complained.",tensor(-10.7547),tensor(-9.9801),tensor(-10.2694),1,tensor(-10.6810),tensor(-9.0434),tensor(-9.7186),1
60,Both museums that discussed Ruth might meet.,Both museums that discussed Ruth do meet.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,492n,25,Both museums that discussed Ruth might meet. Both museums that discussed Ruth do meet.,tensor(-11.0138),tensor(-10.3047),tensor(-10.0794),2,tensor(-10.2488),tensor(-9.0321),tensor(-9.1058),1
61,Both women who hid away haven't want to work hard.,Both women who hid away have want to work hard.,Not_In_Example,negated,unembedded,Not_In_Example,2,both_presupposition,243c,12,Both women who hid away haven't want to work hard. Both women who hid away have want to work hard.,tensor(-10.1730),tensor(-9.1019),tensor(-8.5948),2,tensor(-9.8864),tensor(-9.4244),tensor(-8.1416),2
62,"If both men that had thought about the mountain have suffered, it's okay.",There are exactly three men that had thought about the mountain.,conditional,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1685c,88,"If both men that had thought about the mountain have suffered, it's okay. There are exactly three men that had thought about the mountain.",tensor(-11.4242),tensor(-10.4964),tensor(-10.8501),1,tensor(-10.7051),tensor(-9.9291),tensor(-9.9566),1
63,Both wheelbarrows that weren't slipping are shattering.,There aren't exactly two wheelbarrows that weren't slipping,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1388c,73,Both wheelbarrows that weren't slipping are shattering. There aren't exactly two wheelbarrows that weren't slipping,tensor(-10.9607),tensor(-9.9633),tensor(-10.8477),1,tensor(-10.2055),tensor(-8.7103),tensor(-9.1537),1
64,Did both skateboards that will fall apart chip.,There are dozens of skateboards that will fall apart.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,786c,41,Did both skateboards that will fall apart chip. There are dozens of skateboards that will fall apart.,tensor(-11.7971),tensor(-9.9056),tensor(-10.8035),1,tensor(-10.7591),tensor(-8.9189),tensor(-10.2271),1
65,Are both skateboards that couldn't stun Guy maneuvering?,There are exactly two skateboards that couldn't stun Guy,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,861e,45,Are both skateboards that couldn't stun Guy maneuvering? There are exactly two skateboards that couldn't stun Guy,tensor(-10.9327),tensor(-9.0524),tensor(-10.5045),1,tensor(-10.5179),tensor(-8.3111),tensor(-9.8401),1
66,Both hospitals that have forfeited don't respect Edward.,There are exactly two teachers that have forfeited,negated,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,347n,18,Both hospitals that have forfeited don't respect Edward. There are exactly two teachers that have forfeited,tensor(-10.7855),tensor(-9.5920),tensor(-10.4545),1,tensor(-10.5594),tensor(-8.5934),tensor(-10.3928),1
67,Both boys that argue might be muttering.,There aren't exactly two boys that argue,modal,Not_In_Example,Not_In_Example,negated,2,both_presupposition,124c,6,Both boys that argue might be muttering. There aren't exactly two boys that argue,tensor(-10.6403),tensor(-9.3585),tensor(-10.1843),1,tensor(-10.1661),tensor(-8.2505),tensor(-10.2516),1
68,Are both waiters who think about who can cry declaring Douglas to scream?,There aren't exactly two waiters who think about who can cry,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1071c,56,Are both waiters who think about who can cry declaring Douglas to scream? There aren't exactly two waiters who think about who can cry,tensor(-10.9246),tensor(-9.7762),tensor(-10.5975),1,tensor(-10.6716),tensor(-8.9829),tensor(-10.1005),1
69,Both closets that scare Amanda aren't flinging open.,There are exactly two closets that scare Amanda,negated,Not_In_Example,Not_In_Example,positive,0,both_presupposition,611e,32,Both closets that scare Amanda aren't flinging open. There are exactly two closets that scare Amanda,tensor(-12.6853),tensor(-11.4934),tensor(-12.2143),1,tensor(-10.1595),tensor(-9.1142),tensor(-10.6260),1
70,Did both guests who weren't arriving at all movie theaters stretch.,There are exactly three guests who weren't arriving at all movie theaters.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1109c,58,Did both guests who weren't arriving at all movie theaters stretch. There are exactly three guests who weren't arriving at all movie theaters.,tensor(-10.9209),tensor(-10.1985),tensor(-10.5093),1,tensor(-10.4520),tensor(-10.6660),tensor(-8.9425),2
71,Did both teachers that prompted Julie's brothers to nod realize who isn't wearing some blouse?,There are dozens of teachers that prompted Julie's brothers to nod.,interrogative,Not_In_Example,Not_In_Example,negated,2,both_presupposition,1603c,84,Did both teachers that prompted Julie's brothers to nod realize who isn't wearing some blouse? There are dozens of teachers that prompted Julie's brothers to nod.,tensor(-8.2007),tensor(-7.5366),tensor(-7.9430),1,tensor(-9.1616),tensor(-8.4432),tensor(-8.1424),2
72,Are both waitresses that reveal what had dimmed forgetting what can't turn?,There are exactly two waitresses that reveal what had dimmed,interrogative,Not_In_Example,Not_In_Example,positive,0,both_presupposition,1868e,98,Are both waitresses that reveal what had dimmed forgetting what can't turn? There are exactly two waitresses that reveal what had dimmed,tensor(-11.4470),tensor(-9.9936),tensor(-10.8270),1,tensor(-10.9835),tensor(-9.0279),tensor(-10.4598),1
73,Both actresses that argue about James complained about Stephen.,There are exactly two actresses that argue about James,unembedded,Not_In_Example,Not_In_Example,positive,0,both_presupposition,532e,28,Both actresses that argue about James complained about Stephen. There are exactly two actresses that argue about James,tensor(-11.6959),tensor(-11.0184),tensor(-11.8981),1,tensor(-11.2433),tensor(-10.7277),tensor(-10.7304),1
74,Both adults that were appearing do date.,There are dozens of adults that were appearing.,unembedded,Not_In_Example,Not_In_Example,negated,2,both_presupposition,324c,17,Both adults that were appearing do date. There are dozens of adults that were appearing.,tensor(-11.0541),tensor(-9.3865),tensor(-9.8801),1,tensor(-10.4981),tensor(-8.9506),tensor(-9.5420),1
75,Both actresses who haven't debated might be continuing to resemble a picture.,Both actresses who haven't debated are continuing to resemble a picture.,Not_In_Example,modal,unembedded,Not_In_Example,1,both_presupposition,948n,49,Both actresses who haven't debated might be continuing to resemble a picture. Both actresses who haven't debated are continuing to resemble a picture.,tensor(-10.9882),tensor(-10.6982),tensor(-10.4346),2,tensor(-11.2525),tensor(-11.0578),tensor(-11.0145),2
76,Did both waiters that have alarmed the cashier urge Lucille's teacher to question all governments.,There are exactly two schools that have alarmed the cashier,interrogative,Not_In_Example,Not_In_Example,neutral,1,both_presupposition,46n,2,Did both waiters that have alarmed the cashier urge Lucille's teacher to question all governments. There are exactly two schools that have alarmed the cashier,tensor(-10.2119),tensor(-9.3845),tensor(-10.3303),1,tensor(-9.6259),tensor(-8.0759),tensor(-9.7424),1
77,"If both associations that forgot about who shouldn't take the closet continue to listen to all children, it's okay.",There are exactly two associations that forgot about who shouldn't take the closet,conditional,Not_In_Example,Not_In_Example,positive,0,both_presupposition,1893e,99,"If both associations that forgot about who shouldn't take the closet continue to listen to all children, it's okay. There are exactly two associations that forgot about who shouldn't take the closet",tensor(-9.8565),tensor(-8.9985),tensor(-10.1189),1,tensor(-9.5575),tensor(-7.7899),tensor(-9.1475),1
