,premise,hypothesis,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,prompt,entailment_prob,neutral_prob,contradiction_prob,prediction,entailment_prob_chat,neutral_prob_chat,contradiction_prob_chat,prediction_chat
32,All actors will predict many blouses to soak.,Some actors will predict many blouses to soak.,0,2,reverse negated implicature_P,target,quantifier,some - all,All actors will predict many blouses to soak. Some actors will predict many blouses to soak.,tensor(-9.8332),tensor(-8.3539),tensor(-9.2385),1,tensor(-9.6801),tensor(-7.5894),tensor(-9.1812),1
33,Amelia might exit no schools.,Amelia might not exit all schools.,0,2,reverse negated implicature_N,target,quantifier,some - all,Amelia might exit no schools. Amelia might not exit all schools.,tensor(-10.3418),tensor(-9.2189),tensor(-9.4129),1,tensor(-10.5121),tensor(-8.8821),tensor(-9.3326),1
34,Most actors impress all organizations.,Most actors impress no organizations.,2,2,opposite,control,quantifier,some - all,Most actors impress all organizations. Most actors impress no organizations.,tensor(-10.3521),tensor(-9.2528),tensor(-9.6515),1,tensor(-9.1705),tensor(-7.9100),tensor(-7.8708),2
35,The actress could research all photographs.,The actress could research no photographs.,2,2,opposite,control,quantifier,some - all,The actress could research all photographs. The actress could research no photographs.,tensor(-10.5615),tensor(-9.4406),tensor(-10.0274),1,tensor(-9.9950),tensor(-8.4424),tensor(-8.9180),1
36,No doctors had disagreed.,Not all doctors had disagreed.,0,2,reverse negated implicature_N,target,quantifier,some - all,No doctors had disagreed. Not all doctors had disagreed.,tensor(-10.7083),tensor(-9.3845),tensor(-9.4789),1,tensor(-10.6230),tensor(-9.3179),tensor(-10.1161),1
37,Karen doesn't explore all public parks.,Karen explores some public parks.,1,0,implicature_NtoP,target,quantifier,some - all,Karen doesn't explore all public parks. Karen explores some public parks.,tensor(-10.4453),tensor(-9.8009),tensor(-10.0140),1,tensor(-9.2673),tensor(-9.2549),tensor(-8.2942),2
38,Some dresses tighten.,Not all dresses tighten.,1,0,implicature_PtoN,target,quantifier,some - all,Some dresses tighten. Not all dresses tighten.,tensor(-11.1145),tensor(-9.8279),tensor(-10.2989),1,tensor(-10.3427),tensor(-9.3252),tensor(-10.6304),1
39,All adults had attacked that student.,Some adults had attacked that student.,0,2,reverse negated implicature_P,target,quantifier,some - all,All adults had attacked that student. Some adults had attacked that student.,tensor(-11.3551),tensor(-9.7468),tensor(-10.2012),1,tensor(-11.1720),tensor(-9.0763),tensor(-9.6777),1
40,Some children questioned Keith.,All children questioned Keith.,1,2,negated implicature_P,target,quantifier,some - all,Some children questioned Keith. All children questioned Keith.,tensor(-11.7994),tensor(-10.5504),tensor(-10.8328),1,tensor(-11.0784),tensor(-9.6654),tensor(-10.6763),1
41,All dancers will bring these hills.,Some dancers will bring these hills.,0,2,reverse negated implicature_P,target,quantifier,some - all,All dancers will bring these hills. Some dancers will bring these hills.,tensor(-11.6096),tensor(-9.9750),tensor(-10.9672),1,tensor(-10.7935),tensor(-8.7350),tensor(-9.7677),1
42,Not all men were leaving.,No men were leaving.,1,2,negated implicature_N,target,quantifier,some - all,Not all men were leaving. No men were leaving.,tensor(-11.4977),tensor(-9.3072),tensor(-9.4939),1,tensor(-10.8430),tensor(-8.1812),tensor(-8.3146),1
43,Not all adults have concealed the newspaper articles.,No adults have concealed the newspaper articles.,1,2,negated implicature_N,target,quantifier,some - all,Not all adults have concealed the newspaper articles. No adults have concealed the newspaper articles.,tensor(-10.4135),tensor(-9.3541),tensor(-9.3304),2,tensor(-9.6281),tensor(-9.0597),tensor(-8.4269),2
44,The Clintons bothered all dancers.,The Clintons bothered no dancers.,2,2,opposite,control,quantifier,some - all,The Clintons bothered all dancers. The Clintons bothered no dancers.,tensor(-10.5489),tensor(-9.2262),tensor(-8.9464),2,tensor(-10.7090),tensor(-9.0415),tensor(-8.4167),2
45,No people had questioned Steven.,All people had questioned Steven.,2,2,opposite,control,quantifier,some - all,No people had questioned Steven. All people had questioned Steven.,tensor(-11.9818),tensor(-10.4183),tensor(-10.9657),1,tensor(-11.2903),tensor(-9.4160),tensor(-10.3600),1
46,Thomas revealed no gates.,Thomas revealed all gates.,2,2,opposite,control,quantifier,some - all,Thomas revealed no gates. Thomas revealed all gates.,tensor(-11.2728),tensor(-9.8286),tensor(-10.0216),1,tensor(-9.7522),tensor(-7.8911),tensor(-7.5738),2
47,Some actresses had longed to annoy this pedestrian.,No actresses had longed to annoy this pedestrian.,2,2,negation,control,quantifier,some - all,Some actresses had longed to annoy this pedestrian. No actresses had longed to annoy this pedestrian.,tensor(-10.9653),tensor(-10.4190),tensor(-10.2167),2,tensor(-10.6297),tensor(-9.4787),tensor(-9.5671),1
48,A lot of people were walking through all cafes.,A lot of people were walking through some cafes.,0,2,reverse negated implicature_P,target,quantifier,some - all,A lot of people were walking through all cafes. A lot of people were walking through some cafes.,tensor(-11.7836),tensor(-9.5834),tensor(-10.0045),1,tensor(-11.5449),tensor(-9.2958),tensor(-10.5748),1
49,Some women are needing the library to conspire.,All women are needing the library to conspire.,1,2,negated implicature_P,target,quantifier,some - all,Some women are needing the library to conspire. All women are needing the library to conspire.,tensor(-11.4083),tensor(-10.1044),tensor(-10.1269),1,tensor(-12.3267),tensor(-10.6482),tensor(-10.9451),1
50,The truck is enourmous.,The truck is not big.,2,2,opposite,control,adjective,big-enourmous,The truck is enourmous. The truck is not big.,tensor(-10.5502),tensor(-8.7983),tensor(-8.9870),1,tensor(-9.9898),tensor(-8.9536),tensor(-9.1976),1
51,That casserole is great.,That casserole is not great.,2,2,negation,control,adjective,fine-great,That casserole is great. That casserole is not great.,tensor(-10.8052),tensor(-9.3856),tensor(-9.8818),1,tensor(-9.4952),tensor(-7.3927),tensor(-8.3192),1
52,The cart is good.,The cart is not good.,2,2,negation,control,adjective,good-excellent,The cart is good. The cart is not good.,tensor(-10.8309),tensor(-9.1072),tensor(-9.5543),1,tensor(-9.7417),tensor(-7.7635),tensor(-8.5574),1
53,That casserole is not enourmous.,That casserole is enourmous.,2,2,negation,control,adjective,big-enourmous,That casserole is not enourmous. That casserole is enourmous.,tensor(-10.2021),tensor(-8.4294),tensor(-8.7467),1,tensor(-10.2388),tensor(-8.6913),tensor(-8.6861),2
54,Guys are not enourmous.,Guys are not big.,1,2,negated implicature_N,target,adjective,big-enourmous,Guys are not enourmous. Guys are not big.,tensor(-10.8921),tensor(-9.9494),tensor(-9.9145),2,tensor(-9.9662),tensor(-9.2961),tensor(-9.2562),2
55,Kayla is not enourmous.,Kayla is enourmous.,2,2,negation,control,adjective,big-enourmous,Kayla is not enourmous. Kayla is enourmous.,tensor(-10.9100),tensor(-9.5702),tensor(-9.6427),1,tensor(-10.3181),tensor(-8.8593),tensor(-8.5954),2
56,That hill is not good.,That hill is not excellent.,0,2,reverse negated implicature_N,target,adjective,good-excellent,That hill is not good. That hill is not excellent.,tensor(-10.7719),tensor(-9.3041),tensor(-10.1307),1,tensor(-10.4166),tensor(-8.5020),tensor(-9.8823),1
57,Art galleries are not enourmous.,Art galleries are big.,1,0,implicature_NtoP,target,adjective,big-enourmous,Art galleries are not enourmous. Art galleries are big.,tensor(-11.3340),tensor(-9.2805),tensor(-9.3140),1,tensor(-10.6823),tensor(-8.9270),tensor(-9.0017),1
58,Regina is brilliant.,Regina is smart.,0,2,reverse negated implicature_P,target,adjective,smart-brilliant,Regina is brilliant. Regina is smart.,tensor(-11.3931),tensor(-9.9922),tensor(-10.1667),1,tensor(-10.8275),tensor(-8.5499),tensor(-9.2784),1
59,The mountain is not great.,The mountain is fine.,1,0,implicature_NtoP,target,adjective,fine-great,The mountain is not great. The mountain is fine.,tensor(-10.5877),tensor(-8.7586),tensor(-9.5517),1,tensor(-9.8972),tensor(-8.3590),tensor(-9.1380),1
60,This beef is not big.,This beef is enourmous.,2,2,opposite,control,adjective,big-enourmous,This beef is not big. This beef is enourmous.,tensor(-11.2008),tensor(-9.4350),tensor(-10.0463),1,tensor(-10.2050),tensor(-8.8766),tensor(-9.3535),1
61,The university is big.,The university is not big.,2,2,negation,control,adjective,big-enourmous,The university is big. The university is not big.,tensor(-10.4558),tensor(-9.5541),tensor(-9.5728),1,tensor(-9.4601),tensor(-8.6926),tensor(-7.9945),2
62,These books are excellent.,These books are good.,0,2,reverse negated implicature_P,target,adjective,good-excellent,These books are excellent. These books are good.,tensor(-11.1544),tensor(-9.6153),tensor(-10.3452),1,tensor(-10.5566),tensor(-8.5865),tensor(-9.7202),1
63,The cart is excellent.,The cart is not excellent.,2,2,negation,control,adjective,good-excellent,The cart is excellent. The cart is not excellent.,tensor(-10.8115),tensor(-9.2130),tensor(-9.1952),2,tensor(-9.6857),tensor(-8.0287),tensor(-8.1188),1
64,Dana is not smart.,Dana is smart.,2,2,negation,control,adjective,smart-brilliant,Dana is not smart. Dana is smart.,tensor(-11.0204),tensor(-9.8536),tensor(-9.3348),2,tensor(-10.7817),tensor(-9.0337),tensor(-8.6123),2
65,Hills are great.,Hills are not great.,2,2,negation,control,adjective,fine-great,Hills are great. Hills are not great.,tensor(-11.2017),tensor(-9.2984),tensor(-9.7984),1,tensor(-9.3615),tensor(-7.0240),tensor(-7.4717),1
66,Bill is not big.,Bill is big.,2,2,negation,control,adjective,big-enourmous,Bill is not big. Bill is big.,tensor(-11.4741),tensor(-9.4762),tensor(-9.2551),2,tensor(-10.2954),tensor(-8.6928),tensor(-8.3105),2
67,The sketch is not good.,The sketch is good.,2,2,negation,control,adjective,good-excellent,The sketch is not good. The sketch is good.,tensor(-10.5934),tensor(-9.3405),tensor(-9.7649),1,tensor(-10.1000),tensor(-8.3517),tensor(-8.2998),2
68,Hills are fine.,Hills are great.,1,2,negated implicature_P,target,adjective,fine-great,Hills are fine. Hills are great.,tensor(-11.3554),tensor(-8.9981),tensor(-10.2697),1,tensor(-10.1812),tensor(-8.0862),tensor(-9.8869),1
69,The truck is big.,The truck is not enourmous.,1,0,implicature_PtoN,target,adjective,big-enourmous,The truck is big. The truck is not enourmous.,tensor(-10.6587),tensor(-8.9380),tensor(-9.3556),1,tensor(-9.6192),tensor(-8.0562),tensor(-8.2061),1
70,Janice is brilliant.,Janice is not brilliant.,2,2,negation,control,adjective,smart-brilliant,Janice is brilliant. Janice is not brilliant.,tensor(-10.4813),tensor(-9.8614),tensor(-9.0641),2,tensor(-9.9113),tensor(-8.5620),tensor(-7.9130),2
71,The shawl is big.,The shawl is enourmous.,1,2,negated implicature_P,target,adjective,big-enourmous,The shawl is big. The shawl is enourmous.,tensor(-11.5627),tensor(-9.9172),tensor(-10.4982),1,tensor(-10.6611),tensor(-8.8611),tensor(-9.5344),1
72,The cart is not good.,The cart is not excellent.,0,2,reverse negated implicature_N,target,adjective,good-excellent,The cart is not good. The cart is not excellent.,tensor(-10.9841),tensor(-9.5818),tensor(-10.3030),1,tensor(-10.4931),tensor(-8.8298),tensor(-9.8793),1
73,Tanya is enourmous.,Tanya is big.,0,2,reverse negated implicature_P,target,adjective,big-enourmous,Tanya is enourmous. Tanya is big.,tensor(-11.1318),tensor(-9.7727),tensor(-10.3318),1,tensor(-10.7562),tensor(-9.3753),tensor(-10.3280),1
74,These dishes are big.,These dishes are not big.,2,2,negation,control,adjective,big-enourmous,These dishes are big. These dishes are not big.,tensor(-11.4092),tensor(-9.2448),tensor(-9.7717),1,tensor(-10.0079),tensor(-8.1520),tensor(-8.3333),1
75,These paintings are not good.,These paintings are excellent.,2,2,opposite,control,adjective,good-excellent,These paintings are not good. These paintings are excellent.,tensor(-12.1202),tensor(-9.8430),tensor(-10.0668),1,tensor(-11.7621),tensor(-9.5493),tensor(-9.4946),2
76,Sharon is not brilliant.,Sharon is not smart.,1,2,negated implicature_N,target,adjective,smart-brilliant,Sharon is not brilliant. Sharon is not smart.,tensor(-11.6092),tensor(-10.8258),tensor(-10.4544),2,tensor(-10.8833),tensor(-10.1766),tensor(-9.6653),2
77,This mushroom is excellent.,This mushroom is not excellent.,2,2,negation,control,adjective,good-excellent,This mushroom is excellent. This mushroom is not excellent.,tensor(-10.3127),tensor(-9.0306),tensor(-9.2193),1,tensor(-9.7582),tensor(-7.9404),tensor(-8.3108),1
78,The painting is not big.,The painting is enourmous.,2,2,opposite,control,adjective,big-enourmous,The painting is not big. The painting is enourmous.,tensor(-11.4217),tensor(-9.5382),tensor(-9.8300),1,tensor(-10.5142),tensor(-8.4863),tensor(-8.4702),2
79,Catherine is not enourmous.,Catherine is enourmous.,2,2,negation,control,adjective,big-enourmous,Catherine is not enourmous. Catherine is enourmous.,tensor(-10.2924),tensor(-8.9599),tensor(-8.6101),2,tensor(-9.9460),tensor(-8.1546),tensor(-7.3590),2
80,The glass is excellent.,The glass is good.,0,2,reverse negated implicature_P,target,adjective,good-excellent,The glass is excellent. The glass is good.,tensor(-10.8267),tensor(-8.5570),tensor(-9.7111),1,tensor(-10.6086),tensor(-7.6746),tensor(-9.3425),1
81,This cart is great.,This cart is not great.,2,2,negation,control,adjective,fine-great,This cart is great. This cart is not great.,tensor(-11.1827),tensor(-9.3415),tensor(-9.5017),1,tensor(-10.2456),tensor(-7.5373),tensor(-8.6035),1
82,The university is enourmous.,The university is big.,0,2,reverse negated implicature_P,target,adjective,big-enourmous,The university is enourmous. The university is big.,tensor(-11.4109),tensor(-9.9417),tensor(-10.8745),1,tensor(-10.9720),tensor(-9.3715),tensor(-10.5038),1
83,Matt is not smart.,Matt is not brilliant.,0,2,reverse negated implicature_N,target,adjective,smart-brilliant,Matt is not smart. Matt is not brilliant.,tensor(-12.4281),tensor(-10.9737),tensor(-10.5805),2,tensor(-12.5951),tensor(-10.6778),tensor(-10.4765),2
84,That pork is great.,That pork is not fine.,2,2,opposite,control,adjective,fine-great,That pork is great. That pork is not fine.,tensor(-10.8707),tensor(-9.5002),tensor(-9.5267),1,tensor(-9.8566),tensor(-8.6743),tensor(-8.6930),1
85,This public park is excellent.,This public park is not good.,2,2,opposite,control,adjective,good-excellent,This public park is excellent. This public park is not good.,tensor(-10.9487),tensor(-9.7393),tensor(-9.9614),1,tensor(-10.2004),tensor(-8.6212),tensor(-9.9815),1
86,This cart is not fine.,This cart is not great.,0,2,reverse negated implicature_N,target,adjective,fine-great,This cart is not fine. This cart is not great.,tensor(-11.1409),tensor(-9.5739),tensor(-10.0242),1,tensor(-11.1799),tensor(-9.0689),tensor(-10.0629),1
87,Eric is not brilliant.,Eric is smart.,1,0,implicature_NtoP,target,adjective,smart-brilliant,Eric is not brilliant. Eric is smart.,tensor(-12.0383),tensor(-10.1862),tensor(-10.3342),1,tensor(-11.0467),tensor(-8.9250),tensor(-9.2602),1
88,Lori is smart.,Lori is not brilliant.,1,0,implicature_PtoN,target,adjective,smart-brilliant,Lori is smart. Lori is not brilliant.,tensor(-10.8836),tensor(-10.3132),tensor(-9.8756),2,tensor(-10.3046),tensor(-8.6870),tensor(-7.7080),2
89,Helen is enourmous.,Helen is big.,0,2,reverse negated implicature_P,target,adjective,big-enourmous,Helen is enourmous. Helen is big.,tensor(-11.0917),tensor(-9.9344),tensor(-10.4904),1,tensor(-10.2845),tensor(-8.6737),tensor(-9.2476),1
90,Carla is big.,Carla is enourmous.,1,2,negated implicature_P,target,adjective,big-enourmous,Carla is big. Carla is enourmous.,tensor(-11.5467),tensor(-9.6807),tensor(-10.2944),1,tensor(-11.1785),tensor(-9.4937),tensor(-10.5192),1
91,Mark is enourmous.,Mark is big.,0,2,reverse negated implicature_P,target,adjective,big-enourmous,Mark is enourmous. Mark is big.,tensor(-11.3862),tensor(-10.0030),tensor(-10.4666),1,tensor(-10.2330),tensor(-8.6880),tensor(-9.0903),1
92,These plates are not excellent.,These plates are not good.,1,2,negated implicature_N,target,adjective,good-excellent,These plates are not excellent. These plates are not good.,tensor(-11.6015),tensor(-9.7867),tensor(-10.4753),1,tensor(-11.4418),tensor(-9.0604),tensor(-10.1897),1
93,This plate is not excellent.,This plate is not good.,1,2,negated implicature_N,target,adjective,good-excellent,This plate is not excellent. This plate is not good.,tensor(-10.7693),tensor(-9.0429),tensor(-9.5532),1,tensor(-10.9146),tensor(-8.4164),tensor(-9.6706),1
94,These malls are excellent.,These malls are not good.,2,2,opposite,control,adjective,good-excellent,These malls are excellent. These malls are not good.,tensor(-10.9213),tensor(-8.9586),tensor(-9.9247),1,tensor(-10.1688),tensor(-8.0318),tensor(-9.3490),1
95,The college campuses are not big.,The college campuses are enourmous.,2,2,opposite,control,adjective,big-enourmous,The college campuses are not big. The college campuses are enourmous.,tensor(-11.4657),tensor(-10.1375),tensor(-10.3237),1,tensor(-12.0135),tensor(-9.3160),tensor(-9.1523),2
96,These shoes are not good.,These shoes are excellent.,2,2,opposite,control,adjective,good-excellent,These shoes are not good. These shoes are excellent.,tensor(-11.9812),tensor(-9.2332),tensor(-10.3947),1,tensor(-11.5513),tensor(-8.7741),tensor(-9.8764),1
97,This pasta is big.,This pasta is not big.,2,2,negation,control,adjective,big-enourmous,This pasta is big. This pasta is not big.,tensor(-10.8623),tensor(-9.4016),tensor(-9.7129),1,tensor(-9.1609),tensor(-8.3704),tensor(-8.4201),1
98,That screen is excellent.,That screen is good.,0,2,reverse negated implicature_P,target,adjective,good-excellent,That screen is excellent. That screen is good.,tensor(-10.8656),tensor(-9.2645),tensor(-9.7382),1,tensor(-10.1048),tensor(-8.5466),tensor(-10.3856),1
99,Kayla is big.,Kayla is enourmous.,1,2,negated implicature_P,target,adjective,big-enourmous,Kayla is big. Kayla is enourmous.,tensor(-11.2832),tensor(-9.7993),tensor(-10.2790),1,tensor(-10.7579),tensor(-9.3347),tensor(-10.3695),1
100,This waitress got to those libraries.,This waitress did not go towards those libraries.,2,2,opposite,control,verb,went towards - got to,This waitress got to those libraries. This waitress did not go towards those libraries.,tensor(-11.0073),tensor(-10.2101),tensor(-10.3091),1,tensor(-9.8133),tensor(-8.9023),tensor(-8.5743),2
101,Those boys sprinted to those closets.,Those boys did not sprint to those closets.,2,2,negation,control,verb,ran - sprinted,Those boys sprinted to those closets. Those boys did not sprint to those closets.,tensor(-10.5171),tensor(-9.7640),tensor(-9.8334),1,tensor(-10.2802),tensor(-8.9053),tensor(-8.6138),2
102,Winston Churchill went towards lakes.,Winston Churchill did not go towards lakes.,2,2,negation,control,verb,went towards - got to,Winston Churchill went towards lakes. Winston Churchill did not go towards lakes.,tensor(-10.3807),tensor(-9.6007),tensor(-8.7779),2,tensor(-10.2528),tensor(-9.1628),tensor(-8.0755),2
103,The waiter did not manage to talk to Florence.,The waiter managed to talk to Florence.,2,2,negation,control,verb,tried - managed,The waiter did not manage to talk to Florence. The waiter managed to talk to Florence.,tensor(-10.4013),tensor(-9.5653),tensor(-9.7150),1,tensor(-10.9822),tensor(-9.5959),tensor(-8.8253),2
104,Lori did not sprint.,Lori did not run.,1,2,negated implicature_N,target,verb,ran - sprinted,Lori did not sprint. Lori did not run.,tensor(-11.3176),tensor(-9.3988),tensor(-9.8247),1,tensor(-10.9693),tensor(-9.2045),tensor(-9.2300),1
