sentence1,sentence2,actual_score,log_prob_score_7b,log_prob_score_7b_chat
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.6,-2.975158452987671,-4.985733985900879
A boy studies a calendar.,A boy is looking at a calendar.,4.4,-2.7498488426208496,-3.8478875160217285
The ballerina is dancing.,A man is dancing.,1.75,-2.8456077575683594,-3.960833787918091
A woman is dancing.,A woman is playing violin.,0.4,-2.7633659839630127,-4.682732582092285
A woman is slicing some tomatoes.,A woman is chopping a potato.,1.4,-3.029832601547241,-5.014002799987793
A woman is water skiing.,A woman is slicing fish.,0.4,-2.8664398193359375,-4.685550689697266
A man is playing a flute.,A man is riding a scooter.,0.8,-2.9473915100097656,-4.884504795074463
A man is playing the piano.,A man played the guitar.,2.0,-2.774832248687744,-4.284389495849609
A woman is picking a can.,A man is playing a guitar.,0.133,-2.530668258666992,-4.362486362457275
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,4.0,-2.546633005142212,-3.7636804580688477
A woman is cutting an onion.,A woman is cleaning a garden.,0.267,-2.8644533157348633,-4.0420074462890625
Some men are sawing.,Men are sawing logs.,3.4,-2.8943991661071777,-4.234523296356201
A car is driven down the road.,A girl is walking down a road.,1.2,-3.0170090198516846,-5.105717658996582
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,5.0,-2.8851046562194824,-4.262808322906494
A train is moving.,A man is doing yoga.,0.0,-2.4984374046325684,-4.758776664733887
Someone is slicing an onion.,A woman is cutting onion.,3.8,-2.9261178970336914,-4.4551191329956055
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,0.75,-2.438384771347046,-4.061195373535156
A person is playing an electronic keyboard.,A kid is playing keyboard.,3.4,-2.8554611206054688,-4.111027717590332
A man is holding a leaf.,A monkey is fighting a man.,0.0,-2.472515106201172,-4.618105888366699
A woman is peeling shrimp.,A man is squeezing water.,0.2,-2.8884477615356445,-4.198212146759033
A man is sitting and smoking.,A man is smoking a cigarette.,4.0,-2.4886364936828613,-3.9436135292053223
A man is playing a guitar.,A woman is riding a horse.,0.5,-2.220021963119507,-4.1458563804626465
A man is standing in front of the window and looking outside.,A man is staring out the window.,3.8,-3.137258768081665,-4.400786876678467
A skunk is looking here and there.,A skunk looks at the camera.,2.4,-2.728177070617676,-4.651235103607178
A man is playing the guitar and singing.,A man sings with a guitar.,4.75,-2.58239483833313,-3.5081074237823486
A woman opens a window.,A man is crawling.,0.0,-2.458411693572998,-4.663644790649414
People are dancing outside.,A group of people are dancing.,3.75,-2.5098023414611816,-3.3988723754882812
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,2.6,-2.8265645503997803,-5.053844928741455
A woman is filing her nails.,A man is peeling a carrot.,0.0,-2.628619432449341,-4.664748191833496
A boy is crawling into a dog house.,A boy is playing a wooden flute.,0.75,-2.5591957569122314,-3.7359683513641357
A woman is swimming underwater.,A man is slicing some carrots.,0.0,-2.6220197677612305,-4.546928405761719
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,3.8,-3.1075515747070312,-4.447026252746582
A monkey is playing drums.,A gorilla plays the drums.,2.8,-3.0438430309295654,-4.9384894371032715
A man is opening a box and taking out paper.,A woman is peeling a potato.,0.0,-2.676560878753662,-4.80543327331543
A woman is dancing.,A woman plays the clarinet.,0.8,-2.951937675476074,-4.799347400665283
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,3.0,-2.608262062072754,-4.430970668792725
The men played follow the leader on the grass.,The rhino grazed on the grass.,1.0,-2.9652047157287598,-4.932613372802734
A woman is cracking eggs.,A man is talking to a woman.,0.0,-2.3351492881774902,-4.330521583557129
A woman peels garlic with her hands.,The woman is slicing herbs.,1.0,-2.92164945602417,-4.955956935882568
The polar bears fought over the kill.,Polar bears are fighting each other.,3.4,-2.8802013397216797,-4.017147064208984
A man is doing trick with play cards.,A man is performing a card trick.,5.0,-2.783423662185669,-4.4285478591918945
The cat is licking a bottle.,A cat plays with a small bottle.,2.333,-2.2546401023864746,-3.9465701580047607
A person is slicing an onion.,A person cuts ginger.,1.4,-2.9652085304260254,-4.9961419105529785
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.75,-2.4689102172851562,-3.9868454933166504
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,3.538,-2.9635579586029053,-4.964759349822998
A man is seasoning some carrots.,A woman is slicing garlic.,0.8,-2.990535259246826,-4.98067045211792
Two men pushed carts through the woods.,Two men are pushing carts.,3.5,-2.5259275436401367,-3.4289050102233887
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,2.0,-2.7663462162017822,-4.806067943572998
The lady peeled the potatoe.,A woman is peeling a potato.,4.75,-2.5623819828033447,-3.55530047416687
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,4.0,-2.4965462684631348,-3.9652132987976074
Someone typed on a keyboard.,Someone is typing.,4.5,-2.213447332382202,-3.6154332160949707
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,1.5,-2.7844300270080566,-4.41990327835083
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,2.4,-2.7717089653015137,-4.8336944580078125
A cat is walking around a house.,A woman is peeling potato.,0.0,-2.4593000411987305,-4.610140800476074
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,0.4,-2.9622914791107178,-4.2860894203186035
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,2.5,-2.368774652481079,-3.850334405899048
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,2.6,-2.8569421768188477,-4.514821529388428
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,3.6,-2.929389715194702,-4.3320231437683105
A group of people are dancing.,Women are dancing outside.,3.0,-2.764462471008301,-3.9997472763061523
A man is playing guitar.,A boy is talking to a giant dog.,0.0,-2.543651580810547,-4.4924702644348145
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,1.6,-2.977410078048706,-5.849903106689453
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,1.25,-2.7281863689422607,-4.426827907562256
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,3.6,-2.972884178161621,-4.249176979064941
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,2.0,-2.7506208419799805,-4.9123358726501465
The panda bear lay on the logs.,A panda is lying down.,3.6,-2.9518301486968994,-4.2534685134887695
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,2.8,-3.1864500045776367,-4.784937381744385
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,4.4,-2.897787570953369,-4.068157196044922
A cat is playing on the floor.,A man is slicing garlic.,0.0,-2.4937925338745117,-4.703390121459961
A boy is playing violin on stage.,A person is mixing a pot.,0.0,-2.5091278553009033,-4.761707782745361
A dog is barking at a toy.,The little dog barked at the electronic toy.,3.75,-2.460484266281128,-3.4804248809814453
A man is cycling.,A boy is riding a bicycle.,2.5,-2.308868885040283,-3.8488144874572754
A woman is slicing ginger.,A person is holding two baby lorises.,0.0,-2.5625522136688232,-4.483424186706543
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.8,-2.9435043334960938,-5.229131698608398
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,1.0,-2.7581193447113037,-4.874589920043945
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,0.0,-2.408923864364624,-4.642841339111328
Someone touched the kitten chewing on a string.,Someone is cutting paper.,0.25,-2.456777334213257,-4.095617771148682
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.4,-2.895206928253174,-4.426592826843262
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0,-2.5919525623321533,-4.636693000793457
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,5.0,-2.9361817836761475,-4.711777687072754
Someone is drawing.,Someone is dancing.,0.3,-2.755072832107544,-5.130618572235107
A man is playing a guitar.,A woman is playing the guitar.,2.75,-2.524989366531372,-3.791661024093628
Two men are fistfighting in a ring.,Two men fistfight in a ring.,5.0,-3.1086807250976562,-4.634374618530273
A person wipes butter on a tray.,A person is buttering a tray.,4.25,-2.486332654953003,-3.4071547985076904
Two men are playing football.,Two men are practicing football.,3.4,-3.082672595977783,-4.2033843994140625
The man is playing the guitar.,The girl is playing the guitar.,1.6,-3.1243972778320312,-5.032700538635254
A man is peeling a potato.,A man is slicing a potato.,2.6,-2.961311101913452,-4.910403251647949
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,5.0,-2.999016761779785,-4.522387981414795
A child is waking up.,A girl is waking up.,3.2,-2.8075389862060547,-3.761528968811035
A boy is playing a key-board.,A little boy is playing a keyboard.,4.8,-3.1070306301116943,-4.266670227050781
A woman plays the flute.,A woman is playing the flute.,5.0,-3.0341813564300537,-4.658129692077637
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,2.4,-2.816087484359741,-4.6321516036987305
A man is playing a flute.,A man is playing a guitar.,2.0,-2.6832149028778076,-4.358380317687988
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,5.0,-2.9870173931121826,-4.448942184448242
A man plays a guitar.,A man is playing a guitar.,5.0,-2.9773030281066895,-4.821779727935791
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,3.4,-2.788486957550049,-4.386744976043701
A woman is climbing a cliff.,A woman is climbing a rock face.,4.5,-2.282230854034424,-3.747065782546997
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,4.2,-2.8391273021698,-4.067233085632324
A woman is cutting some fish.,A woman is cutting tofu.,2.2,-2.861173391342163,-4.247974872589111
Someone is playing a piano.,Someone is playing guitar.,2.4,-2.767949104309082,-4.467751502990723
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,3.8,-3.017673969268799,-4.296328544616699
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5,-2.3771567344665527,-4.066514492034912
A girl is playing guitar.,A girl is playing a piano.,2.0,-2.697216510772705,-4.44417142868042
A man is praying.,A man is dancing.,0.75,-2.504089117050171,-3.9884612560272217
