,text,span1_index,span2_index,span1_text,span2_text,idx,label,prompt,log_prob_false,log_prob_true,prediction,log_prob_false_chat,log_prob_true_chat,prediction_chat
14,"The mothers of Arthur and Celeste have come to the town to fetch them . They are very happy to have them back, but they scold them just the same because they ran away. them .",3,13,Arthur and Celeste,them,206,1,"The mothers of ARTHUR and Celeste have come to the town to fetch THEM . They are very happy to have them back, but they scold them just the same because they ran away. them . Coreference:","tensor(-18.4375, dtype=torch.float16)","tensor(-18.3125, dtype=torch.float16)",1,"tensor(-17.2188, dtype=torch.float16)","tensor(-17.1875, dtype=torch.float16)",1
15,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them .",12,23,chairs,them,272,1,"We had hoped to place copies of our newsletter on all the CHAIRS in the auditorium, but there were simply too many of THEM . Coreference:","tensor(-18.2969, dtype=torch.float16)","tensor(-18.1875, dtype=torch.float16)",1,"tensor(-16.7969, dtype=torch.float16)","tensor(-16.8438, dtype=torch.float16)",0
16,"Lily spoke to Donna , breaking her concentration.",0,6,Lily,her,329,0,"LILY spoke to Donna , breaking HER concentration. Coreference:","tensor(-17.7344, dtype=torch.float16)","tensor(-17.6406, dtype=torch.float16)",1,"tensor(-16.4375, dtype=torch.float16)","tensor(-16.5156, dtype=torch.float16)",0
17,"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,30,Nelly,she,158,0,"Our mistress hired a room for my crippled sister NELLY , and she gave her knitting and needlework when she was able to do it, and when she was ill SHE sent her dinners and many nice comfortable things and was like a mother to her. Coreference:","tensor(-18.0312, dtype=torch.float16)","tensor(-17.8750, dtype=torch.float16)",1,"tensor(-17.4062, dtype=torch.float16)","tensor(-17.3438, dtype=torch.float16)",1
18,"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",3,57,Bill,he,484,1,"After I saw BILL catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that HE was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week. Coreference:","tensor(-17.8750, dtype=torch.float16)","tensor(-17.7344, dtype=torch.float16)",1,"tensor(-17.5625, dtype=torch.float16)","tensor(-17.5156, dtype=torch.float16)",1
19,"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.",0,11,Dan,his,394,0,"DAN took the rear seat while Bill claimed the front because HIS ""Dibs!"" was quicker. Coreference:","tensor(-18.0625, dtype=torch.float16)","tensor(-17.9219, dtype=torch.float16)",1,"tensor(-16.8438, dtype=torch.float16)","tensor(-16.7969, dtype=torch.float16)",1
20,Steve follows Fred 's example in everything. He admires him hugely.,2,7,Fred,He,385,0,Steve follows FRED 's example in everything. HE admires him hugely. Coreference:,"tensor(-18.0938, dtype=torch.float16)","tensor(-17.9844, dtype=torch.float16)",1,"tensor(-17.4844, dtype=torch.float16)","tensor(-17.4531, dtype=torch.float16)",1
21,"There is a pillar between me and the stage , and I can't see it .",7,14,The stage,it,450,1,"There is a pillar between me and THE stage , and I can't see IT . Coreference:","tensor(-18.6719, dtype=torch.float16)","tensor(-18.5625, dtype=torch.float16)",1,"tensor(-17.8281, dtype=torch.float16)","tensor(-17.8906, dtype=torch.float16)",0
22,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,8,12,Carl,He,101,0,Bob collapsed on the sidewalk. Soon he saw CARL coming to help. HE was very ill. Coreference:,"tensor(-19.0938, dtype=torch.float16)","tensor(-19., dtype=torch.float16)",1,"tensor(-16.7969, dtype=torch.float16)","tensor(-16.7812, dtype=torch.float16)",1
23,"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",8,17,new groom,his,399,1,"Sir Clifford wants me to find him a NEW groom , about twenty or twenty-one, who knows HIS business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place Coreference:","tensor(-16.7344, dtype=torch.float16)","tensor(-16.5938, dtype=torch.float16)",1,"tensor(-15.5000, dtype=torch.float16)","tensor(-15.4688, dtype=torch.float16)",1
24,Jim comforted Kevin because he was so upset.,2,4,Kevin,he,278,1,Jim comforted KEVIN because HE was so upset. Coreference:,"tensor(-18.1250, dtype=torch.float16)","tensor(-18.0938, dtype=torch.float16)",1,"tensor(-16.7344, dtype=torch.float16)","tensor(-16.3594, dtype=torch.float16)",1
25,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.",0,17,Alice,she,529,1,"ALICE tried frantically to stop her daughter from chatting at the party, leaving us to wonder why SHE was behaving so strangely. Coreference:","tensor(-18.1875, dtype=torch.float16)","tensor(-18.0625, dtype=torch.float16)",1,"tensor(-17.0781, dtype=torch.float16)","tensor(-17.0469, dtype=torch.float16)",1
26,Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,8,13,the captain,he,470,0,Do you suppose that Peter is responsible for THE captain ’s illness? Maybe HE bribed the cook to put something in his food. Coreference:,"tensor(-18.1875, dtype=torch.float16)","tensor(-18.1094, dtype=torch.float16)",1,"tensor(-16.1875, dtype=torch.float16)","tensor(-16.1875, dtype=torch.float16)",0
27,"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.",17,31,the master,him,134,1,"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed THE master the flies, some crushed and some crawling about helpless, and I showed HIM the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week. Coreference:","tensor(-17.8438, dtype=torch.float16)","tensor(-17.7031, dtype=torch.float16)",1,"tensor(-17.7500, dtype=torch.float16)","tensor(-17.7188, dtype=torch.float16)",1
28,Joan made sure to thank Susan for all the help she had given.,0,10,Joan,she,166,0,JOAN made sure to thank Susan for all the help SHE had given. Coreference:,"tensor(-17.6562, dtype=torch.float16)","tensor(-17.5312, dtype=torch.float16)",1,"tensor(-16.2656, dtype=torch.float16)","tensor(-16.2344, dtype=torch.float16)",1
29,Kirilov ceded the presidency to Shatov because he was less popular.,5,7,Shatov,he,152,0,Kirilov ceded the presidency to SHATOV because HE was less popular. Coreference:,"tensor(-18.5000, dtype=torch.float16)","tensor(-18.4219, dtype=torch.float16)",1,"tensor(-17.8438, dtype=torch.float16)","tensor(-17.8750, dtype=torch.float16)",0
30,Mark heard Steve 's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,2,17,Steve,He,511,0,Mark heard STEVE 's feet going down the ladder. The door of the shop closed after him. HE ran to look out the window. Coreference:,"tensor(-18.3906, dtype=torch.float16)","tensor(-18.2812, dtype=torch.float16)",1,"tensor(-16.9688, dtype=torch.float16)","tensor(-16.9531, dtype=torch.float16)",1
31,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",0,20,Adam,he,343,0,"ADAM can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, HE would be here by this time. Coreference:","tensor(-18.9062, dtype=torch.float16)","tensor(-18.8125, dtype=torch.float16)",1,"tensor(-18.0938, dtype=torch.float16)","tensor(-18.0938, dtype=torch.float16)",0
32,"During a game of tag, Ethan chased Luke because he was ""it"".",7,9,Luke,he,113,0,"During a game of tag, Ethan chased LUKE because HE was ""it"". Coreference:","tensor(-19.2500, dtype=torch.float16)","tensor(-19.1562, dtype=torch.float16)",1,"tensor(-18.5625, dtype=torch.float16)","tensor(-18.5938, dtype=torch.float16)",0
33,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.",2,20,Jim,he,326,1,"I saw JIM yelling at some guy in a military uniform with a huge red beard. I don't know why HE was, but he looked very unhappy. Coreference:","tensor(-17.3750, dtype=torch.float16)","tensor(-17.2656, dtype=torch.float16)",1,"tensor(-15.9688, dtype=torch.float16)","tensor(-15.9375, dtype=torch.float16)",1
34,"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.",3,9,The stars,They,273,1,"The journalists interviewed THE stars of the new movie. THEY were very cooperative, so the interview lasted for a long time. Coreference:","tensor(-18.4062, dtype=torch.float16)","tensor(-18.2969, dtype=torch.float16)",1,"tensor(-17.5312, dtype=torch.float16)","tensor(-17.4844, dtype=torch.float16)",1
35,Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,6,8,Ray,he,312,1,Tom threw his schoolbag down to RAY after HE reached the bottom of the stairs. Coreference:,"tensor(-18.9375, dtype=torch.float16)","tensor(-18.7812, dtype=torch.float16)",1,"tensor(-18.0156, dtype=torch.float16)","tensor(-17.9531, dtype=torch.float16)",1
36,"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",8,53,new groom,his,24,0,"Sir Clifford wants me to find him a NEW groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into HIS place Coreference:","tensor(-16.5938, dtype=torch.float16)","tensor(-16.4688, dtype=torch.float16)",1,"tensor(-15.1719, dtype=torch.float16)","tensor(-15.1328, dtype=torch.float16)",1
37,"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very hurt.",0,16,Bob,He,8,1,"BOB paid for Charlie 's college education, but now Charlie acts as though it never happened. HE is very hurt. Coreference:","tensor(-18.8750, dtype=torch.float16)","tensor(-18.7500, dtype=torch.float16)",1,"tensor(-17.5000, dtype=torch.float16)","tensor(-17.4844, dtype=torch.float16)",1
38,Emma did not pass the ball to Janie although she was open.,7,9,Janie,she,10,1,Emma did not pass the ball to JANIE although SHE was open. Coreference:,"tensor(-18.2188, dtype=torch.float16)","tensor(-18.0938, dtype=torch.float16)",1,"tensor(-17., dtype=torch.float16)","tensor(-17.0781, dtype=torch.float16)",0
39,"Fred covered his eyes with his hands , because the wind was blowing sand around. He opened them when the wind stopped.",5,17,His hands,them,519,0,"Fred covered his eyes with HIS hands , because the wind was blowing sand around. He opened THEM when the wind stopped. Coreference:","tensor(-19.0312, dtype=torch.float16)","tensor(-18.9375, dtype=torch.float16)",1,"tensor(-17.2344, dtype=torch.float16)","tensor(-17.2344, dtype=torch.float16)",0
40,"Jane knocked on the door, and Susan answered it. She invited her to come out.",6,9,Susan,She,268,0,"Jane knocked on the door, and SUSAN answered it. SHE invited her to come out. Coreference:","tensor(-17.5938, dtype=torch.float16)","tensor(-17.4375, dtype=torch.float16)",1,"tensor(-15.5156, dtype=torch.float16)","tensor(-15.4844, dtype=torch.float16)",1
41,Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,0,10,Mama,she,491,1,MAMA came over and sat down beside Alice . Gently SHE stroked her hair and let the child weep. Coreference:,"tensor(-18.1875, dtype=torch.float16)","tensor(-18.0625, dtype=torch.float16)",1,"tensor(-16.2344, dtype=torch.float16)","tensor(-16.2188, dtype=torch.float16)",1
42,"The sack of potatoes had been placed below the bag of flour , so it had to be moved first.",8,14,The bag of flour,it,172,1,"The sack of potatoes had been placed below THE bag of flour , so IT had to be moved first. Coreference:","tensor(-18.2031, dtype=torch.float16)","tensor(-18.1094, dtype=torch.float16)",1,"tensor(-17.3438, dtype=torch.float16)","tensor(-17.3438, dtype=torch.float16)",0
43,This book introduced Shakespeare to Ovid ; it was a major influence on his writing.,5,13,Ovid,his,513,0,This book introduced Shakespeare to OVID ; it was a major influence on HIS writing. Coreference:,"tensor(-18.4062, dtype=torch.float16)","tensor(-18.2812, dtype=torch.float16)",1,"tensor(-17.1250, dtype=torch.float16)","tensor(-17.0938, dtype=torch.float16)",1
44,"Sergeant Holmes asked the girls to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drew a rough sketch of his face.",0,31,Sergeant Holmes,his,248,0,"SERGEANT Holmes asked the girls to describe the intruder . Nancy not only provided the policeman with an excellent description of the heavyset thirty-year-old prowler, but drew a rough sketch of HIS face. Coreference:","tensor(-16.9688, dtype=torch.float16)","tensor(-16.8438, dtype=torch.float16)",1,"tensor(-15.2812, dtype=torch.float16)","tensor(-15.2344, dtype=torch.float16)",1
45,"The older students were bullying the younger ones, so we punished them .",0,11,The older students,them,230,1,"THE older students were bullying the younger ones, so we punished THEM . Coreference:","tensor(-18.1562, dtype=torch.float16)","tensor(-18.0625, dtype=torch.float16)",1,"tensor(-17.5781, dtype=torch.float16)","tensor(-17.6562, dtype=torch.float16)",0
46,"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. ""Served him right,"" he said.",6,21,pony,him,27,0,"The boy continued to whip the PONY , and eventually the pony threw him over. John laughed out quite loud. ""Served HIM right,"" he said. Coreference:","tensor(-18.0312, dtype=torch.float16)","tensor(-17.9062, dtype=torch.float16)",1,"tensor(-17.2188, dtype=torch.float16)","tensor(-17.2031, dtype=torch.float16)",1
47,"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",0,44,Mark,his,61,0,"MARK was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all HIS crew had best stay in the cabin until the work was over. Coreference:","tensor(-17.6562, dtype=torch.float16)","tensor(-17.5156, dtype=torch.float16)",1,"tensor(-16.6250, dtype=torch.float16)","tensor(-16.5625, dtype=torch.float16)",1
48,The trophy doesn't fit into the brown suitcase because it is too large.,0,9,the trophy,it,210,1,THE trophy doesn't fit into the brown suitcase because IT is too large. Coreference:,"tensor(-17.6719, dtype=torch.float16)","tensor(-17.5625, dtype=torch.float16)",1,"tensor(-16.9531, dtype=torch.float16)","tensor(-16.9688, dtype=torch.float16)",0
49,Jim signaled the barman and gestured toward his empty glass,2,7,The barman,his,165,0,Jim signaled THE barman and gestured toward HIS empty glass Coreference:,"tensor(-17.9062, dtype=torch.float16)","tensor(-17.7812, dtype=torch.float16)",1,"tensor(-16.4062, dtype=torch.float16)","tensor(-16.4219, dtype=torch.float16)",0
50,"Stretching her back, the woman smiled at the girl .",3,1,The woman,her,163,1,"Stretching her back, THE HER back, the woman smiled at the girl . Coreference:","tensor(-18.3750, dtype=torch.float16)","tensor(-18.2500, dtype=torch.float16)",1,"tensor(-17.5000, dtype=torch.float16)","tensor(-17.5625, dtype=torch.float16)",0
51,"As Andrea in the crop duster passed over Susan , she could see the landing strip.",1,10,Andrea,she,279,1,"As ANDREA in the crop duster passed over Susan , SHE could see the landing strip. Coreference:","tensor(-17.6250, dtype=torch.float16)","tensor(-17.4688, dtype=torch.float16)",1,"tensor(-15.4766, dtype=torch.float16)","tensor(-15.4531, dtype=torch.float16)",1
52,"The cat was lying by the mouse hole waiting for the mouse , but it was too cautious.",0,14,The cat,it,39,0,"THE cat was lying by the mouse hole waiting for the mouse , but IT was too cautious. Coreference:","tensor(-18.9688, dtype=torch.float16)","tensor(-18.8750, dtype=torch.float16)",1,"tensor(-17.6562, dtype=torch.float16)","tensor(-17.6875, dtype=torch.float16)",0
53,The woman held the girl against her chest,0,6,The woman,her,542,1,THE woman held the girl against HER chest Coreference:,"tensor(-18.5938, dtype=torch.float16)","tensor(-18.5000, dtype=torch.float16)",1,"tensor(-16.7031, dtype=torch.float16)","tensor(-16.8281, dtype=torch.float16)",0
54,"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",1,30,mistress,she,516,1,"Our MISTRESS hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill SHE sent her dinners and many nice comfortable things and was like a mother to her. Coreference:","tensor(-17.9062, dtype=torch.float16)","tensor(-17.7500, dtype=torch.float16)",1,"tensor(-16.8281, dtype=torch.float16)","tensor(-16.7656, dtype=torch.float16)",1
55,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",0,11,Archaeologists,They,124,0,"ARCHAEOLOGISTS have concluded that humans lived in Laputa 20,000 years ago. THEY hunted for deer on the river banks. Coreference:","tensor(-16.7969, dtype=torch.float16)","tensor(-16.6719, dtype=torch.float16)",1,"tensor(-15.4219, dtype=torch.float16)","tensor(-15.3750, dtype=torch.float16)",1
56,"The sack of potatoes had been placed below the bag of flour , so it had to be moved first.",0,14,The sack of potatoes,it,526,0,"THE sack of potatoes had been placed below the bag of flour , so IT had to be moved first. Coreference:","tensor(-18.3125, dtype=torch.float16)","tensor(-18.2031, dtype=torch.float16)",1,"tensor(-17.7812, dtype=torch.float16)","tensor(-17.7656, dtype=torch.float16)",1
57,"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.",9,19,Nelly,she,382,1,"Our mistress hired a room for my crippled sister NELLY , and she gave her knitting and needlework when SHE was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her. Coreference:","tensor(-18.1250, dtype=torch.float16)","tensor(-17.9688, dtype=torch.float16)",1,"tensor(-17.4531, dtype=torch.float16)","tensor(-17.3906, dtype=torch.float16)",1
58,Tom threw his schoolbag down to Ray after he reached the top of the stairs.,6,8,Ray,he,106,0,Tom threw his schoolbag down to RAY after HE reached the top of the stairs. Coreference:,"tensor(-18.9375, dtype=torch.float16)","tensor(-18.7812, dtype=torch.float16)",1,"tensor(-17.9688, dtype=torch.float16)","tensor(-17.8906, dtype=torch.float16)",1
59,"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.",1,21,Mr. Bond,him,331,0,"When MR. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt HIM all over, and shook his head; one of his legs was broken. Coreference:","tensor(-17.9219, dtype=torch.float16)","tensor(-17.7812, dtype=torch.float16)",1,"tensor(-16.4531, dtype=torch.float16)","tensor(-16.4062, dtype=torch.float16)",1
60,Mark heard Steve 's feet going down the ladder. The door of the shop closed after him . He ran to look out the window.,2,16,Steve,him,114,1,Mark heard STEVE 's feet going down the ladder. The door of the shop closed after HIM . He ran to look out the window. Coreference:,"tensor(-18.7656, dtype=torch.float16)","tensor(-18.6562, dtype=torch.float16)",1,"tensor(-17.6875, dtype=torch.float16)","tensor(-17.6562, dtype=torch.float16)",1
61,"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",13,44,the captain,his,355,1,"Mark was close to Mr. Singer 's heels. He heard him calling for THE captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all HIS crew had best stay in the cabin until the work was over. Coreference:","tensor(-17.6875, dtype=torch.float16)","tensor(-17.5469, dtype=torch.float16)",1,"tensor(-16.3750, dtype=torch.float16)","tensor(-16.3438, dtype=torch.float16)",1
62,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",5,20,Adam,he,358,1,"Bob was playing cards with ADAM and was way ahead. If Adam hadn't had a sudden run of good luck, HE would have lost. Coreference:","tensor(-18.8125, dtype=torch.float16)","tensor(-18.6875, dtype=torch.float16)",1,"tensor(-18.1406, dtype=torch.float16)","tensor(-18.1250, dtype=torch.float16)",1
63,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve years old.",0,21,Fred,he,304,1,"FRED is the only man alive who still remembers my father as an infant. When Fred first saw my father , HE was twelve years old. Coreference:","tensor(-18.8438, dtype=torch.float16)","tensor(-18.7188, dtype=torch.float16)",1,"tensor(-17.7031, dtype=torch.float16)","tensor(-17.6875, dtype=torch.float16)",1
64,The sculpture rolled off the shelf because it wasn't anchored.,4,7,The shelf,it,475,0,The sculpture rolled off THE shelf because IT wasn't anchored. Coreference:,"tensor(-18.5312, dtype=torch.float16)","tensor(-18.4375, dtype=torch.float16)",1,"tensor(-17.2500, dtype=torch.float16)","tensor(-17.3281, dtype=torch.float16)",0
65,The foxes are getting in at night and attacking the chickens . I shall have to guard them .,9,17,The chickens,them,535,1,The foxes are getting in at night and attacking THE chickens . I shall have to guard THEM . Coreference:,"tensor(-17.5469, dtype=torch.float16)","tensor(-17.4844, dtype=torch.float16)",1,"tensor(-16.6875, dtype=torch.float16)","tensor(-16.7344, dtype=torch.float16)",0
66,Anne gave birth to a daughter last month. She is a very charming woman.,0,8,Anne,She,103,1,ANNE gave birth to a daughter last month. SHE is a very charming woman. Coreference:,"tensor(-17.6406, dtype=torch.float16)","tensor(-17.4844, dtype=torch.float16)",1,"tensor(-15.6875, dtype=torch.float16)","tensor(-15.6406, dtype=torch.float16)",1
67,"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.",12,17,corn,it,410,0,"Even before they reached town , they could hear a sound like CORN popping. Dora asked what IT was, and Dad said it was firecrackers. Coreference:","tensor(-18.4062, dtype=torch.float16)","tensor(-18.2812, dtype=torch.float16)",1,"tensor(-16.5156, dtype=torch.float16)","tensor(-16.4844, dtype=torch.float16)",1
68,"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place",0,53,Sir Clifford,his,474,0,"SIR Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into HIS place Coreference:","tensor(-16.7344, dtype=torch.float16)","tensor(-16.5938, dtype=torch.float16)",1,"tensor(-15.0781, dtype=torch.float16)","tensor(-15.0469, dtype=torch.float16)",1
